Resource utilization
Resource,Utilization %
Role 1,2
SYSTEM,0
Role 4,0
Role 6,0
Role 3,41
Role 2,65
Role 5,4

Individual task statistics
Name,Avg duration,Min duration,Max duration,Total duration,Avg waiting time,Min waiting time,Max waiting time,Total waiting time,Avg idle time,Min idle time,Max idle time,Total idle time,Avg cost,Min cost,Max cost,Total cost,Avg cost over thresh,Min cost over thresh,Max cost over thresh,Total cost over thresh,Avg duration over thresh,Min duration over thresh,Max duration over thresh,Total duration over thresh,Count,
Amend Purchase Requisition,1968.3447675336267,7.967803716659546,13962.663806200027,190929.4424507618,0.0,0.0,0.0,0.0,47579.38144329897,0.0,345840.0,4615200.0,10.93524870852015,0.04426557620366414,77.57035447888904,1060.7191247264545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97
Amend Request for Quotation,607.1109694124578,98.60219287872314,1268.0653443336487,55247.09821653366,0.0,0.0,0.0,0.0,13341.098901098901,0.0,158460.0,1214040.0,3.372838718958098,0.5477899604373508,7.04480746852027,306.92832342518693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91
Analyze Purchase Requisition,393.02557288329615,240.27822828292847,539.5161492824554,77426.03785800934,0.0,0.0,0.0,0.0,5415.228426395939,0.0,158460.0,1066800.0,2.1834754049072007,1.3348790460162692,2.997311940458086,430.14465476671853,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,197
Analyze Quotation Comparison Map,1200.3284945988655,370.4281487464905,2038.5361025333405,120032.84945988655,0.0,0.0,0.0,0.0,29649.0,0.0,158460.0,2964900.0,6.668491636660362,2.0579341597027248,11.325200569629668,666.8491636660362,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Analyze Request for Quotation,38818.064715244385,376.5514054298401,163204.68298697472,7414250.360611677,37423.10488444598,0.0,161892.50542211533,7147813.032929182,905277.8010471205,0.0,3825960.0,1.7290806E8,7.756266044044721,0.0,17.00844208796819,1481.4468144125417,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,191
Approve Purchase Order for payment,33713.28389751911,60.0,165135.74980258942,3371328.389751911,33653.28389751911,0.0,165075.74980258942,3365328.389751911,789835.2,0.0,3854820.0,7.898352E7,0.3333333333333329,0.3333333333333333,0.3333333333333333,33.33333333333329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Authorize Supplier's Invoice payment,645.741434662342,0.0,4971.212755918503,64574.14346623421,645.741434662342,0.0,4971.212755918503,64574.14346623421,14339.4,0.0,169320.0,1433940.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Choose best option,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Create Purchase Order,86035.96184726477,436.82831048965454,169329.3744518757,8603596.184726477,85443.6418727541,0.0,168775.6804831028,8544364.18727541,2024370.6,0.0,4056480.0,2.0243706E8,3.290666525059276,2.00863108502494,4.30152522193061,329.0666525059276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Create Purchase Requisition,1845.875905148983,328.3127474784851,3414.6480231285095,184587.5905148983,0.0,0.0,0.0,0.0,58455.15102147341,0.0,158350.94651460648,5845515.102147341,10.25486613971657,1.8239597082138062,18.970266795158388,1025.486613971657,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Create Quotation comparison Map,92627.58615679502,3314.621804714203,181718.92280077934,9262758.615679502,80521.01643507957,0.0,167292.36449742317,8052101.643507957,2170930.2,93720.0,4261860.0,2.1709302E8,67.25872067619696,12.7961253007253,121.0979281173812,6725.872067619695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Create Request for Quotation,326.96968636989595,14.918944120407104,1079.3979840278625,32696.968636989594,0.0,0.0,0.0,0.0,3315.6,0.0,97260.0,331560.0,3.632996515221064,0.16576604578230117,11.993310933642917,363.2996515221064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Deliver Goods Services,268406.4129955506,11723.281832695007,608086.6042749882,2.6840641299555063E7,173001.42316214324,0.0,470718.990190506,1.7300142316214323E7,6277515.0,248580.0,1.425192E7,6.277515E8,530.0277212967077,65.12934351497226,977.3310675740242,53002.77212967077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
EVENT 1 START,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
EVENT 2 END,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
End,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
GATEWAY 25 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,191
GATEWAY 26 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,191
GATEWAY 27 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
GATEWAY 28 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
GATEWAY 29 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,197
GATEWAY 30 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,197
Pay Invoice,1678.8031798028946,240.12941026687622,5676.904688835144,167880.31798028946,1117.5873923802376,0.0,4971.669529438019,111758.73923802376,42549.6,0.0,169320.0,4254960.0,3.117865485681428,1.3340522792604235,4.981071280108558,311.7865485681428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Release Purchase Order,60.0,60.0,60.0,6000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333329,0.3333333333333333,0.3333333333333333,33.33333333333329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Release Supplier's Invoice,544.8646889472008,135.15013885498047,4426.755207300186,54486.46889472008,256.3949264383316,0.0,4096.9882135391235,25639.49264383316,2811.0,0.0,158460.0,281100.0,1.6026097917159399,0.7003249473041958,2.311699418226878,160.260979171594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Send Invoice,202290.23730092763,0.0,476928.233905077,2.0229023730092764E7,202290.23730092763,0.0,476928.233905077,2.0229023730092764E7,4745169.0,0.0,1.11141E7,4.745169E8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Send Request for Quotation to Supplier,56807.23133540869,1368.802405834198,174169.68422746658,5680723.133540869,55386.199344711305,0.0,172193.36240172386,5538619.93447113,1330694.4,0.0,4060140.0,1.3306944E8,7.894622170541022,2.667946716149648,13.89639669921663,789.4622170541022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Settle Conditions With Supplier,134941.6372691393,29964.8497030735,211883.86316776276,1.3494163726913929E7,100318.73024329901,0.0,168061.5817346573,1.00318730243299E7,3151023.6,630480.0,5014800.0,3.1510236E8,192.3494834768904,87.956148800585,292.77421395248837,19234.948347689042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Settle Dispute With Supplier,11399.760359439444,51.29111194610596,43890.5391600132,535788.7368936539,653.3663694909278,0.0,5000.971577167511,30708.21936607361,270123.829787234,0.0,1001580.0,1.269582E7,59.702188833047295,0.2849506219228109,243.83632866674,2806.0028751532227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47
Start,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100

Scenario statistics
KPI,Min,Average,Max
Process Cycle Time (s),7327254.530030489,2.3529518301973924E7,3.062548067468953E7
Process Cycle Time excluding out of timetable hours (s),300045.03899025917,963861.3509524417,1257180.9827320576
Process Waiting Time (s),185255.9790005684,804419.4685328674,1043188.7662465572
Accumulated Process Duration (s),7327254.530030489,2.3529518301973924E7,3.062548067468953E7
Cost,323.15516881810294,887.6171283058989,1486.6669729484452


Process Cycle Time (s) distribution
From,To,Count
7327254,9657076,4
9657077,11986899,6
11986900,14316722,0
14316723,16646545,6
16646546,18976368,9
18976369,21306191,2
21306192,23636014,4
23636015,25965837,4
25965838,28295660,59
28295661,30625483,6

Process Waiting Time (s) distribution
From,To,Count
185255,271048,9
271049,356842,0
356843,442636,1
442637,528430,4
528431,614224,8
614225,700018,6
700019,785812,2
785813,871606,5
871607,957400,34
957401,1043194,31

Accumulated Process Duration (s) distribution
From,To,Count
7327254,9657076,4
9657077,11986899,6
11986900,14316722,0
14316723,16646545,6
16646546,18976368,9
18976369,21306191,2
21306192,23636014,4
23636015,25965837,4
25965838,28295660,59
28295661,30625483,6

Process Cost distribution
From,To,Count
323,439,10
440,556,7
557,673,9
674,790,13
791,907,13
908,1024,10
1025,1141,11
1142,1258,18
1259,1375,7
1376,1492,2

In-timetable Cycle time (s) distribution
From,To,Count
300045,395758,4
395759,491472,6
491473,587186,0
587187,682900,6
682901,778614,9
778615,874328,2
874329,970042,4
970043,1065756,4
1065757,1161470,60
1161471,1257184,5



Details
Instance #,Cycle time (s),Cycle time in time table only (s),Waiting time (s),Cost
1,9108581.277392626,374920.2773926258,185255.9790005684,1058.3884412222437
2,9385568.775252819,388462.1360836029,201250.11080265045,1040.571716672844
3,1.0186874220025063E7,418433.7446422577,204381.6805319786,1191.13163738913
4,7327254.530030489,300045.03899025917,202509.6237039566,544.7638674855233
5,1.0607792826703548E7,438651.2806274891,210770.83954882622,1266.961997785833
6,1.014534932488656E7,415338.70456647873,193331.60107827187,1235.1373665597703
7,1.1787428607910633E7,486204.2477219105,218819.01746320724,1486.6669729484452
8,2.7834575775750875E7,1142614.556604147,920721.7965233326,1234.9095656275747
9,2.7743944207787275E7,1135084.2077872753,952238.0379047394,1019.1202456831932
10,2.781117928821993E7,1136374.6526563168,1001061.3838582039,755.8460651079815
11,9043680.42713213,367187.9414319992,221443.06851291656,810.14070905447
12,1.7059252887887E7,694392.3273005486,612298.8032696247,457.09079119231967
13,2.853646786472082E7,1165166.9223315716,954391.1660070419,1175.1202426128916
14,1.4659846025326014E7,599667.9764122963,459304.92673301697,781.2644529369144
15,2.7736862658979416E7,1135622.8540623188,937215.908782959,1104.6088027622964
16,2.7123027213961363E7,1112128.2702684402,892436.9424314499,1221.4198676016595
17,1.1593344446928263E7,475205.2454531193,405023.4051296711,390.967627509435
18,1.5163680882972479E7,622729.0470154285,494970.2526464462,711.7473394380677
19,2.1454525413689613E7,878789.034194231,637113.4265797138,1344.19771973292
20,2.1833154062894583E7,896720.418140173,714400.6171655655,1015.8248384753864
21,1.1539368360911846E7,475728.36091184616,238483.13299012184,1319.2421328769788
22,2.763851036193967E7,1131640.969954729,989482.213290453,791.2834238568944
23,1.915659129501772E7,783945.1417562962,674087.0269165039,611.2054236332576
24,2.7275388850822926E7,1120642.6743061543,889462.9984927177,1285.8110519912507
25,2.5949359516751766E7,1058839.264597416,840203.2898478508,1217.4118347194458
26,1.878091704194665E7,770905.7062892914,593759.7215869427,985.4765783349673
27,2.8341024801069736E7,1158471.2537310123,969379.9528412819,1052.8417853011026
28,2.5134825360580683E7,1028509.5370907784,811879.3459124565,1205.9163755469851
29,1.708119064727831E7,694879.5988988876,538608.051109314,869.0934201452467
30,1.6249752881580114E7,662742.7647242546,533842.160743475,717.6322639399106
31,1.6794135267284155E7,684356.6809916496,526865.588196516,875.3388073749013
32,1.6534364904711962E7,672775.876024723,582181.309194088,504.74792188803343
33,2.583739433291912E7,1055255.856055975,884231.4257004261,950.3431706402038
34,2.747551550508213E7,1125847.079063177,883431.1798064709,1348.8463854140703
35,2.7457265247448683E7,1125258.495178461,1013272.3274011612,624.0565087490612
36,2.6449568451341152E7,1086169.9200968742,984254.4981863499,567.1310094131364
37,1.7070678117147684E7,698987.9712738991,538188.0216882229,894.6285621126493
38,1.9216655381421328E7,791028.3433716297,608715.549908638,1014.9378251830738
39,1.48696604549191E7,611845.8607409,504592.0640952587,597.3437616705895
40,2.1606628477082253E7,885360.52506423,708267.96961236,985.0846030354501
41,1.8912971444751978E7,777935.3099954128,652530.8170950413,698.8765253835255
42,2.7364955412750483E7,1123597.719947815,924577.2355167866,1108.8965568436513
43,2.7343765541816473E7,1120067.398195982,1043188.7662465572,428.06856249305935
44,1.4799511397264719E7,608192.8096086979,550268.4637351036,323.15516881810294
45,1.8513502073967457E7,762359.845587492,635293.2746620178,708.0148177398576
46,2.7226549720948935E7,1116992.3101768494,885374.6621525288,1288.315853921572
47,2.5037037940602303E7,1023816.6518073082,832263.8665709496,1066.9521533038878
48,2.7275904330738068E7,1118636.8898968697,900872.993126154,1211.3866619798869
49,1.8615731135447025E7,762075.7815799713,695626.9309134483,370.2286037034458
50,2.9672522870253563E7,1219551.160465479,997396.2852561474,1236.1410984330707
51,2.602187554045701E7,1066753.5516028404,874637.2988128662,1067.3953985227479
52,1.8415524680583477E7,758859.771519661,689294.4063048363,390.65973619355094
53,2.6869831413553476E7,1099781.0115664005,885375.1317791939,1194.381176510122
54,2.7115406452059507E7,1107180.1707642078,899199.2458610535,1157.9061749683483
55,2.8209277840728045E7,1152292.240894556,1002163.6412935257,835.993792921967
56,2.7168620871021032E7,1112706.9743814468,895669.7261369228,1209.726533081796
57,2.736521978351164E7,1121652.563726902,914375.8012151718,1152.7951507555113
58,2.7059048409466505E7,1107001.2620837688,948362.2155613899,882.5354798820287
59,2.712545459531474E7,1111680.255718708,889848.3200035095,1234.2753828605014
60,2.703082005745864E7,1106802.215583086,979356.2233188152,708.9581150995363
61,2.709794764116335E7,1112197.0145730972,997065.6103513241,640.8202922251489
62,2.7079140817494392E7,1111053.493657589,950622.5709180832,892.2186044507557
63,2.2755592974318504E7,933768.2014110088,835010.104429245,550.9002149568663
64,2.7265388844922066E7,1119975.3525562286,1022787.3141565323,540.3682522045242
65,2.703420366912341E7,1104695.3812224865,936625.7903945446,935.0286386304432
66,2.6947286610493183E7,1103832.3348624706,991697.2016627789,626.467633079158
67,2.7013301507086277E7,1108187.8508303165,908303.2017736435,1114.622608935833
68,2.6992357751841307E7,1101271.2466609478,871269.1300725937,1278.0414496739704
69,2.6979911500088453E7,1102807.5510268211,904268.4881949425,1108.4437156266636
70,2.6965183115703106E7,1102050.894201994,893563.9081933498,1159.0458638495866
71,2.6958147928207636E7,1105424.0732467175,983787.0251162052,676.8335057854653
72,2.693604315770197E7,1097408.7124254704,924520.5351967812,961.7540751523442
73,2.7091653196089506E7,1104894.3482122421,933197.6647849083,955.8265947765774
74,2.6915759607102156E7,1101457.9975965023,980566.0381083488,674.5330996606086
75,2.6901212997730255E7,1100991.3212842941,951286.4911870956,837.6901560068131
76,2.6807242663156033E7,1096787.3256089687,967952.3237550259,720.3019311798944
77,2.6874492387415886E7,1102278.940239191,939701.5022182465,903.8115046938262
78,2.685524024973893E7,1100685.271830082,1018823.347546339,455.07736698521506
79,2.700969952914667E7,1106949.5054738522,976407.7355542183,725.5761496106785
80,2.924380699923086E7,1197106.4575788975,1008275.7441711426,1050.1302292691335
81,2.734244008356285E7,1121763.0413367748,1007392.507553339,636.5891297499338
82,2.6723746381881714E7,1097119.5573868752,970594.7678098679,704.7337960402172
83,2.678275606082177E7,1094528.1465177536,943292.2685496807,841.5084033237563
84,2.676885257714629E7,1094625.6936628819,940017.125980854,859.9113901707863
85,2.697261436128354E7,1106982.7197713852,1002271.1418366432,583.4420184175175
86,2.943050694194126E7,1208332.8605911732,993399.5514407158,1195.6266824960708
87,3.062548067468953E7,1257180.9827320576,994594.9258248806,1459.643642991119
88,2.6639897842432976E7,1093573.175025463,985216.1117551327,606.6377893884977
89,2.670594867790699E7,1097853.601861477,960190.3161945343,766.6067545586161
90,2.6685515372346163E7,1092575.3723461628,1033673.580893755,328.58283986780367
91,2.6673587846175194E7,1093580.6286075115,1016500.3596203327,428.424457792441
92,2.6828850243570328E7,1100681.414240837,875994.181319952,1248.4041335781415
93,2.6650746536185503E7,1095010.221189499,918078.4884884357,983.7925637152462
94,2.663892611012292E7,1097269.6493740082,882083.940538168,1197.1000732567575
95,2.661447710585761E7,1090414.0467720032,1020259.733232975,390.3188985930548
96,2.652815823290038E7,1083107.2863857746,1003163.5852839947,446.19522163735496
97,2.6586763596422672E7,1083685.7341799736,1022969.1710042953,340.9229223860635
98,2.657343442971611E7,1084402.315867424,1010530.1503720284,411.76047905286146
99,2.716451961401105E7,1109464.4103093147,955781.3429348469,855.1429183536106
100,2.654627687225914E7,1085294.3036785126,882410.1541101933,1129.9607714242404
