Resource utilization
Resource,Utilization %
Role 1,2
SYSTEM,0
Role 4,0
Role 6,0
Role 3,51
Role 2,79
Role 5,3

Individual task statistics
Name,Avg duration,Min duration,Max duration,Total duration,Avg waiting time,Min waiting time,Max waiting time,Total waiting time,Avg idle time,Min idle time,Max idle time,Total idle time,Avg cost,Min cost,Max cost,Total cost,Avg cost over thresh,Min cost over thresh,Max cost over thresh,Total cost over thresh,Avg duration over thresh,Min duration over thresh,Max duration over thresh,Total duration over thresh,Count,
Amend Purchase Requisition,1849.2820282855837,15.30589246749878,8701.11130142212,186777.48485684395,0.0,0.0,0.0,0.0,40168.514851485146,0.0,205320.0,4057020.0,10.273789046031027,0.08503273593054878,48.339507230122884,1037.6526936491337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101
Amend Request for Quotation,615.2241855015358,104.58189129829407,1179.012478351593,59061.52180814743,0.0,0.0,0.0,0.0,14260.0,0.0,158460.0,1368960.0,3.4179121416751994,0.5810105072127448,6.550069324175516,328.11956560081916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96
Analyze Purchase Requisition,382.45585372554723,242.73233890533447,539.4208161830902,76873.62659883499,0.0,0.0,0.0,0.0,6865.373134328358,0.0,158460.0,1379940.0,2.124754742919708,1.3485129939185247,2.996782312128279,427.07570332686123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,201
Analyze Quotation Comparison Map,1293.77042781353,375.018883228302,2021.4711689949036,129377.042781353,0.0,0.0,0.0,0.0,31382.4,0.0,158460.0,3138240.0,7.1876134878529445,2.0834382401572333,11.23039538330502,718.7613487852944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Analyze Request for Quotation,40441.99022021464,418.44785618782043,189518.95809173584,7926630.083162069,39026.57937212623,0.0,187681.33770775795,7649209.556936741,942085.7142857143,0.0,4564440.0,1.846488E8,7.863393600491166,1.0618728823131984,16.920653482278187,1541.2251456962686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,196
Approve Purchase Order for payment,34992.94926978588,60.0,192686.94123649597,3499294.926978588,34932.94926978588,0.0,192626.94123649597,3493294.926978588,825028.8,0.0,4546440.0,8.250288E7,0.3333333333333329,0.3333333333333333,0.3333333333333333,33.33333333333329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Authorize Supplier's Invoice payment,1370.3690687847138,0.0,9877.307946920395,137036.90687847137,1370.3690687847138,0.0,9877.307946920395,137036.90687847137,16615.2,0.0,172980.0,1661520.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Choose best option,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Create Purchase Order,83720.37176602126,375.2895863056183,189872.5408656597,8372037.176602125,83151.58024716855,0.0,189199.1662762165,8315158.024716854,1961077.2,0.0,4391580.0,1.9610772E8,3.159952882515059,2.048555008570353,4.331246856848399,315.9952882515059,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Create Purchase Requisition,1900.6985663247108,342.60490226745605,3315.8308238983154,190069.85663247108,0.0,0.0,0.0,0.0,59618.8598644948,394.00684237480164,157951.71255016327,5961885.98644948,10.559436479581729,1.9033605681525336,18.42128235499064,1055.943647958173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Create Quotation comparison Map,81785.00458058118,6097.366158723831,193472.95752048492,8178500.458058119,69374.28297576428,0.0,177901.35543704033,6937428.297576427,1920291.6,158460.0,4636500.0,1.9202916E8,68.94845336009398,13.155096034208933,120.54699439737531,6894.845336009398,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Create Request for Quotation,333.6631748127937,12.266824007034302,1189.1236793994904,33366.31748127937,0.0,0.0,0.0,0.0,6052.2,0.0,154860.0,605220.0,3.7073686090310414,0.13629804452260336,13.212485326661003,370.7368609031041,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Deliver Goods Services,276260.43973641394,14736.884003162384,599132.8716304302,2.7626043973641396E7,183796.9926004982,0.0,455649.05836200714,1.837969926004982E7,6464414.4,331440.0,1.39962E7,6.4644144E8,513.6858174217545,81.01141735977596,976.3590063055357,51368.58174217545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
EVENT 1 START,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
EVENT 2 END,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
End,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
GATEWAY 25 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,196
GATEWAY 26 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,196
GATEWAY 27 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
GATEWAY 28 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
GATEWAY 29 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,201
GATEWAY 30 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,201
Pay Invoice,2687.524956393242,247.70693111419678,10579.697032213211,268752.4956393242,2087.5768912649155,0.0,9791.16797375679,208757.68912649155,67117.2,0.0,172980.0,6711720.0,3.3330448062684805,1.3761496173010932,4.980833979447683,333.30448062684803,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Release Purchase Order,60.0,60.0,60.0,6000.0,0.0,0.0,0.0,0.0,2053.2,0.0,154860.0,205320.0,0.3333333333333329,0.3333333333333333,0.3333333333333333,33.33333333333329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Release Supplier's Invoice,582.8339262843132,129.61382246017456,7825.529029846191,58283.39262843132,319.9858208465576,0.0,7412.157152175903,31998.58208465576,4432.2,0.0,158460.0,443220.0,1.4602672524319757,0.7163002424769931,2.3317408641179402,146.02672524319757,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Send Invoice,188412.03206436159,0.0,457698.9677593708,1.8841203206436157E7,188412.03206436159,0.0,457698.9677593708,1.8841203206436157E7,4428105.0,0.0,1.07682E7,4.428105E8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Send Request for Quotation to Supplier,58913.78126504659,712.952436208725,182964.70832943916,5891378.12650466,57501.786900217536,0.0,182013.91597604752,5750178.690021753,1376166.0,0.0,4261860.0,1.376166E8,7.844413137939241,1.2208984732627868,13.274606706036462,784.4413137939241,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Settle Conditions With Supplier,131693.3833983135,25744.535849571228,238135.86126065254,1.3169338339831352E7,97779.19168483734,0.0,188822.57401752472,9777919.168483734,3081598.2,580020.0,5627220.0,3.0815982E8,188.41217618597884,84.13953997294108,292.4861729754342,18841.217618597882,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Settle Dispute With Supplier,9849.628140321483,148.03771376609802,38168.05575251579,531879.9195773602,1697.7214877826195,0.0,10059.598318815231,91676.96034026146,217301.11111111112,0.0,911460.0,1.173426E7,45.28837029188258,0.3460792236857944,212.04475418064328,2445.5719957616593,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54
Start,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100

Scenario statistics
KPI,Min,Average,Max
Process Cycle Time (s),6891705.343862534,2.322766130842547E7,2.913967932057023E7
Process Cycle Time excluding out of timetable hours (s),282421.3956332207,951819.0485609699,1197760.2099335194
Process Waiting Time (s),122312.64025115967,796135.6126962996,1028001.6506347656
Accumulated Process Duration (s),6891705.343862534,2.322766130842547E7,2.913967932057023E7
Cost,334.6448507878515,866.7616613304618,1373.7056734283765


Process Cycle Time (s) distribution
From,To,Count
6891705,9116502,3
9116503,11341300,7
11341301,13566098,6
13566099,15790896,1
15790897,18015694,1
18015695,20240492,2
20240493,22465290,5
22465291,24690088,6
24690089,26914886,53
26914887,29139684,16

Process Waiting Time (s) distribution
From,To,Count
122312,212880,3
212881,303449,7
303450,394018,6
394019,484587,1
484588,575156,3
575157,665725,0
665726,756294,4
756295,846863,10
846864,937432,28
937433,1028001,38

Accumulated Process Duration (s) distribution
From,To,Count
6891705,9116502,3
9116503,11341300,7
11341301,13566098,6
13566099,15790896,1
15790897,18015694,1
18015695,20240492,2
20240493,22465290,5
22465291,24690088,6
24690089,26914886,53
26914887,29139684,16

Process Cost distribution
From,To,Count
334,437,5
438,541,7
542,645,14
646,749,13
750,853,10
854,957,13
958,1061,9
1062,1165,11
1166,1269,13
1270,1373,5

In-timetable Cycle time (s) distribution
From,To,Count
282421,373954,3
373955,465488,7
465489,557022,6
557023,648556,1
648557,740090,1
740091,831624,2
831625,923158,5
923159,1014692,6
1014693,1106226,59
1106227,1197760,10



Details
Instance #,Cycle time (s),Cycle time in time table only (s),Waiting time (s),Cost
1,1.039824950685978E7,428828.50685977936,223390.4787261486,1143.06367574003
2,8175677.358320713,338614.00511455536,182849.53571510315,868.2195416145855
3,1.1843670143995047E7,490032.7218620777,262341.5605096817,1267.1584502710234
4,6891705.343862534,282421.3956332207,122312.64025115967,891.7760801752408
5,1.3632002289437532E7,562716.8247690201,391537.34714984894,951.7196047173607
6,1.1746275405168772E7,481465.61034989357,255703.98165082932,1256.36592959298
7,9872435.649013758,404954.80943608284,255664.19042754173,830.3872134235171
8,7881782.650513411,326847.7912456989,199288.10820651054,710.3636136545075
9,9675814.252176285,395494.2521762848,254022.6658332348,787.3562436130312
10,1.164608859310913E7,473478.60546922684,361827.3259356022,620.6018374045691
11,1.0467120254709005E7,425250.8057715893,318227.25564050674,594.8224394890998
12,2.355157472461295E7,964892.9415795803,829944.0712864399,752.105453336239
13,2.732723446662259E7,1116008.4665994644,942492.4417951107,965.6343601597682
14,1.807875641175604E7,740276.1060564518,529866.2256352901,1169.403364596102
15,2.7139649027593374E7,1114852.9521491528,945196.6509165764,943.2663002120123
16,2.2447165353801012E7,918050.0911836624,701176.1613609791,1205.7613187299833
17,1.0174493684266567E7,418195.44314074516,304697.0719869137,632.0533066285982
18,1.1970691632800102E7,491951.85959362984,330688.4214401245,899.9617929842738
19,1.1274422414224386E7,461741.1304438114,282407.2197444439,1002.1937249210147
20,1.1606028128995657E7,479400.48995423317,302916.5946817398,983.0429890579647
21,2.697291757759428E7,1106197.5775942802,925786.2164514065,1003.3099212076929
22,1.3291246807804108E7,542751.3908205032,461153.98334503174,455.792860645718
23,2.5735308063933134E7,1054597.341140747,827486.6477973461,1263.4777415818635
24,1.1281706836029768E7,463391.14385843277,380480.24134778976,462.1688296106126
25,2.328749100563073E7,951234.5863182545,801054.7739789486,836.1688123371865
26,2.7145007410888195E7,1108505.5902757645,911123.6320972443,1097.391848305861
27,2.717944625688958E7,1113661.632929325,930360.2857820988,1020.8662489467199
28,1.968999552961397E7,803807.2566907406,570567.8723087311,1296.971622249815
29,2.5732769595032215E7,1053254.202089548,953976.0885608196,551.613224181864
30,2.209139302080083E7,906005.0142748356,822301.9092526436,465.7330565743976
31,2.7075836643172503E7,1105817.8873360157,961657.7662928104,801.2239193956059
32,2.205344922572422E7,899682.1138951778,772888.3952069283,705.8331527670226
33,2.7047783708095074E7,1105774.9350526333,1021805.0435287952,466.86229767666924
34,2.6873431255987644E7,1103853.7803196907,969451.9321300983,749.3289905005031
35,2.30468155713861E7,944305.8341934681,737465.3204922676,1150.4152905093297
36,1.5876023245349169E7,650467.8278167248,525186.1098673344,699.0926702790791
37,2.6830178299989462E7,1102479.299822569,969438.07847929,740.6758333219424
38,2.4995087850414038E7,1025137.6916987896,941252.2469506264,468.06588678757345
39,2.2174364650897503E7,913139.0083947182,725115.6577723026,1049.7620857516922
40,2.6950810904585123E7,1103114.600282669,956929.272351265,815.3529773195586
41,2.2961644954609632E7,939564.1501741409,776057.515229702,909.0884660429425
42,2.69222695396204E7,1102630.5043189526,1001227.7996249199,564.8591867658827
43,2.695426446185088E7,1105381.2953879833,948199.1420338154,877.4710212879712
44,2.2104509719065905E7,909736.5204570293,752222.8094286919,876.0490254018042
45,2.6712505114585638E7,1096960.0307683945,857519.8073773384,1331.515212533209
46,2.5495031831660032E7,1049808.922734499,888408.057996273,898.7115740749572
47,2.6850809524410963E7,1097518.4033269882,922618.5086433887,972.7984629419116
48,2.270620276270485E7,933277.7760431767,845426.7704489231,489.97409715122643
49,2.687113128565812E7,1102539.6073749065,878604.631677866,1245.4348385810852
50,2.2936899058891296E7,939789.7014427185,801126.3384284973,771.760568175051
51,2.6634889663280725E7,1095947.5297341347,977598.9814097881,658.1111863493921
52,2.6782892094767094E7,1099498.0879247189,879637.1660270691,1225.9776709410876
53,2.4952949368269682E7,1016509.7504737377,941720.1711935997,417.7629992683728
54,2.5989117846300125E7,1065128.974194765,962298.02201581,574.8278329054515
55,2.673993479141736E7,1091443.377220869,961592.0761048794,721.9778066926532
56,2.6562821913619995E7,1086853.7964456081,988985.3976755142,544.7147192544408
57,2.6468836782269955E7,1082589.9412777424,982744.6637039185,555.1970055566894
58,2.6537363027255297E7,1089404.7799742222,875911.3507733345,1187.3645166145432
59,2.668393375390482E7,1091536.9506151676,856635.0658664703,1306.9098942226833
60,2.67696991974411E7,1097610.0935177803,897167.197416544,1118.643222881688
61,2.6654784223175526E7,1090413.6190903187,903870.8567194939,1037.5134299476942
62,2.664215690983534E7,1091761.6237564087,927891.6393277645,911.4250725852118
63,2.646767917526436E7,1089799.2803997993,877311.7876729965,1182.3955558869573
64,2.6451861777444363E7,1087985.104110241,1028001.6506347656,334.6448507878515
65,2.643850192406535E7,1085174.740122795,892130.5280573368,1073.2004641572632
66,2.6425727211116076E7,1086377.886129856,888696.202394247,1099.947938562764
67,2.6404086763077497E7,1082448.613818407,921520.193475008,894.7825080500709
68,2.6659054822582245E7,1092111.6825921535,876816.2293541431,1198.3479808688162
69,2.6299919227245808E7,1074838.5836348534,927270.2953147888,820.7882910410564
70,2.6530238410027266E7,1085010.2424590588,953599.2276828289,736.0788516932065
71,2.651460811394787E7,1083358.8142089844,842598.586691618,1338.043989188141
72,2.6339523213057995E7,1077180.9535663128,907555.3264229298,943.4742415097026
73,2.6324896840133667E7,1076554.8197801113,931492.6465761662,812.5072049074703
74,2.6472731129912138E7,1079905.5916836262,946395.3161098957,743.2519319295884
75,2.6299008684054136E7,1078687.5647902489,869558.4161109924,1166.7433285276093
76,2.627730130730915E7,1074644.4695138931,997584.9631934166,429.49691477086805
77,2.6430595361375332E7,1079833.731940031,1000136.2736780643,445.6208441336949
78,2.677876419905305E7,1096171.4680128098,978473.068901062,654.3918877654608
79,2.6403580011294603E7,1080705.9122934341,862662.851423502,1213.8880005478857
80,2.6228955734579086E7,1078566.9864721298,947432.6996097565,732.7098659647836
81,2.828985932141161E7,1161298.367124319,954991.2702794075,1151.918495853742
82,2.6192617049914837E7,1074004.5109465122,1007540.4294426441,369.5888108664088
83,2.634914191310072E7,1078873.363559246,931334.3615427017,820.720260556539
84,2.6172153367191076E7,1074341.2952160835,968190.8324491978,591.4878501150343
85,2.615939500582409E7,1075592.3425402641,885711.3034784794,1055.3698146581646
86,2.6306148197798014E7,1077866.2794377804,968127.5696687698,611.5499922394754
87,2.896886807574463E7,1185949.850227356,973880.8788878918,1178.6405424806806
88,2.913967932057023E7,1197760.2099335194,976703.2403092384,1230.3305800517398
89,2.626302978984356E7,1076729.304284811,961606.390594244,641.261888394091
90,2.6088807645773172E7,1072227.6457731724,849267.6160194874,1239.6083635701073
91,2.6073157453422785E7,1069832.406129837,936957.2953653336,740.8991207030085
92,2.6220979691523075E7,1073167.4468073845,970293.758130312,571.7197769098813
93,2.7777422370212555E7,1137760.486070156,991944.6033742428,810.8202161590259
94,2.65535203021636E7,1087902.8838596344,983885.1444883347,578.0854551275571
95,2.601660111012888E7,1069360.1298549175,1001808.2856798172,375.65437699556344
96,2.8842945117780924E7,1175473.4052307606,972505.8155825138,1128.1466358939804
97,2.6151121757473946E7,1066330.3418691158,904031.5778133869,902.759868086709
98,2.597746665990901E7,1065145.1331677437,818358.3054687977,1373.7056734283765
99,2.612470838785386E7,1068011.47143507,963610.7721803188,584.5655658814642
100,2.8284925823114872E7,1156362.576653242,954080.163560152,1125.565874332852
