Resource utilization
Resource,Utilization %
Role 1,2
SYSTEM,0
Role 4,0
Role 6,0
Role 3,50
Role 2,79
Role 5,5

Individual task statistics
Name,Avg duration,Min duration,Max duration,Total duration,Avg waiting time,Min waiting time,Max waiting time,Total waiting time,Avg idle time,Min idle time,Max idle time,Total idle time,Avg cost,Min cost,Max cost,Total cost,Avg cost over thresh,Min cost over thresh,Max cost over thresh,Total cost over thresh,Avg duration over thresh,Min duration over thresh,Max duration over thresh,Total duration over thresh,Count,
Amend Purchase Requisition,1588.1360690176487,8.38667917251587,7461.925013780594,190576.32828211784,0.0,0.0,0.0,0.0,30686.0,0.0,169320.0,3682320.0,8.822978161209157,0.04659266206953261,41.455138965447745,1058.7573793450988,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120
Amend Request for Quotation,638.2972740526121,206.5683925151825,1205.5811581611633,78510.5647084713,0.0,0.0,0.0,0.0,12594.146341463415,0.0,158460.0,1549080.0,3.546095966958956,1.1476021806399028,6.697673100895352,436.16980393595156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,123
Analyze Purchase Requisition,390.37910882307557,241.20900964736938,539.2243409156799,95642.88166165352,0.0,0.0,0.0,0.0,10558.040816326531,0.0,158460.0,2586720.0,2.1687728267948647,1.3400500535964965,2.9956907828648887,531.3493425647418,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,245
Analyze Quotation Comparison Map,1319.8715727405547,420.75903391838074,2026.1707291603088,164983.94659256935,0.0,0.0,0.0,0.0,37119.36,0.0,158460.0,4639920.0,7.332619848558638,2.3375501884354484,11.256504050890605,916.5774810698297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,125
Analyze Request for Quotation,57518.17329587667,510.63946557044983,195793.62715816498,1.4264506977377415E7,56144.03271700971,0.0,194502.42890882492,1.3923720113818407E7,1345373.2258064516,0.0,4640160.0,3.3365256E8,7.643910096179844,0.0,14.986246628231472,1895.6897038526013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,248
Approve Purchase Order for payment,39842.18741939354,60.0,200304.68657279015,4980273.427424192,39782.18741939354,0.0,200244.68657279015,4972773.427424192,933420.48,0.0,4640160.0,1.1667756E8,0.3333333333333335,0.3333333333333333,0.3333333333333333,41.666666666666686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,125
Authorize Supplier's Invoice payment,5468.961829246521,0.0,23051.921459674835,683620.2286558151,5468.961829246521,0.0,23051.921459674835,683620.2286558151,126579.84,0.0,576360.0,1.582248E7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,125
Choose best option,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,125
Create Purchase Order,96842.85095919609,365.9574055671692,197762.35730147362,1.2105356369899511E7,96269.55071751404,0.0,197054.44560313225,1.2033693839689255E7,2267941.44,0.0,4640160.0,2.8349268E8,3.185001342678071,2.0009931815995112,4.325653971566094,398.1251678347589,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,125
Create Purchase Requisition,1870.4788840179444,323.9038755893707,3388.167891263962,233809.86050224304,0.0,0.0,0.0,0.0,58551.96883452415,0.0,157638.99529218674,7318996.104315519,10.391549355655245,1.799465975496504,18.823154951466453,1298.9436694569056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,125
Create Quotation comparison Map,98081.65951491546,4185.411007881165,214920.62970113754,1.2260207439364433E7,86323.55255083276,0.0,205839.53135681152,1.0790444068854094E7,2292873.12,43260.0,5144460.0,2.8660914E8,65.32281646712619,13.261706866158379,120.86340565019184,8165.352058390774,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,125
Create Request for Quotation,364.51761092567443,17.80329132080078,2025.8286933898926,45564.701365709305,0.0,0.0,0.0,0.0,5391.36,0.0,97260.0,673920.0,4.050195676951937,0.19781434800889758,22.50920770433214,506.2744596189921,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,125
Deliver Goods Services,334661.01320448495,12775.396443128586,732453.5394508839,4.183262665056062E7,239909.58215298082,0.0,588332.7277469635,2.99886977691226E7,7826255.04,234180.0,1.715202E7,9.7828188E8,526.3968391750228,70.9744246840477,972.5544705708821,65799.60489687785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,125
EVENT 1 START,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,125
EVENT 2 END,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,125
End,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,125
GATEWAY 25 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,248
GATEWAY 26 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,248
GATEWAY 27 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,125
GATEWAY 28 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,125
GATEWAY 29 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,245
GATEWAY 30 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,245
Pay Invoice,4112.824308380127,240.77414560317993,23609.754645109177,514103.03854751587,3537.905937511444,0.0,23051.921459674835,442238.2421889305,101732.64,0.0,580020.0,1.271658E7,3.1939909492704603,1.3376341422398885,4.963410354985131,399.24886865880757,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,125
Release Purchase Order,60.0,60.0,60.0,7500.0,0.0,0.0,0.0,0.0,5734.08,0.0,158460.0,716760.0,0.3333333333333335,0.3333333333333333,0.3333333333333333,41.666666666666686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,125
Release Supplier's Invoice,847.8152584705352,121.45151996612549,21837.637197732925,105976.90730881691,574.584337272644,0.0,21578.411101579666,71823.0421590805,11260.32,0.0,580020.0,1407540.0,1.517949562210507,0.6747306664784749,2.330641566382514,189.7436952763134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,125
Send Invoice,266098.1933112812,0.0,593291.9873380661,3.326227416391015E7,266098.1933112812,0.0,593291.9873380661,3.326227416391015E7,6227287.2,0.0,1.392048E7,7.784109E8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,125
Send Request for Quotation to Supplier,68002.33173771859,1185.1603791713715,208155.9684729576,8500291.467214823,66600.54078401756,0.0,206959.30836129189,8325067.598002195,1590192.0,0.0,4888740.0,1.98774E8,7.7877275205612175,2.645064988401201,13.222760217719609,973.4659400701522,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,125
Settle Conditions With Supplier,143575.14813640786,18675.48041343689,251054.852134943,1.794689351705098E7,110129.38296974564,0.0,207000.9737560749,1.3766172871218204E7,3361116.48,536760.0,5843460.0,4.2013956E8,185.80980648145675,81.3776808725463,291.4815699776014,23226.22581018209,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,125
Settle Dispute With Supplier,15079.785513387007,428.114089012146,65191.77339243889,1025425.4149103165,3695.425110038589,0.0,22356.098656892776,251288.90748262405,354060.8823529412,0.0,1505880.0,2.407614E7,63.246446685269,1.4322452319992913,362.1765188468827,4300.758374598292,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68
Start,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,125

Scenario statistics
KPI,Min,Average,Max
Process Cycle Time (s),7958151.637088776,2.895621503991722E7,3.7321260046029806E7
Process Cycle Time excluding out of timetable hours (s),326402.8356721401,1186385.1510826987,1531745.593259573
Process Waiting Time (s),183810.97446107864,1028094.5141802044,1342887.7273476124
Accumulated Process Duration (s),7958151.637088776,2.895621503991722E7,3.7321260046029806E7
Cost,382.9538212484784,881.4369598805322,1674.8663475526703


Process Cycle Time (s) distribution
From,To,Count
7958151,10894461,8
10894462,13830772,7
13830773,16767083,4
16767084,19703394,3
19703395,22639705,2
22639706,25576016,7
25576017,28512327,6
28512328,31448638,7
31448639,34384949,59
34384950,37321260,22

Process Waiting Time (s) distribution
From,To,Count
183810,299717,11
299718,415625,3
415626,531533,4
531534,647441,3
647442,763349,3
763350,879257,5
879258,995165,7
995166,1111073,9
1111074,1226981,36
1226982,1342889,44

Accumulated Process Duration (s) distribution
From,To,Count
7958151,10894461,8
10894462,13830772,7
13830773,16767083,4
16767084,19703394,3
19703395,22639705,2
22639706,25576016,7
25576017,28512327,6
28512328,31448638,7
31448639,34384949,59
34384950,37321260,22

Process Cost distribution
From,To,Count
382,511,20
512,641,8
642,771,15
772,901,23
902,1031,17
1032,1161,19
1162,1291,16
1292,1421,5
1422,1551,1
1552,1681,1

In-timetable Cycle time (s) distribution
From,To,Count
326402,446936,8
446937,567471,7
567472,688006,4
688007,808541,3
808542,929076,2
929077,1049611,7
1049612,1170146,6
1170147,1290681,8
1290682,1411216,61
1411217,1531751,19



Details
Instance #,Cycle time (s),Cycle time in time table only (s),Waiting time (s),Cost
1,7974009.316054106,328328.31605410576,199697.56960606575,716.6962276273304
2,7958151.637088776,326402.8356721401,183810.97446107864,792.6362219532331
3,1.174335551428485E7,483352.23808431625,273548.5343530178,1166.8634807507199
4,1.2592265140999794E7,514075.99971580505,339343.8118658066,972.0186685972745
5,1.1470673104652405E7,469192.58268857,248619.49511027336,1228.1646452188488
6,8071324.842622519,329807.16846752167,203940.88750219345,700.738215230571
7,1.0308122541249514E7,422559.9320976734,348612.3434307575,412.86498277584707
8,9615945.712807178,396472.3152103424,184377.15548825264,1179.8204532927937
9,1.0810099832313776E7,441799.832313776,246895.32877993584,1085.0268474777538
10,1.4323213749133587E7,581893.4226813316,445410.62818336487,760.7749781211218
11,9210663.811832428,372091.09018206596,277212.8278954029,528.9292515913647
12,1.5084066778002739E7,617811.7475693226,506536.04287052155,618.6606460412345
13,3.4944706736674786E7,1427523.6660706997,1342887.7273476124,474.164688176579
14,3.5174887129989624E7,1437513.6006672382,1254020.3774974346,1020.9329813308186
15,9592929.235667467,392500.8173646927,243774.8235900402,828.1796287549868
16,2.5914103950144053E7,1063479.8721663952,951631.535970211,623.489150759909
17,1.1595627222060204E7,477736.1686220169,285841.91152358055,1069.8482235749561
18,1.257187115224886E7,513331.19216680527,320224.822691679,1073.214440435833
19,1.343346088801241E7,552996.1171662807,299341.2746286392,1410.1423671934338
20,2.1888941336093187E7,902233.6764235497,744780.332116127,877.3359348230892
21,2.3846140404573202E7,976780.4045732021,888350.3055450916,491.42205784055915
22,1.3292269549152613E7,544012.7456197739,454245.39462542534,499.68610075049924
23,1.5193625238758326E7,625520.7705996037,493790.00847792625,734.8225315584077
24,2.419674453336191E7,992822.2627189159,759522.656801939,1296.9349791857928
25,1.7927480843065977E7,735943.040759325,544911.3980698586,1064.8921629216939
26,3.1425325239598513E7,1285599.3643267155,1137611.0873570442,823.3266862975228
27,3.0598166262866497E7,1254148.8083307743,1014168.7147023678,1338.1366584499676
28,1.4776853760217905E7,603036.665166378,532262.4801495075,398.22124689552516
29,3.1597291249195337E7,1290553.1597847939,1069337.1087675095,1229.6024202373292
30,2.1648410154209375E7,884553.0784409046,767231.4575276375,652.4240930689706
31,1.844631645351243E7,755075.0964403152,663079.0693340302,511.28715779383975
32,2.991564191011715E7,1221672.3458428383,920215.557762146,1674.8663475526703
33,1.8336723976095915E7,749224.8577692509,623625.3505725861,698.6175165481038
34,3.473413810623002E7,1424409.22337389,1253962.8080768585,947.4843366344771
35,3.4719903935845375E7,1424196.5017580986,1268685.9590730667,865.2996743745275
36,2.3479768200390816E7,966230.8678979874,789358.5498006344,984.3541148768531
37,3.7321260046029806E7,1531745.593259573,1287444.544273138,1359.791121306684
38,3.468032197422242E7,1426612.727775097,1231329.8366389275,1086.2437611222267
39,3.361636342016244E7,1378222.2240355015,1226754.9932749271,845.5708486265607
40,2.375700291455698E7,971798.9397895336,853853.7914972305,656.6169734968081
41,2.53820161492579E7,1040074.2917337418,817991.969504118,1234.6114950643641
42,3.5144260578900576E7,1438790.9379656315,1308603.549720049,725.7238041400909
43,2.3983715985835314E7,984768.4561219215,813406.9637670517,953.6759385797715
44,3.4756832780204535E7,1425303.4597103596,1212399.7658605576,1183.3246605581708
45,3.4742749243949175E7,1425268.0737035275,1234918.687880516,1060.937996310658
46,3.456679815833855E7,1421812.1162774563,1332800.560535431,498.2488810340563
47,2.721294430321598E7,1114418.8662939072,948904.1623122692,930.780737083488
48,2.9691264467373848E7,1214640.12729311,1030396.6698489189,1023.6792630063163
49,3.089558558661461E7,1269305.7147738934,1073944.6336445808,1090.0800622953307
50,3.4671815711078644E7,1421008.5460379124,1280360.1177632809,787.2091823829546
51,2.3268981730858803E7,958838.099294424,884996.3499011993,412.44535229868353
52,2.78305699846766E7,1145989.9846765995,983684.4626421928,906.7269134521486
53,3.462930496945429E7,1413416.557615757,1240719.4942326546,961.4795650442442
54,2.701278435455942E7,1102516.2981770039,1030306.8101911545,402.0874113467005
55,3.460213148727822E7,1414152.2749328613,1206094.7721517086,1157.3318546613057
56,3.442033807125497E7,1408534.594821453,1288417.5985805988,668.9987326290873
57,3.3194459383526087E7,1356694.5537581444,1192349.407631874,914.191104883618
58,3.0326126990323544E7,1240347.2347567081,1149738.7202789783,504.24992438819675
59,3.1959484061576366E7,1309722.5026791096,1100074.623688221,1166.5531206448873
60,3.453174231136894E7,1413761.0520250797,1315437.7264962196,552.1508561399247
61,3.2099158285765648E7,1315319.9875440598,1116383.3006196022,1106.5559626632264
62,3.2085605692237377E7,1315752.6781117916,1106386.184715271,1172.5958870437407
63,2.7064513443318367E7,1110999.507769823,994339.3925805092,650.8170931206811
64,2.7264734090031147E7,1119865.8258001804,1000586.3074681759,663.6038480997087
65,3.430126463162041E7,1408413.1515607834,1302814.7236702442,593.0619111657144
66,3.0574382816138744E7,1251369.8233823776,1106872.0688676834,803.8573640492227
67,3.44323974789238E7,1409151.532229185,1173755.2525436878,1311.9274275792968
68,3.441922671417093E7,1406406.419752121,1325780.6883256435,449.85772265990573
69,3.466483183263254E7,1417433.096539259,1300420.176169157,655.1536958389813
70,3.301282761151433E7,1350133.7706267834,1194689.2925105095,865.5098347716862
71,3.437808123520851E7,1407261.2934291363,1275170.124925375,736.9657534930441
72,3.42008693402102E7,1399001.4258921146,1329692.9390938282,386.6334040668275
73,3.445245876808667E7,1412359.3882288933,1216452.9524347782,1089.870347995228
74,3.433638051185703E7,1403940.1799929142,1251017.7218253613,851.2306113508012
75,3.397796641711068E7,1390995.4843511581,1216020.3215727806,972.9449348515934
76,3.430802349823642E7,1403529.4313893318,1193340.6895198822,1171.9944007052316
77,3.413311411450386E7,1400962.0942549706,1292622.8214428425,603.030006357034
78,3.427854761422253E7,1401902.787217617,1202897.1811254025,1106.1556868301495
79,3.42655265168345E7,1402838.6997389793,1172353.197202444,1281.8523507555326
80,3.425326295110321E7,1404552.052456379,1200491.545523405,1135.1874596542784
81,3.423655870204353E7,1401872.20145607,1219840.654082775,1012.9112932099237
82,3.406254151197171E7,1400388.5950963497,1229203.9511675835,952.0473843256633
83,3.420954457011199E7,1399390.6717414856,1310286.8105478287,496.70922773546636
84,3.419493610080743E7,1398744.962991476,1174421.3827359676,1246.959530791971
85,3.461958715775013E7,1419420.3526961803,1247141.4904978275,959.4164859612783
86,3.41671852969048E7,1398901.156673193,1244312.2151389122,861.9493673682214
87,3.399274578342795E7,1396976.867329359,1318107.825005293,441.969257832898
88,3.4241535524369E7,1407625.5358788967,1185439.7258384228,1234.4645185099707
89,3.396549891417098E7,1397805.8684527874,1308339.212524891,498.90435685184264
90,3.45467371381495E7,1413537.1381495,1205204.2390654087,1159.643438226647
91,3.409708449864602E7,1395390.2852363586,1168431.2267799377,1263.0660385370252
92,3.3916246793898344E7,1390723.7732276917,1186475.2802379131,1136.0550480220052
93,3.406848689469981E7,1394854.323188305,1272495.763021946,681.6825966715813
94,3.389286912119365E7,1391721.3949315548,1199639.3203744888,1068.0987646778424
95,3.388184211916399E7,1394666.1939017773,1245575.8672127724,829.5291751623155
96,3.3866037139983416E7,1385738.1446912289,1308562.9895694256,429.445993039343
97,3.401393093897247E7,1389123.5948500633,1226891.068961382,902.2756795101697
98,3.383261870860624E7,1383976.7360765934,1297643.9331822395,480.10226571692357
99,3.38238765642426E7,1385563.3776767254,1316771.0956993103,382.9538212484784
100,3.380374195855236E7,1383099.2710268497,1299359.7408940792,466.87381224764715
101,3.440160099484801E7,1411237.6045110226,1228746.1132273674,1014.8021191067166
102,3.394370673225021E7,1388873.6184682846,1302781.2811079025,479.61104218429983
103,3.402951695779014E7,1394910.8268594742,1241813.4451375008,853.1356491870351
104,3.435128496601105E7,1406428.0078074932,1186317.0642457008,1223.1534349362055
105,3.39031444782784E7,1390176.0800290108,1241182.8150322437,829.4635560644998
106,3.372740093522906E7,1386887.0227296352,1184564.8095860481,1125.3687716113195
107,3.371336427773881E7,1386865.705272913,1240270.9552707672,815.3419175730812
108,3.386071249598932E7,1386218.0556833744,1217516.975707531,939.776230914063
