Resource utilization
Resource,Utilization %
Role 1,2
SYSTEM,0
Role 4,0
Role 6,0
Role 3,54
Role 2,85
Role 5,3

Individual task statistics
Name,Avg duration,Min duration,Max duration,Total duration,Avg waiting time,Min waiting time,Max waiting time,Total waiting time,Avg idle time,Min idle time,Max idle time,Total idle time,Avg cost,Min cost,Max cost,Total cost,Avg cost over thresh,Min cost over thresh,Max cost over thresh,Total cost over thresh,Avg duration over thresh,Min duration over thresh,Max duration over thresh,Total duration over thresh,Count,
Amend Purchase Requisition,1513.0824109798386,1.2061119079589844,10274.588551044464,381296.7675669193,0.0,0.0,0.0,0.0,32126.428571428572,0.0,252180.0,8095860.0,8.406013394332438,0.006700621710883247,57.08104750580258,2118.3153753717743,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,252
Amend Request for Quotation,615.1239776708642,0.0,1198.2282021045685,120564.29962348938,0.0,0.0,0.0,0.0,11672.448979591836,0.0,158460.0,2287800.0,3.4173554315048,0.0,6.656823345025381,669.8016645749408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,196
Analyze Purchase Requisition,388.94557089721206,240.30906915664673,539.8687760829926,175803.39804553986,0.0,0.0,0.0,0.0,6345.530973451328,0.0,158460.0,2868180.0,2.1608087272067347,1.335050384203593,2.9992709782388474,976.685544697444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,452
Analyze Quotation Comparison Map,1199.9353452908992,361.8894307613373,2037.4859502315521,239987.06905817986,0.0,0.0,0.0,0.0,25670.4,0.0,158460.0,5134080.0,6.666307473838333,2.010496837562985,11.31936639017529,1333.2614947676666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200
Analyze Request for Quotation,85129.27832506763,205.5541124343872,301000.39991116524,3.371119421672678E7,83708.63256160177,0.0,298894.2503669262,3.3148618494394302E7,1989935.1515151516,0.0,7003500.0,7.8801432E8,7.892476463699182,0.19818038675520155,16.86685845984353,3125.4206796248764,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,396
Approve Purchase Order for payment,79946.13102446437,60.0,300758.4950437546,1.5989226204892874E7,79886.13102446437,0.0,300698.4950437546,1.5977226204892874E7,1873175.1,0.0,7003500.0,3.7463502E8,0.333333333333334,0.3333333333333333,0.3333333333333333,66.6666666666668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200
Authorize Supplier's Invoice payment,5414.484015421867,0.0,25419.23162484169,1082896.8030843735,5414.484015421867,0.0,25419.23162484169,1082896.8030843735,131888.7,0.0,580020.0,2.637774E7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200
Choose best option,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200
Create Purchase Order,169504.50756185173,361.28475189208984,304053.36533617973,3.390090151237035E7,168941.71742420553,0.0,303565.3921465874,3.378834348484111E7,3962457.9,0.0,7129560.0,7.9249158E8,3.126611875812211,2.00713751051161,4.328871197170681,625.3223751624422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200
Create Purchase Requisition,1787.6175743722915,305.2445013523102,3378.7563326358795,357523.5148744583,0.0,0.0,0.0,0.0,57346.26456924915,0.0,158460.0,1.146925291384983E7,9.931208746512736,1.6958027852906121,18.770868514643777,1986.241749302547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200
Create Quotation comparison Map,172976.91218426346,3788.204156398773,315803.13348793983,3.459538243685269E7,160037.7482583058,0.0,294811.8626642227,3.2007549651661158E7,4057396.8,158460.0,7446540.0,8.1147936E8,71.88424403309821,14.483515312936571,121.28036920097139,14376.848806619642,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200
Create Request for Quotation,312.4644489169121,13.951067924499512,1133.685996055603,62492.889783382416,0.0,0.0,0.0,0.0,6449.4,0.0,158460.0,1289880.0,3.471827210187913,0.15501186582777235,12.596511067284478,694.3654420375826,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200
Deliver Goods Services,405797.67334076046,13213.061210632324,1068660.103662014,8.11595346681521E7,310040.9751213276,0.0,901219.3715229034,6.200819502426553E7,9499593.3,255840.0,2.501292E7,1.89991866E9,531.981656774627,71.99966206550599,977.5660797410541,106396.33135492541,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200
EVENT 1 START,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200
EVENT 2 END,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200
End,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200
GATEWAY 25 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,396
GATEWAY 26 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,396
GATEWAY 27 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200
GATEWAY 28 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200
GATEWAY 29 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,452
GATEWAY 30 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,452
Pay Invoice,5409.608667078018,241.99583911895752,25952.610817432404,1081921.7334156036,4819.676672395468,0.0,25239.28626227379,963935.3344790936,136118.7,0.0,580020.0,2.722374E7,3.27739997045861,1.3444213284386528,4.996882410844167,655.479994091722,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200
Release Purchase Order,60.0,60.0,60.0,12000.0,0.0,0.0,0.0,0.0,2017.2,0.0,154860.0,403440.0,0.333333333333334,0.3333333333333333,0.3333333333333333,66.6666666666668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200
Release Supplier's Invoice,1044.8953940856456,121.48738932609558,21942.06158041954,208979.07881712914,776.7146421289444,0.0,21622.810059785843,155342.92842578888,19442.7,0.0,425160.0,3888540.0,1.4898930664261179,0.674929940700531,2.3324793166584437,297.97861328522356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200
Send Invoice,380066.8572173858,0.0,911623.9358744621,7.601337144347715E7,380066.8572173858,0.0,911623.9358744621,7.601337144347715E7,8880311.1,0.0,2.125902E7,1.77606222E9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200
Send Request for Quotation to Supplier,124911.44549248576,690.8136239051819,293951.16323542595,2.4982289098497152E7,123571.58342558026,0.0,292208.9433398247,2.4714316685116053E7,2921409.0,0.0,6916980.0,5.842818E8,7.44367814947499,1.540511663754781,14.40309589041604,1488.735629894998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200
Settle Conditions With Supplier,219759.61733012914,21995.301294326782,349048.36324834824,4.395192346602583E7,186711.0309830618,0.0,299652.20412802696,3.734220619661236E7,5143408.2,507960.0,8275140.0,1.02868164E9,183.6032574837075,79.49994375970628,292.9298080497318,36720.6514967415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200
Settle Dispute With Supplier,14210.491123345992,15.616800785064697,39481.04789209366,1364207.1478412151,5617.874208738406,0.0,25238.01065802574,539315.924038887,356452.5,0.0,958320.0,3.421944E7,47.7367606367088,0.08676000436147054,182.08772258228726,4582.729021124045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96
Start,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200

Scenario statistics
KPI,Min,Average,Max
Process Cycle Time (s),5163499.394560337,4.264106961630446E7,5.677422658713198E7
Process Cycle Time excluding out of timetable hours (s),212538.39456033707,1746956.8517352212,2326085.813771963
Process Waiting Time (s),138983.70838046074,1588706.5908764433,2111511.8816375732
Accumulated Process Duration (s),5163499.394560337,4.2641070243314765E7,5.677422658713198E7
Cost,279.6242272456488,880.9075128777757,1430.7446136130227


Process Cycle Time (s) distribution
From,To,Count
5163499,10324571,4
10324572,15485644,9
15485645,20646717,12
20646718,25807790,10
25807791,30968863,7
30968864,36129936,10
36129937,41291009,14
41291010,46452082,14
46452083,51613155,15
51613156,56774228,105

Process Waiting Time (s) distribution
From,To,Count
138983,336235,7
336236,533488,9
533489,730741,13
730742,927994,6
927995,1125247,7
1125248,1322500,14
1322501,1519753,11
1519754,1717006,12
1717007,1914259,20
1914260,2111512,101

Accumulated Process Duration (s) distribution
From,To,Count
5163499,10324571,4
10324572,15485644,9
15485645,20646717,12
20646718,25807790,10
25807791,30968863,7
30968864,36129936,10
36129937,41291009,14
41291010,46452082,14
46452083,51613155,15
51613156,56774228,105

Process Cost distribution
From,To,Count
279,394,6
395,510,18
511,626,24
627,742,24
743,858,20
859,974,23
975,1090,32
1091,1206,24
1207,1322,20
1323,1438,9

In-timetable Cycle time (s) distribution
From,To,Count
212538,423892,3
423893,635247,10
635248,846602,12
846603,1057957,10
1057958,1269312,7
1269313,1480667,12
1480668,1692022,12
1692023,1903377,13
1903378,2114732,16
2114733,2326087,105



Details
Instance #,Cycle time (s),Cycle time in time table only (s),Waiting time (s),Cost
1,5163499.394560337,212538.39456033707,138983.70838046074,409.0552621947394
2,9174436.313451767,379141.3396527767,212233.58563518524,930.314195614391
3,1.3210541769186497E7,542052.957212925,335675.23305511475,1146.9612226976285
4,2.205726746176219E7,904287.19014287,697154.2833106518,1151.184704389837
5,1.0939523429473162E7,446275.03287792206,242635.90426516533,1132.1239587916268
6,9542472.591525316,392673.95022392273,260570.28996539116,734.8988571736548
7,1.108292155971384E7,455756.80699777603,346846.58045220375,608.7940954340829
8,1.0299804104574442E7,425140.4788863659,230030.59412837029,1085.7302426483893
9,1.2916352963356972E7,530552.9633569717,297727.7382700443,1294.337262268861
10,1.7738278422484398E7,722557.2991728783,503482.5552186966,1217.3819904062484
11,1.7724976952376366E7,723316.5259869099,502285.0013997555,1232.3582071171868
12,1.7503722732156515E7,717782.7492396832,570062.472117424,824.836742424965
13,3.622911556608415E7,1480233.9135928154,1227783.9874255657,1403.8514058364763
14,1.366180776901269E7,556886.609400034,371234.17928409576,1034.986947309971
15,2.0476818633610964E7,836295.4716296196,640385.2947835922,1088.5920996917619
16,1.3818689037372112E7,568776.8601083755,367870.2928521633,1116.8019335455363
17,3.0049309335713625E7,1228556.5747537613,1071360.610802412,877.2165626658335
18,1.3448548861203194E7,554544.8807063103,361134.6450059414,1075.7373373375997
19,1.5148063221472502E7,621749.9693789482,463924.65553307533,876.8848050766521
20,2.2392894409498453E7,920332.8548431396,757244.3877520561,906.4838800205125
21,1.2196725336971283E7,502605.33697128296,427282.5812807083,419.1682573331726
22,1.696606892875123E7,694838.1592900753,509397.99091959,1030.461061946551
23,1.908171591331649E7,781845.0636603832,607884.4444944859,967.6202796326744
24,2.2987850392501354E7,944446.0545983315,730562.5818698406,1188.924894747469
25,1.671687413973403E7,685818.4480233192,558363.6737413406,709.857050324811
26,5.411813153889227E7,2215644.4449357986,1995851.850575447,1221.971998960442
27,2.4155840782282352E7,990929.8453729153,800264.7383391857,1059.671336974038
28,1.814467183351469E7,743512.4548609257,564781.3185515404,995.193866888682
29,2.625220737957549E7,1069113.0366067886,933457.7482249737,756.0522457811568
30,1.898365276591134E7,774773.2636885643,601115.1116137505,967.74464690023
31,2.1387846398166418E7,872851.8155493736,663513.1694376469,1164.8402725868755
32,3.2506155229151726E7,1330630.5817074776,1178139.40949893,848.9472718013659
33,1.8628924975047827E7,764581.2079803944,608012.5163807869,871.259867978096
34,5.374660684872675E7,2204592.696003437,1983474.6378917694,1229.3840465969508
35,2.6244872731274366E7,1073641.1392581463,976094.8354251385,543.9119356234868
36,5.387757080534816E7,2208786.4544689655,1957902.241155386,1395.6010838707286
37,4.034529930148721E7,1656252.0136971474,1514939.1161541939,785.7673235350186
38,3.0605842390476465E7,1254447.4170138836,1077030.7978200912,987.9423996541236
39,1.980729501626134E7,816523.0556533337,683474.7547941208,739.4411077075536
40,5.382096565662718E7,2204676.7139611244,1971321.3451778889,1300.5660387701457
41,1.9173455759152174E7,787142.7092692852,666924.8291137218,670.00163289441
42,3.5830671825677395E7,1469969.7512068748,1297820.873481512,957.4796729776596
43,2.206805400868821E7,903345.2565042973,708477.7830286026,1084.1190547506014
44,2.21556497056911E7,911198.7656486034,804421.794626236,593.7737771656778
45,2.593049416669178E7,1065069.8672187328,995194.6526739597,388.5473460793495
46,5.383524077811217E7,2205658.1923823357,2004902.396809578,1116.6203083011837
47,2.8319831368722677E7,1158836.0163567066,1050008.9597296715,605.9515488677555
48,2.4779031096055508E7,1014889.3670241833,841053.5801479816,966.4797488239078
49,2.51090964511137E7,1031011.0534572601,907045.9839265347,692.2009515656365
50,2.383369666129923E7,980142.8814997673,899067.1548173428,452.28074449565673
51,4.020055122062206E7,1649958.15400815,1514177.4920442104,754.4344041109086
52,5.37527829554739E7,2203062.9554739,2111511.8816375732,510.43669228951126
53,3.2259121824600697E7,1320137.5349216461,1125402.8258357048,1082.904936644766
54,3.224315174501419E7,1318099.9806277752,1164739.488553524,853.4737273931505
55,5.360950669306111E7,2192434.162289858,1971152.5424523354,1229.6452973948585
56,3.6159302802886486E7,1479562.3067953587,1239588.6563715935,1334.3202815175055
57,4.374769034140158E7,1793745.1138687134,1710370.27307868,464.0718128469256
58,5.677422658713198E7,2326085.813771963,2101119.442219496,1254.1888886398738
59,3.490778788005066E7,1430090.2763364315,1247875.279481411,1012.4974460257425
60,2.731996557783079E7,1119053.6351070404,1005431.4544334412,632.4085511975819
61,5.3526210506109476E7,2193090.2512304783,2073298.4895653725,667.715673198965
62,3.192237519559765E7,1310993.129215479,1134919.4674363136,979.4820584244198
63,4.366120585519028E7,1791249.8081319332,1692668.7034769058,549.865326509211
64,5.34847955239985E7,2193584.9665005207,2031010.1190350056,906.2337988138199
65,5.3647401704508066E7,2197289.362164974,2017634.029321909,999.3646925555337
66,5.329613035197282E7,2184303.3688156605,2070209.3715543747,634.2450601842669
67,4.9383588221140146E7,2021799.3414905071,1851915.3790559769,945.3900355643697
68,5.342774693759751E7,2185616.45838809,2061814.8739762306,689.6087080968751
69,3.6661809209968805E7,1501295.831300974,1308068.4668905735,1074.6992939101324
70,3.646627453202844E7,1492844.4448370934,1273838.035859108,1217.6980530646108
71,3.110989236145425E7,1273403.3625264168,1166604.0336658955,594.0956567049027
72,3.799311066386247E7,1552661.3342490196,1380544.8555641174,957.6644092294905
73,3.358357270871544E7,1375667.8280022144,1257206.0874669552,662.1657393362789
74,4.306113927453351E7,1759859.8692114353,1574916.6441817284,1029.1526739557585
75,5.3173287159927845E7,2180498.8122718334,1981865.5507776737,1105.9245651536517
76,5.310449349244046E7,2176217.448538542,1955654.0137929916,1227.2853003462155
77,5.309077890872002E7,2176516.6509370804,2101751.6851718426,419.17886434396104
78,3.464152833569479E7,1419342.064268589,1318791.8314349651,559.875973988904
79,3.618215973167086E7,1486024.438040018,1401656.1681153774,469.66189181009923
80,3.73767966488657E7,1534552.852593422,1347046.841703415,1042.8910195681783
81,3.34716940542233E7,1375746.626215458,1276216.8962233067,557.0605035132833
82,5.333336512074041E7,2186507.539275408,2091553.1218280792,530.6861225909657
83,5.3216658121326685E7,2177480.0362398624,2034097.5122842789,798.3929854671161
84,5.304456280646086E7,2174321.8797910213,2057245.7307376862,650.8462554534277
85,3.6355662616791725E7,1487838.1830410957,1343886.4366705418,800.3144768079123
86,4.086779267960596E7,1676358.9831178188,1481648.4442081451,1086.3175797462463
87,4.106438565138769E7,1681586.7371451855,1515023.5796535015,927.3633001923563
88,4.243870703493762E7,1740552.4314711094,1501997.3944716454,1328.3431858036251
89,5.297558019025397E7,2175176.4345202446,1972478.6111881733,1128.7605668915642
90,5.3120582307786465E7,2176082.3077864647,2045527.2704491615,728.497557599015
91,4.135524631507087E7,1693490.0965874195,1507521.2379612923,1037.3730702625382
92,5.293301952870035E7,2171237.0758111477,2084632.8405406475,482.19145706097277
93,3.71943576171844E7,1527039.2567036152,1450043.072746992,429.33909151554104
94,5.290585726121688E7,2172025.912448406,2088492.6857585907,465.05593852467007
95,4.321348660512781E7,1773984.3778350353,1549236.5918824673,1250.727362917529
96,5.287907224014974E7,2166192.9696109295,1996310.3622756004,944.5068347586525
97,3.955930463625026E7,1620821.8497536182,1561919.2362306118,328.15875815815394
98,5.461184951894331E7,2237257.6787478924,2057295.296996832,1001.1788086957404
99,4.315951025264478E7,1768845.3386790752,1610751.6028072834,879.3777093238301
100,4.5565632797406435E7,1868912.7005591393,1653185.632913351,1200.1237235453393
101,4.252653400341272E7,1743883.9804239273,1632937.7356860638,618.6086132513153
102,5.305120054074669E7,2170082.142927885,1931218.9389646053,1331.2214835511313
103,4.1547909212952614E7,1701137.647992611,1603172.7717559338,545.9211941666074
104,5.2925269974592686E7,2169463.2249498367,2045884.4639589787,689.3365042342081
105,4.461831667593908E7,1827523.509791851,1627698.4079649448,1114.590392041206
106,5.299526543221927E7,2170187.563236475,1967678.4997346401,1128.1510673999785
107,4.701198385327244E7,1929005.7012672424,1746984.052612543,1012.3648436572818
108,5.296783197546697E7,2167180.853755951,2097970.0268867016,389.3812199274699
