Resource utilization
Resource,Utilization %
Role 1,2
SYSTEM,0
Role 4,0
Role 6,0
Role 3,45
Role 2,75
Role 5,3

Individual task statistics
Name,Avg duration,Min duration,Max duration,Total duration,Avg waiting time,Min waiting time,Max waiting time,Total waiting time,Avg idle time,Min idle time,Max idle time,Total idle time,Avg cost,Min cost,Max cost,Total cost,Avg cost over thresh,Min cost over thresh,Max cost over thresh,Total cost over thresh,Avg duration over thresh,Min duration over thresh,Max duration over thresh,Total duration over thresh,Count,
Amend Purchase Requisition,1660.9274735721674,22.456464529037476,6859.36025762558,219242.4265115261,0.0,0.0,0.0,0.0,35265.90909090909,0.0,252120.0,4655100.0,9.227374853178713,0.12475813627243042,38.107556986808774,1218.0134806195902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,132
Amend Request for Quotation,620.8929619594054,69.72805047035217,1450.5568115711212,68298.22581553459,0.0,0.0,0.0,0.0,19158.545454545456,0.0,158460.0,2107440.0,3.449405344218918,0.3873780581686232,8.058648953172895,379.434587864081,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,110
Analyze Purchase Requisition,395.46860705387024,241.58783197402954,537.4948515892029,99658.0889775753,0.0,0.0,0.0,0.0,5834.285714285715,0.0,154860.0,1470240.0,2.197047816965945,1.342154622077942,2.986082508828905,553.6560498754181,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,252
Analyze Quotation Comparison Map,1146.2617064634958,368.0704462528229,1936.3107013702393,137551.4047756195,0.0,0.0,0.0,0.0,27108.5,0.0,158460.0,3253020.0,6.368120591463864,2.0448358125156827,10.757281674279106,764.1744709756637,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120
Analyze Request for Quotation,48134.10413165611,66.89356637001038,161210.29414105415,1.1070843950280905E7,46723.032187430756,0.0,159529.2256486416,1.0746297403109074E7,1124985.9130434783,0.0,3782700.0,2.5874676E8,7.839288579029743,0.2489616632461548,16.296936844454873,1803.036373176841,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,230
Approve Purchase Order for payment,43170.162000580625,60.0,190726.16273498535,5180419.440069675,43110.162000580625,0.0,190666.16273498535,5173219.440069675,1010294.0,0.0,4478040.0,1.2123528E8,0.33333333333333337,0.3333333333333333,0.3333333333333333,40.00000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120
Authorize Supplier's Invoice payment,805.7338816563289,0.0,5585.257301330566,96688.06579875946,805.7338816563289,0.0,5585.257301330566,96688.06579875946,19274.5,0.0,162120.0,2312940.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120
Choose best option,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120
Create Purchase Order,94157.86845258078,468.6204493045807,185656.0770430565,1.1298944214309692E7,93578.37141042948,0.0,185219.89826703072,1.1229404569251537E7,2192914.0,0.0,4391580.0,2.6314968E8,3.2194280119516234,2.01382380856408,4.322812888357374,386.33136143419483,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120
Create Purchase Requisition,1838.5735258460045,313.2128908634186,3390.759654521942,220628.82310152054,0.0,0.0,0.0,0.0,58931.65542839368,0.0,157547.53539156914,7071798.651407242,10.214297365811136,1.740071615907881,18.83755363623301,1225.7156838973362,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120
Create Quotation comparison Map,101220.51762946248,5609.860605955124,197038.87421035767,1.2146462115535498E7,90311.25071639022,0.0,186258.32793998718,1.0837350085966825E7,2374326.0,93720.0,4640160.0,2.8491912E8,60.60703840595707,13.180975874265036,121.097435786989,7272.844608714849,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120
Create Request for Quotation,304.22117308974265,22.638723373413086,1505.0464601516724,36506.54077076912,0.0,0.0,0.0,0.0,6247.0,0.0,97260.0,749640.0,3.3802352565526967,0.25154137081570094,16.722738446129693,405.6282307863236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120
Deliver Goods Services,275018.2621982038,34157.62566566467,704156.4469838142,3.3002191463784456E7,177854.07218533952,0.0,549696.7063508034,2.1342488662240744E7,6446202.0,828600.0,1.656474E7,7.7354424E8,539.8010556270235,76.29396345615388,974.8524111972915,64776.12667524283,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120
EVENT 1 START,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120
EVENT 2 END,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120
End,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120
GATEWAY 25 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,230
GATEWAY 26 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,230
GATEWAY 27 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120
GATEWAY 28 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120
GATEWAY 29 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,252
GATEWAY 30 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,252
Pay Invoice,1769.555053361257,249.5755753517151,6325.3135142326355,212346.60640335083,1180.3589350859324,0.0,5585.257301330566,141643.0722103119,38820.5,0.0,162120.0,4658460.0,3.273311768196248,1.3502162098884583,4.99655102888743,392.79741218354974,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120
Release Purchase Order,60.0,60.0,60.0,7200.0,0.0,0.0,0.0,0.0,841.0,0.0,97260.0,100920.0,0.33333333333333337,0.3333333333333333,0.3333333333333333,40.00000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120
Release Supplier's Invoice,458.0150301615397,124.12171125411987,5696.950661659241,54961.803619384766,196.18717207113903,0.0,5565.084756374359,23542.460648536682,3213.0,0.0,162120.0,385560.0,1.4545992116133368,0.6895650625228882,2.3271510256661307,174.5519053936004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120
Send Invoice,224903.78341177106,0.0,536465.9918448925,2.6988454009412527E7,224903.78341177106,0.0,536465.9918448925,2.6988454009412527E7,5284144.0,0.0,1.25046E7,6.3409728E8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120
Send Request for Quotation to Supplier,68675.87069375515,329.73210620880127,182604.53007555008,8241104.483250618,67265.7758381625,0.0,180653.2921192646,8071893.1005795,1604183.0,0.0,4153860.0,1.9250196E8,7.833860308848046,1.8318450344933404,15.595220345920987,940.0632370617656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120
Settle Conditions With Supplier,133688.69904528657,17368.540847063065,233801.75393366814,1.604264388543439E7,100644.75423912605,0.0,183812.75520157814,1.2077370508695126E7,3132557.0,378300.0,5468760.0,3.7590684E8,183.57747114533632,80.93165833287769,292.91018877426785,22029.296537440357,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120
Settle Dispute With Supplier,7935.451651080962,126.24368691444397,38173.068170547485,491998.00236701965,453.79517495247626,0.0,5473.574139118195,28135.300847053528,153711.29032258064,0.0,835860.0,9530100.0,41.56475820071381,0.15886036422517563,208.6367018898328,2577.015008444256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62
Start,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120

Scenario statistics
KPI,Min,Average,Max
Process Cycle Time (s),4943170.9777596,2.5550104351680215E7,3.480153923107576E7
Process Cycle Time excluding out of timetable hours (s),207873.26613116264,1046801.1962518235,1425446.4271407127
Process Waiting Time (s),117570.43199038506,889637.3889902473,1218240.2384257317
Accumulated Process Duration (s),4943170.9777596,2.5550104351680215E7,3.480153923107576E7
Cost,305.55744065973494,874.8223801925886,1435.4557754768261


Process Cycle Time (s) distribution
From,To,Count
4943170,7929006,5
7929007,10914843,7
10914844,13900680,4
13900681,16886517,5
16886518,19872354,4
19872355,22858191,14
22858192,25844028,7
25844029,28829865,6
28829866,31815702,58
31815703,34801539,10

Process Waiting Time (s) distribution
From,To,Count
117570,227636,8
227637,337703,5
337704,447770,4
447771,557837,5
557838,667904,6
667905,777971,8
777972,888038,6
888039,998105,6
998106,1108172,33
1108173,1218239,39

Accumulated Process Duration (s) distribution
From,To,Count
4943170,7929006,5
7929007,10914843,7
10914844,13900680,4
13900681,16886517,5
16886518,19872354,4
19872355,22858191,14
22858192,25844028,7
25844029,28829865,6
28829866,31815702,58
31815703,34801539,10

Process Cost distribution
From,To,Count
305,417,4
418,530,13
531,643,14
644,756,17
757,869,17
870,982,12
983,1095,11
1096,1208,9
1209,1321,17
1322,1434,6

In-timetable Cycle time (s) distribution
From,To,Count
207873,329630,5
329631,451388,7
451389,573146,4
573147,694904,5
694905,816662,4
816663,938420,14
938421,1060178,7
1060179,1181936,5
1181937,1303694,59
1303695,1425452,10



Details
Instance #,Cycle time (s),Cycle time in time table only (s),Waiting time (s),Cost
1,1.031795684399581E7,424255.84399580956,195634.97430348396,1270.322783946991
2,4943170.9777596,207873.26613116264,117570.43199038506,503.68372250662907
3,1.0366146484735489E7,428299.1932346821,258946.7358314991,941.6538500507673
4,6123765.189411402,252838.03770303726,158789.37068104744,524.0914871268802
5,1.5949391728787184E7,653714.6063904762,430400.2523319721,1241.2334362069762
6,8332769.618923187,342747.5714952946,210500.90322732925,736.6708782792091
7,6896211.452643871,285512.3499631882,156157.8304901123,720.3267040451368
8,2.074662617035055E7,852679.4048895836,594769.517482996,1435.4557754768261
9,5870286.487185478,239406.4871854782,144742.7748143673,526.0500532084043
10,3.2048001381739616E7,1313094.4534626007,1141195.84922719,956.3705588155325
11,1.0077493872884512E7,410288.24102663994,244700.6825261116,922.8442812985845
12,1.205992766441989E7,493703.8254086971,307381.0032143593,1035.697349213229
13,1.6884870612243652E7,692464.4654824734,471466.25953006744,1230.404895778497
14,2.525330853752017E7,1030404.6122646332,904965.8253490925,697.4004661268658
15,1.435603225055623E7,587481.3500974178,431618.6565515995,870.8721928662725
16,8538593.740536451,350129.4910006523,227409.2228758335,683.5894237081211
17,1.3721432374753237E7,561036.0799026489,376367.62415385246,1028.1995210329694
18,6795839.037795067,281849.702852726,191199.9680902958,505.10783847570417
19,8334085.263482332,346265.63463306427,238455.1959657669,599.1386212203238
20,1.7208058353164434E7,706908.229155302,496942.3276991844,1168.8482645577853
21,8121773.237631083,332933.23763108253,242399.38846373558,503.60442943705453
22,2.5434206010056973E7,1042618.7467513084,927883.04211092,638.0345018757716
23,1.3880397425605536E7,566425.8761854172,478078.6900751591,493.06284718248577
24,3.045694801743889E7,1247905.4577636719,1040779.515286684,1151.654367025693
25,1.5768106698644876E7,644869.9713692665,493036.4759552479,844.9908414496316
26,3.1984090430756092E7,1308006.2789418697,1086558.1624686718,1231.831430859036
27,1.1849417688643694E7,486383.67726922035,367253.3254442215,665.3557215664122
28,2.737865831641507E7,1122028.7327957153,1024661.6937711239,543.10764447848
29,2.0289837239135504E7,830942.5665302277,665475.140472889,920.387023293972
30,2.0090166601020813E7,818282.509955883,599646.7773559093,1217.2000574045708
31,2.017763721902752E7,822509.6469056606,677354.9331178665,807.0833845191532
32,2.3262928120781183E7,949588.2425837517,805242.8670666218,802.6762295630243
33,1.5602109506465435E7,637735.475818634,497575.12913942337,779.2048006044496
34,3.1873613058413744E7,1305984.6273539066,1105359.9096722603,1118.2559369643527
35,2.202011217253542E7,905266.6216692924,748475.6199202538,873.1440647363664
36,1.7689914058948755E7,724866.4096090794,601821.8534433842,685.1086079332564
37,2.016876496109581E7,825607.7289135456,596621.9095892906,1272.6736562848089
38,1.9819448200250626E7,814384.7979264259,712262.2516272068,568.9201414664587
39,1.975191220388794E7,811359.9284996986,590363.3066103458,1228.4807017988626
40,2.704958543054676E7,1108757.6575944424,1016148.8863735199,514.7287539866235
41,2.2748778374038935E7,932572.3712248802,746471.206505537,1037.1560012459754
42,3.3229932446207523E7,1362058.1991398335,1202114.8286013603,889.5274913125569
43,2.492519083507681E7,1022256.2294380665,821981.3689460754,1113.4314313279256
44,2.188684502504778E7,897940.4550800323,753821.9238805771,800.9376142157448
45,2.1796818229839087E7,894027.8519711494,710371.2294802666,1020.5185687078372
46,3.1750007626573086E7,1303475.5632958412,1207847.041563034,531.7891883333524
47,3.168953149767089E7,1296719.6353781223,1072126.0486638546,1248.4801755521032
48,2.0546424320872784E7,842139.932025671,741299.0298607349,561.1167269468308
49,2.6653799947496414E7,1091256.8717768192,866931.2807466984,1247.8719282441668
50,2.2407237898994446E7,918845.7773010731,823023.2357149124,533.4173367023468
51,2.0503940958705902E7,841628.5446984768,755892.8178739548,477.7003019147449
52,2.1698800024024487E7,890140.0240244865,782974.86541152,598.3093230737582
53,3.1606547292891502E7,1290579.8504621983,1116389.5565931797,969.0005912211208
54,3.159203528660822E7,1290041.6990551949,1061070.862293005,1273.7896900177002
55,3.157705313335204E7,1289002.239632368,1125781.5561814308,908.9836775872442
56,2.527331640118289E7,1033639.6158173084,901026.444306612,739.1472229798636
57,3.1548929358931303E7,1288844.9888181686,1150327.2457408905,770.6425569997895
58,3.13762317340827E7,1288559.1079540253,1204114.8377172947,469.67698788775334
59,3.162195138611269E7,1296092.2156262398,1193480.761147976,570.9096126304734
60,3.155489395606327E7,1293463.6414527893,1149457.6594498158,802.0676995740996
61,3.1540851727593184E7,1293382.3180587292,1114121.768139124,997.158790649308
62,3.1482106992265463E7,1291930.3975560665,1193554.7628250122,547.0665726410019
63,2.880070761194682E7,1178825.538412571,1032289.3279409409,816.7455058428976
64,3.1453332239472866E7,1291200.7624895573,1218240.2384257317,407.68172689808733
65,2.6699952678370953E7,1094729.2441740036,994738.3169195652,558.1355477240351
66,2.5476364972368956E7,1045211.3029584885,913674.1390912533,732.0237916827202
67,2.882969763643861E7,1184648.4688937664,1015944.6299490929,937.8549325572122
68,2.458044022946763E7,1005937.4308371544,920888.4083242416,474.553855729103
69,3.164112576683569E7,1293447.0597791672,1049570.2598412037,1357.5486766351592
70,2.2343178976819277E7,915058.5283339024,860244.5498943329,305.55744065973494
71,3.206010920555091E7,1315162.5016987324,1062866.742077589,1402.1400676634576
72,3.1442282741583824E7,1287807.7317824364,1041974.8294365406,1367.1831002818212
73,3.132672060524702E7,1280049.6525831223,1110435.67911911,943.4410533706348
74,3.1311113968247652E7,1278468.0277359486,1048995.4172403812,1277.4457205613453
75,3.376603676481414E7,1384001.0670609474,1149436.1318919659,1305.5526887946658
76,3.1283253659294367E7,1278624.207654953,1179075.2810559273,553.6074947622088
77,2.9714852885121346E7,1215742.8704793453,1090245.035984993,701.8161528256205
78,3.014831879316306E7,1238130.8614580631,1093278.5575244427,808.1816841959956
79,3.1080633458672762E7,1276569.9362096786,1055106.7434194088,1231.4593272182676
80,3.1229728062645435E7,1281170.8130886555,1096425.531976223,1027.862455909782
81,3.1051397174453735E7,1275354.6753885746,1027687.1087965965,1377.6945533434548
82,3.1037692667927742E7,1275648.3998365402,1061488.514730215,1191.4400139159625
83,3.118664355050683E7,1276660.7494037151,1122268.000232935,860.0350545432833
84,3.480153923107576E7,1425446.4271407127,1177263.5571510792,1379.8527485609052
85,3.1157279683201313E7,1275294.5395667553,1071934.301210165,1136.6505545708867
86,3.1189165921302795E7,1278017.2229790688,1039137.4382498264,1328.5525894297493
87,3.002020662075734E7,1232611.1885051727,1118148.0829849243,637.3044092893601
88,3.1161589615679264E7,1278397.4264576435,1097129.7407929897,1015.4040673600304
89,3.2311289657036304E7,1325270.0641071796,1191803.637658596,742.422679426935
90,3.1087713108805418E7,1272513.108805418,1147540.177241087,694.6858575039441
91,3.1074931866767406E7,1273482.7208588123,1165480.4996738434,600.8360530522134
92,3.089780478364706E7,1268818.9110143185,1128643.2681171894,782.5726450483004
93,3.109223050252962E7,1275493.9744684696,1102814.3851647377,959.5266845093834
94,3.1077265966273546E7,1274582.5750176907,1119972.2013926506,860.6600341770385
95,3.1019868633702278E7,1274394.6335430145,1112671.1718242168,900.1840485016505
96,3.100442545160961E7,1265857.9162180424,1069349.319365263,1092.2113004936111
97,3.098930131966424E7,1264775.8299355507,1108657.3287181854,868.0866471383306
98,3.0815209669228554E7,1263112.246575117,1128679.8702142239,750.0592881361644
99,3.0961718052663565E7,1265211.3898830414,1175472.0369391441,502.6724103146129
100,3.09940366484046E7,1268257.2129366398,1063593.7654254436,1137.803301310539
101,3.103659645852971E7,1274345.7869229317,1149724.5687980652,694.5182605902355
102,3.092112444815421E7,1266594.5084416866,1034686.2783770561,1289.5501799106596
103,3.0951586571341753E7,1267734.7569320202,1149003.0477261543,661.6614494800568
104,3.0938181466592073E7,1268343.009688139,1167354.8642611504,562.106681919098
105,3.1483820683299065E7,1291185.267076254,1059383.6369526386,1292.7810393929478
106,3.0703665244518757E7,1263461.1115510464,1140327.431596756,685.7921632594532
107,3.145464210699439E7,1290012.9233715534,1154483.837430954,753.8298472894563
108,3.127218303620124E7,1280111.078433752,1104545.7362918854,977.6241939173805
