Resource utilization
Resource,Utilization %
Role 1,2
SYSTEM,0
Role 4,0
Role 6,0
Role 3,48
Role 2,81
Role 5,4

Individual task statistics
Name,Avg duration,Min duration,Max duration,Total duration,Avg waiting time,Min waiting time,Max waiting time,Total waiting time,Avg idle time,Min idle time,Max idle time,Total idle time,Avg cost,Min cost,Max cost,Total cost,Avg cost over thresh,Min cost over thresh,Max cost over thresh,Total cost over thresh,Avg duration over thresh,Min duration over thresh,Max duration over thresh,Total duration over thresh,Count,
Amend Purchase Requisition,1563.226701229497,12.321946382522583,7158.260770559311,148506.53661680222,0.0,0.0,0.0,0.0,26736.63157894737,0.0,252120.0,2539980.0,8.684592784608318,0.06845525768068102,39.76811539199617,825.0363145377902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95
Amend Request for Quotation,648.1744320792874,103.54440450668335,1162.3203356266022,88799.89719486237,0.0,0.0,0.0,0.0,14857.226277372263,0.0,158460.0,2035440.0,3.6009690671071515,0.5752466917037964,6.457335197925568,493.33276219367974,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,137
Analyze Purchase Requisition,394.10857367621526,241.06530022621155,536.3621807098389,88674.42907714844,0.0,0.0,0.0,0.0,9510.933333333332,0.0,154860.0,2139960.0,2.1894920759789738,1.3392516679233974,2.979789892832438,492.6357170952691,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,225
Analyze Quotation Comparison Map,1214.5738986987335,380.0342402458191,2037.8168540000916,157894.60683083534,0.0,0.0,0.0,0.0,25052.76923076923,0.0,158460.0,3256860.0,6.7476327705485195,2.111301334698995,11.321204744444954,877.1922601713076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,130
Analyze Request for Quotation,50494.77798406372,765.9188294410706,208507.1665737629,1.3482105721745014E7,49082.876409318116,0.0,207525.34692835808,1.3105128001287937E7,1176653.9325842697,0.0,4874340.0,3.141666E8,7.844098493609389,0.0,15.23244985209571,2094.374297793707,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,267
Approve Purchase Order for payment,42979.611171522505,60.0,216033.99237442017,5587349.452297926,42919.611171522505,0.0,215973.99237442017,5579549.452297926,1009975.3846153846,0.0,5050860.0,1.312968E8,0.3333333333333336,0.3333333333333333,0.3333333333333333,43.333333333333364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,130
Authorize Supplier's Invoice payment,4970.968914094338,0.0,19727.30210852623,646225.958832264,4970.968914094338,0.0,19727.30210852623,646225.958832264,114174.0,0.0,504300.0,1.484262E7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,130
Choose best option,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,130
Create Purchase Order,109117.91782743564,360.5523452758789,235825.2437837124,1.4185329317566633E7,108553.75216860588,0.0,235457.12459421158,1.4111987781918764E7,2544442.6153846155,0.0,5548020.0,3.3077754E8,3.1342536601653466,2.0030685848659937,4.328985804981656,407.45297582149504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,130
Create Purchase Requisition,1818.294733942472,301.06397676467896,3418.4843904972076,236378.31541252136,0.0,0.0,0.0,0.0,58884.8004236093,0.0,157605.5038383007,7655024.055069208,10.10163741079151,1.672577648692661,18.99157994720671,1313.2128634028961,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,130
Create Quotation comparison Map,108614.58075969953,4542.950642585754,249502.40782427788,1.4119895498760939E7,96963.26543756264,0.0,234290.77184033394,1.2605224506883144E7,2554352.3076923075,158460.0,5800200.0,3.320658E8,64.72952956742711,14.545458796289232,120.17785431014167,8414.838843765523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,130
Create Request for Quotation,259.61160348562095,4.517653226852417,913.9197609424591,33749.50845313072,0.0,0.0,0.0,0.0,8648.307692307691,0.0,97260.0,1124280.0,2.884573372062456,0.050196146965026854,10.154664010471768,374.99453836811927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,130
Deliver Goods Services,354992.9091425474,12390.879204273224,808084.5186107159,4.614907818853116E7,255185.37649061496,0.0,661780.9939031601,3.3174098943779945E7,8321772.461538462,345840.0,1.883808E7,1.08183042E9,554.4862925107357,68.83821780151791,975.5174630456501,72083.21802639564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,130
EVENT 1 START,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,130
EVENT 2 END,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,130
End,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,130
GATEWAY 25 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,267
GATEWAY 26 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,267
GATEWAY 27 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,130
GATEWAY 28 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,130
GATEWAY 29 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,225
GATEWAY 30 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,225
Pay Invoice,4461.153365371778,240.42150616645813,20349.98861002922,579949.9374983311,3885.6553461441626,0.0,19727.30210852623,505135.19499874115,110709.69230769231,0.0,504300.0,1.439226E7,3.1972112179311947,1.3356750342581007,4.971400335099962,415.6374583310553,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,130
Release Purchase Order,60.0,60.0,60.0,7800.0,0.0,0.0,0.0,0.0,748.1538461538462,0.0,97260.0,97260.0,0.3333333333333336,0.3333333333333333,0.3333333333333333,43.333333333333364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,130
Release Supplier's Invoice,700.9146037670282,123.91462182998657,12556.646732330322,91118.89848971367,422.80025535730215,0.0,12400.073018789291,54964.03319644928,6595.384615384615,0.0,345840.0,857400.0,1.5450797133873673,0.6882133391168382,2.3228023767471315,200.86036274035774,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,130
Send Invoice,290917.6436289347,0.0,662688.4318127632,3.781929367176151E7,290917.6436289347,0.0,662688.4318127632,3.781929367176151E7,6849875.538461538,0.0,1.556682E7,8.9048382E8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,130
Send Request for Quotation to Supplier,70365.31547121085,971.0991733074188,236821.8932905197,9147491.01125741,69003.18304704886,0.0,236271.69049358368,8970413.796116352,1643181.2307692308,0.0,5548020.0,2.1361356E8,7.567402356455472,2.14152170419693,13.494323150316875,983.7623063392114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,130
Settle Conditions With Supplier,156585.69840844412,35590.31667637825,278326.6673734188,2.0356140793097734E7,123139.142935641,0.0,230213.08326745033,1.600808858163333E7,3659422.6153846155,814200.0,6383880.0,4.7572494E8,185.81419707112846,80.35186735391616,291.6727261900902,24155.8456192467,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,130
Settle Dispute With Supplier,14935.270420159379,346.514221906662,49651.844507455826,1090274.7406716347,4568.400894298946,0.0,20291.605560541153,333493.265283823,308607.94520547945,0.0,1160040.0,2.252838E7,57.59371958811352,1.4800687895880804,187.44518433809282,4204.341529932287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73
Start,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,130

Scenario statistics
KPI,Min,Average,Max
Process Cycle Time (s),6054245.269854307,3.081111538876282E7,4.011655322723198E7
Process Cycle Time excluding out of timetable hours (s),248697.9966957569,1261661.9729545813,1645421.4021365643
Process Waiting Time (s),156940.55267429352,1099335.4091383861,1457632.550213337
Accumulated Process Duration (s),6054245.269854307,3.081111538876282E7,4.011655322723198E7
Cost,325.8727626151508,903.2569426369363,1489.113283463319


Process Cycle Time (s) distribution
From,To,Count
6054245,9460475,4
9460476,12866706,9
12866707,16272937,5
16272938,19679168,5
19679169,23085399,3
23085400,26491630,4
26491631,29897861,3
29897862,33304092,12
33304093,36710323,64
36710324,40116554,21

Process Waiting Time (s) distribution
From,To,Count
156940,287009,10
287010,417079,7
417080,547149,2
547150,677219,5
677220,807289,1
807290,937359,6
937360,1067429,5
1067430,1197499,6
1197500,1327569,47
1327570,1457639,41

Accumulated Process Duration (s) distribution
From,To,Count
6054245,9460475,4
9460476,12866706,9
12866707,16272937,5
16272938,19679168,5
19679169,23085399,3
23085400,26491630,4
26491631,29897861,3
29897862,33304092,12
33304093,36710323,64
36710324,40116554,21

Process Cost distribution
From,To,Count
325,441,11
442,558,11
559,675,14
676,792,12
793,909,18
910,1026,12
1027,1143,17
1144,1260,19
1261,1377,14
1378,1494,2

In-timetable Cycle time (s) distribution
From,To,Count
248697,388369,4
388370,528042,9
528043,667715,5
667716,807388,5
807389,947061,3
947062,1086734,4
1086735,1226407,3
1226408,1366080,12
1366081,1505753,66
1505754,1645426,19



Details
Instance #,Cycle time (s),Cycle time in time table only (s),Waiting time (s),Cost
1,1.0996642613595486E7,450861.6135954857,248922.788292408,1122.4330781910153
2,1.0043188021059036E7,415565.80126714706,219165.7673316002,1093.496102062861
3,6054245.269854307,248697.9966957569,156940.55267429352,513.0915536615584
4,1.096077848581624E7,449798.0588886738,234766.77130174637,1195.3590149005254
5,7916945.47206521,323731.408408165,170823.95645022392,850.0625765826968
6,1.3171369651344776E7,541257.2564153671,320242.0293517113,1228.6244046317206
7,9629417.01490426,396228.60887670517,226821.14464616776,942.0248170706961
8,6067119.407023668,252305.02918672562,179937.96417474747,404.00156628025894
9,1.2706618439458847E7,522538.43945884705,402676.5063419342,666.6644947475858
10,3.6441407588805676E7,1488069.1168498993,1275350.6441018581,1186.5498187780381
11,1.2594471822036028E7,510131.6900522709,408850.9617319107,563.9728876100646
12,1.3691276575910091E7,558197.2741582394,440176.23043084145,656.1000910189418
13,1.256635553486681E7,510047.73240065575,343598.23055005074,926.6144123646948
14,4.011655322723198E7,1645421.4021365643,1402357.047912836,1351.473089313507
15,7701526.657368898,313409.0878083706,223883.68166017532,498.5021145595444
16,1.3420846486186028E7,549064.1156272888,359100.185772419,1055.9431992835468
17,1.3016179909009218E7,533034.2226395607,324705.85964536667,1158.4846729795138
18,1.0684918626705408E7,438630.46601462364,273608.39160108566,919.4124379422931
19,3.735479010059762E7,1529531.6872079372,1296067.5033409595,1299.326125201914
20,9792014.40891695,405839.13785481453,248798.88819026947,873.1301218165291
21,1.7537607734432936E7,717027.7344329357,470895.9179131985,1370.7209033555453
22,1.3291761813699245E7,543654.0138499737,416917.31094527245,706.4791888978748
23,1.7340383292568922E7,708265.7700431347,547180.3863670826,897.3719942649207
24,3.728618087925267E7,1527439.0417308807,1378958.5463228226,826.3904257946544
25,3.727247434190464E7,1524236.2109935284,1325906.3269677162,1101.9715268068844
26,3.561407238138294E7,1457785.2557330132,1274579.1543984413,1019.533690443304
27,3.4387910733629465E7,1405643.605661869,1193471.6296489239,1179.0579825599984
28,3.723117791605997E7,1524949.258970499,1366159.1348807812,883.89548046324
29,2.2265247401539326E7,907794.9662053585,791053.3078963757,651.6189338525137
30,1.724231909696436E7,701147.1802363396,598317.5080780983,572.3677569190662
31,2.4487012102563143E7,999650.8511023521,917103.9803712368,458.8002881646156
32,2.9839622491405964E7,1218158.1603415012,1067832.461669445,835.3925635046429
33,3.716166959639883E7,1521883.2525651455,1284978.759660244,1318.0680279744995
34,3.71451692981205E7,1519353.7869505882,1457632.550213337,343.2880304151111
35,1.760185207438302E7,719987.9517509937,624637.4257001877,530.468417400784
36,3.694159306978512E7,1513051.8110890388,1306320.2599301338,1149.4363239222102
37,3.702960686725569E7,1517815.5427081585,1433537.7489843369,469.55661360687674
38,2.0371723827848673E7,837005.2731649876,665626.2754228115,952.5239523278344
39,1.764646721953821E7,723213.2758488655,564433.3818981647,882.8883900099332
40,2.4973779434424877E7,1025052.245775938,852887.3233892918,957.7812515854837
41,3.757813699529219E7,1538768.661586523,1320669.6698713303,1212.1632600890264
42,3.60391850995419E7,1476474.495515585,1276446.323408842,1112.5566010117527
43,3.702197001394129E7,1518500.5530993938,1250488.613401413,1489.113283463319
44,2.6045049397088766E7,1067963.5825901031,859801.4907114506,1157.024430114693
45,2.6322145802866936E7,1081584.4981048107,862418.442305088,1219.155825919575
46,2.75173233580029E7,1130706.2315790653,931636.9550943375,1107.02580141094
47,3.8785353263286114E7,1590476.28724432,1387292.1722488403,1129.7754751231932
48,2.204505443220687E7,903104.0088162422,816500.6213285923,483.2177157666947
49,3.0107270876916647E7,1233751.4164054394,1009045.9748020172,1250.6930562204784
50,2.966335946520734E7,1214505.8327114582,980932.6260449886,1299.8836429847613
51,3.6573339293369055E7,1502440.6442215443,1402007.6383850574,558.1755977895526
52,3.655896792362642E7,1501927.9236264229,1429796.732420683,401.25304993258584
53,3.0153269996152878E7,1231453.6002955437,1016482.9724497795,1194.5072787960369
54,3.2243390542238235E7,1318080.8136482239,1218456.9920215607,555.1171066390143
55,3.0023736159635305E7,1227135.6149282455,1073077.9682154655,858.7264493465424
56,3.6836978083334446E7,1504913.611789465,1369901.5183207989,751.091043466992
57,3.709469497400379E7,1520754.8998708725,1284926.6727132797,1311.2273338980144
58,3.6810242391955376E7,1506130.6170239449,1420668.6841301918,474.8325414326455
59,3.679676034214926E7,1506688.4194571972,1307310.1647458076,1108.2241419752438
60,3.6781507236312866E7,1505506.6847865582,1343536.9882175922,902.286248852147
61,3.0114331892888784E7,1232572.635131836,1014141.4991312027,1215.9690937505827
62,3.66769126362648E7,1501025.2132689953,1361245.7855315208,776.6596407108838
63,3.6741169344768286E7,1507301.8647606373,1339056.5395832062,934.8793814142546
64,2.9998590769865274E7,1231032.256326437,1066400.87144351,915.5828530218868
65,3.0059039034866333E7,1229977.004941702,1067684.6933686733,902.6861954556573
66,3.2027670050474882E7,1310479.744489193,1106602.8682453632,1134.0253473321593
67,3.660980628761983E7,1500615.1238474846,1306179.3014702797,1081.6988428605925
68,3.66705403466177E7,1499808.0146565437,1340919.029153347,884.5301948004301
69,3.6582042359128475E7,1497360.9384036064,1346873.0123081207,837.5457357698018
70,3.0594121656470537E7,1251536.9870564938,1154775.1317002773,540.7953941424687
71,3.662882481732869E7,1500094.5405857563,1325437.3246600628,970.7276713914342
72,3.661331089243412E7,1495021.1818201542,1365452.2045419216,720.9923302743172
73,3.6601134166422844E7,1496822.2333648205,1324901.8884949684,956.7926346778871
74,3.658681099531627E7,1496492.2510428429,1374431.1054897308,680.3461277180247
75,3.639666625878191E7,1489616.6064269543,1235158.482464075,1414.7420658535425
76,3.1987892822840452E7,1309800.8180615902,1208609.1056649685,565.3979540692436
77,3.654291567942023E7,1494517.5727448463,1307234.3306350708,1040.4875542389022
78,3.645533797519207E7,1493029.3645706177,1291223.2197699547,1122.2474565241075
79,3.184669686179495E7,1304358.2251591682,1227873.890333891,426.43384057150945
80,3.642706286881709E7,1492833.394506216,1269207.2301516533,1243.2503174609606
81,3.648883074235129E7,1496593.8623754978,1276001.277376175,1227.0504366199175
82,3.647291211265063E7,1494660.3994305134,1251190.1345276833,1354.76521917714
83,3.646002396178889E7,1492202.8946204185,1290602.5877394676,1122.5104074438411
84,3.2740821617313623E7,1339213.3655159473,1226870.03915596,625.8171739300092
85,3.643162800632119E7,1491792.4350857735,1248141.7474246025,1355.3110977543722
86,3.663276441364765E7,1501531.4856843948,1374186.6385557652,707.8194969203738
87,3.632852711772871E7,1488722.5619232655,1264868.679620266,1244.448314328988
88,3.639034260729885E7,1492447.6892476082,1338545.56651783,855.4679287036261
89,3.637425917760062E7,1490386.9698326588,1286326.1036195755,1134.7894111858473
90,3.657661206530523E7,1497972.065305233,1386939.7692689896,618.2158620900577
91,3.7221271934411764E7,1525961.2672276497,1312500.1086125374,1186.8886850012673
92,3.62597413361671E7,1486322.3904483318,1368470.498710394,655.026155075762
93,3.614301405356431E7,1480785.5240750313,1239978.739828825,1342.2227195885444
94,3.623205687485099E7,1486563.1231536865,1266038.578760624,1228.287971482012
95,3.474681856141949E7,1427438.908051014,1323018.5875377655,580.5734893600146
96,3.627748128911662E7,1480795.7852783203,1350716.0069088936,722.8555594510502
97,3.593020806872821E7,1471726.5934770107,1395978.6310343742,421.8790251029862
98,3.6248530178084135E7,1479829.4639139175,1345678.7177343369,745.4231413165728
99,3.865468092780328E7,1579914.2534270287,1336846.5452382565,1351.971849298477
100,3.622304226865363E7,1482398.9440414906,1296286.8210775852,1034.6359232942264
101,3.60318764390707E7,1474605.8941881657,1284306.233544588,1058.0127488348219
102,3.6195062865050316E7,1482451.8946166039,1268447.180974245,1190.399070505301
103,3.58436841892221E7,1469235.4359169006,1366517.552738905,574.8940595613586
104,3.6166224620013714E7,1481632.4989728928,1249421.8432526588,1291.4542995625072
105,3.6075853744818926E7,1477260.2962141037,1315097.8627932072,904.0282869550917
106,3.613789891586423E7,1481146.9637258053,1402198.7103190422,442.22825258307984
107,3.639361006906462E7,1494992.051270008,1305130.6225569248,1056.8149131218593
108,3.610974454613018E7,1477440.8805308342,1236246.6397459507,1341.2268134792644
