Resource utilization
Resource,Utilization %
Role 1,2
SYSTEM,0
Role 4,0
Role 6,0
Role 3,52
Role 2,79
Role 5,3

Individual task statistics
Name,Avg duration,Min duration,Max duration,Total duration,Avg waiting time,Min waiting time,Max waiting time,Total waiting time,Avg idle time,Min idle time,Max idle time,Total idle time,Avg cost,Min cost,Max cost,Total cost,Avg cost over thresh,Min cost over thresh,Max cost over thresh,Total cost over thresh,Avg duration over thresh,Min duration over thresh,Max duration over thresh,Total duration over thresh,Count,
Amend Purchase Requisition,1400.5923576106195,1.6238422393798828,7590.663733482361,161068.12112522125,0.0,0.0,0.0,0.0,29762.608695652172,0.0,252120.0,3422700.0,7.781068653392327,0.009021345774332683,42.17035407490201,894.8228951401177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,115
Amend Request for Quotation,641.1641650835674,121.68186664581299,1104.3267381191254,48087.31238126755,0.0,0.0,0.0,0.0,17435.2,0.0,158460.0,1307640.0,3.5620231393531525,0.6760103702545166,6.135148545106252,267.15173545148645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75
Analyze Purchase Requisition,394.44971335322356,240.23165369033813,537.905079126358,84806.68837094307,0.0,0.0,0.0,0.0,9367.53488372093,0.0,158460.0,2014020.0,2.191387296406797,1.3346202982796562,2.988361550701989,471.1482687274614,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,215
Analyze Quotation Comparison Map,1203.9556980085372,363.59264612197876,2033.382376909256,120395.56980085373,0.0,0.0,0.0,0.0,26553.6,0.0,158460.0,2655360.0,6.6886427667140955,2.019959145122104,11.296568760606977,668.8642766714096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Analyze Request for Quotation,41065.62957347598,0.0,157554.7131137848,7186485.175358295,39713.02117878505,0.0,156214.94630002975,6949778.706287384,949201.7142857143,0.0,3732300.0,1.661103E8,7.515508333531637,0.0,17.14829856687122,1315.2139583680364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,175
Approve Purchase Order for payment,36552.5129520154,60.0,156059.96088981628,3655251.29520154,36492.5129520154,0.0,155999.96088981628,3649251.29520154,852450.6,0.0,3732240.0,8.524506E7,0.3333333333333329,0.3333333333333333,0.3333333333333333,33.33333333333329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Authorize Supplier's Invoice payment,289.99639773607254,0.0,2534.8486444950104,28999.639773607254,289.99639773607254,0.0,2534.8486444950104,28999.639773607254,17576.4,0.0,158460.0,1757640.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Choose best option,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Create Purchase Order,84421.96250930309,433.00587368011475,165828.83159208298,8442196.25093031,83817.280041008,0.0,165048.88529849052,8381728.0041008,1972719.0,0.0,3887160.0,1.972719E8,3.3593470460838746,2.007644528812832,4.333034964402517,335.93470460838745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Create Purchase Requisition,1692.8926228380203,304.47066140174866,3374.5840129852295,169289.26228380203,0.0,0.0,0.0,0.0,59290.02232143402,0.0,157763.25015091896,5929002.232143402,9.404959015766778,1.6915036744541592,18.747688961029052,940.4959015766779,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Create Quotation comparison Map,86864.26960851431,3540.15824174881,179999.78614902496,8686426.96085143,74609.10043046475,0.0,159207.59067440033,7460910.043046474,2029206.0,158460.0,4222260.0,2.029206E8,68.08427321138649,13.537266074286567,120.57037999629975,6808.427321138649,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Create Request for Quotation,322.30517907381056,6.791811227798462,1072.1904933452606,32230.517907381058,0.0,0.0,0.0,0.0,4647.6,0.0,97260.0,464760.0,3.5811686563756733,0.07546456919776069,11.91322770383623,358.11686563756734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Deliver Goods Services,202614.08775354625,11816.082122802734,556255.7966365814,2.0261408775354624E7,116300.22947554589,0.0,401828.69417977333,1.1630022947554588E7,4750430.4,327900.0,1.308462E7,4.7504304E8,479.5214348777797,65.64490068223742,949.5309050215615,47952.14348777797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
EVENT 1 START,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
EVENT 2 END,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
End,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
GATEWAY 25 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,175
GATEWAY 26 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,175
GATEWAY 27 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
GATEWAY 28 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
GATEWAY 29 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,215
GATEWAY 30 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,215
Pay Invoice,887.6262769699097,246.93849873542786,3378.8554408550262,88762.62769699097,312.4136830329895,0.0,2537.0435824394226,31241.36830329895,13943.4,0.0,158460.0,1394340.0,3.1956255218717797,1.36650822824902,4.994206759664747,319.56255218717797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Release Purchase Order,60.0,60.0,60.0,6000.0,0.0,0.0,0.0,0.0,2305.2,0.0,158460.0,230520.0,0.3333333333333329,0.3333333333333333,0.3333333333333333,33.33333333333329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Release Supplier's Invoice,370.4511768937111,123.33233261108398,2481.3399107456207,37045.11768937111,96.60014602422714,0.0,2125.2364761829376,9660.014602422714,42352.8,0.0,158460.0,4235280.0,1.521394615941577,0.6851796256171332,2.2930888917711045,152.1394615941577,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Send Invoice,161143.01629309414,0.0,395383.46010661125,1.6114301629309416E7,161143.01629309414,0.0,395383.46010661125,1.6114301629309416E7,3742151.4,0.0,9280320.0,3.7421514E8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Send Request for Quotation to Supplier,55929.58157480955,600.3874659538269,147032.35304641724,5592958.157480955,54542.18406583786,0.0,145696.85723042488,5454218.406583786,1319378.4,0.0,3480120.0,1.3193784E8,7.707763938731618,1.3754482097095913,12.080409520202213,770.7763938731617,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Settle Conditions With Supplier,123058.21015641927,17442.489854335785,206298.87296509743,1.2305821015641928E7,90699.74504405737,0.0,164917.574791193,9069974.504405737,2875101.0,374700.0,4802280.0,2.875101E8,179.76925062423285,80.00153607394961,290.7913443287214,17976.925062423285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Settle Dispute With Supplier,9151.989769271902,500.826455116272,31849.880609989166,338623.6214630604,193.87211301520065,0.0,2156.7452023029327,7173.268181562424,208174.05405405405,0.0,742140.0,7702440.0,49.76732031253722,2.7823691950904,176.94378116660647,1841.3908515638773,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37
Start,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100

Scenario statistics
KPI,Min,Average,Max
Process Cycle Time (s),5457613.421389103,2.034727484691219E7,2.8053896745717287E7
Process Cycle Time excluding out of timetable hours (s),226547.29683303833,833598.0245907545,1152510.8422877789
Process Waiting Time (s),118348.48165130615,687872.5982735062,940107.5767991543
Accumulated Process Duration (s),5457613.421389103,2.0347278399707645E7,2.8053896745717287E7
Cost,266.190790716807,811.3978040340612,1390.4822192324532


Process Cycle Time (s) distribution
From,To,Count
5457613,7717241,4
7717242,9976870,4
9976871,12236499,8
12236500,14496128,3
14496129,16755757,4
16755758,19015386,8
19015387,21275015,9
21275016,23534644,5
23534645,25794273,53
25794274,28053902,2

Process Waiting Time (s) distribution
From,To,Count
118348,200523,5
200524,282699,4
282700,364875,7
364876,447051,3
447052,529227,7
529228,611403,3
611404,693579,4
693580,775755,13
775756,857931,31
857932,940107,23

Accumulated Process Duration (s) distribution
From,To,Count
5457613,7717241,4
7717242,9976870,4
9976871,12236499,8
12236500,14496128,3
14496129,16755757,4
16755758,19015386,8
19015387,21275015,9
21275016,23534644,5
23534645,25794273,53
25794274,28053902,2

Process Cost distribution
From,To,Count
266,378,5
379,491,7
492,604,12
605,717,16
718,830,10
831,943,18
944,1056,14
1057,1169,8
1170,1282,9
1283,1395,1

In-timetable Cycle time (s) distribution
From,To,Count
226547,319143,4
319144,411740,4
411741,504337,8
504338,596934,3
596935,689531,4
689532,782128,8
782129,874725,9
874726,967322,5
967323,1059919,53
1059920,1152516,2



Details
Instance #,Cycle time (s),Cycle time in time table only (s),Waiting time (s),Cost
1,9006413.937081337,370012.937081337,185299.49339461327,1028.0368684199118
2,1.1153592721426249E7,459686.92370939255,251790.43652510643,1157.7907822675174
3,5532639.807841539,231304.73150515556,118348.48165130615,628.9684665203093
4,1.4592049361816883E7,600881.9610686302,452239.10477375984,831.7502599345314
5,1.1109686400215387E7,454263.826580286,264485.2597706318,1056.9152203758556
6,7512876.492592812,308263.7620227337,172647.5608792305,757.9879441512956
7,8417903.053496122,344782.8182935715,183486.0787613392,896.1307296858895
8,5457613.421389103,226547.29683303833,137766.69545388222,493.67544513410985
9,1.7705556062681437E7,722856.0626814365,645274.8096103668,434.9462535911136
10,1.1484354160568237E7,470424.5397531986,302813.5227649212,931.6639897810088
11,1.1469794441940308E7,469830.3330459595,315095.6257510185,860.3318195992047
12,1.1874892625098705E7,481916.7718384266,313127.14142370224,941.1317834986581
13,1.1440476979429245E7,468507.8921215534,384475.27218317986,470.76483087804576
14,1.2845352102812529E7,525590.9612691402,397445.7716462612,716.3884891192118
15,9760347.320492268,398013.9444487095,271016.5752494335,706.3182957556514
16,2.5301467683710814E7,1034721.3675303459,829620.3343839645,1142.8524438791806
17,1.138659347997284E7,470608.89603710175,362778.1578924656,599.6108392424055
18,1.1892677658640385E7,486386.9061434269,332709.6735932827,855.0713148024349
19,2.0243791209187746E7,828458.867767334,705998.3357496262,682.267525001367
20,7707286.832187414,317143.30608296394,246927.4124033451,391.72370467715785
21,2.523888749077916E7,1036507.4907791615,915633.397788763,671.9394676950243
22,1.2788006944851875E7,526331.782926321,356340.31988859177,946.9715464340318
23,8875211.058692455,363505.83916807175,284978.75332021713,436.7285915401246
24,2.4508995003441334E7,1002823.8208031654,881330.9070203304,676.3118066867194
25,1.818974930147028E7,746374.7391474247,517283.9745824337,1274.2127337959078
26,2.1199743078016043E7,870320.1266617775,813317.5183508396,317.1393209232224
27,1.7110265937644243E7,700080.4325621128,511285.18674230576,1049.0503387835292
28,1.6232558653175354E7,664940.7958862782,493669.3013122082,952.4064882755281
29,1.928863091863489E7,788101.37961936,584739.2042832375,1131.8686215811306
30,2.4717142940672874E7,1010463.5737197399,817472.1439626217,1073.2138576984403
31,1.7053756255500793E7,695990.8125507832,585524.6275629997,615.723422478305
32,1.627552884714365E7,666567.1551110744,482399.2152738571,1025.4748714460268
33,1.702622597344923E7,696307.4295091629,522684.9726960659,969.0274720536339
34,1.5977742934655905E7,652539.9298052788,491908.2233655453,894.1300942672624
35,2.4599673281454325E7,1006009.9156389236,937134.3673627377,383.85571800072984
36,2.8053896745717287E7,1152510.8422877789,940107.5767991543,1181.1844881163704
37,2.2858936809496403E7,939613.5472257137,744852.3881676197,1085.3715745806694
38,2.4604704103991747E7,1009738.6243965626,788794.4831988811,1227.930296505822
39,1.3659661908178806E7,562300.134251833,445191.25075268745,651.8992444793382
40,2.453116235948038E7,1003826.6528832912,804808.5211780071,1106.2789538396728
41,1.7963545444509745E7,736641.6545805931,654905.4643294811,455.1009727742937
42,2.062767213661599E7,842559.3079411983,619616.648494482,1239.0159207330807
43,2.453455390032816E7,1005922.9334869385,879182.8115203381,708.8181387636398
44,1.8259153342199564E7,750125.6129271984,570750.2562358379,997.641789507866
45,2.0670903603904247E7,852091.3372337818,703035.8297171593,830.6839451935558
46,2.2733258698586464E7,936232.350548029,755664.7017855644,1004.6938823633726
47,2.003818313036847E7,823844.1792857647,706086.393055439,656.270412112607
48,2.054666562038231E7,842043.3539409637,737984.8077278137,578.708295653926
49,2.2690932108299494E7,932455.6109490395,804645.1904768944,710.8493554989496
50,2.4145239183673143E7,988618.8644537926,840093.8948142529,826.2413050731024
51,2.05033092167933E7,840752.206205368,738766.1384072304,568.3469518979391
52,1.875188908278227E7,771269.0827822685,684864.9067184925,480.9483014914725
53,2.434842876115203E7,992536.9938280582,873040.8161008358,665.3826987597679
54,2.433567522290039E7,993744.2401578426,903462.5047285557,502.5026011837852
55,2.4322259563857794E7,994402.6651747227,858955.0023002625,753.7664673686028
56,2.4564468119044304E7,1002023.224396944,855851.1208581924,812.4119028978879
57,2.412258117598915E7,984883.3470623493,817730.2097511292,930.582647049427
58,2.4325022389159203E7,995904.5391962528,849749.10272789,813.984414206611
59,2.4096958399351597E7,987270.785656929,828568.0126607418,882.9528330339326
60,2.2266937063762188E7,911254.5999510288,823047.3079273701,494.3826343072785
61,2.4282653259299755E7,995543.8574671745,777954.6632728577,1212.1406650529966
62,2.4054959135940313E7,987342.6948635578,823540.7051913738,915.512220468786
63,2.425510543344164E7,996110.7763528824,746035.2378685474,1390.4822192324532
64,2.4240813689908504E7,995820.1899492741,831026.3612060547,917.4888547778131
65,1.9948078915450335E7,816953.0909264088,769301.7645561695,266.190790716807
66,2.5132974974627733E7,1029837.6714820862,895742.3837678432,746.6025464428797
67,2.4153883966433287E7,990592.1545543671,936544.0888252258,303.780126982265
68,2.242512580654812E7,918675.4684636593,828249.8014941216,503.9922477165858
69,2.4224306731749296E7,991811.5969336033,820410.1189069748,954.3712581210666
70,2.386561437808442E7,975047.848316431,909821.5920519829,363.6716411153476
71,2.506153841814232E7,1024858.0675046444,861211.5930094719,910.1393398907451
72,2.4082113969489098E7,981753.5870661736,856775.1070566177,696.3778422925208
73,2.406924706656003E7,982892.8557577133,807876.67369771,973.9796363949778
74,2.4053603909703255E7,981258.8257799149,817775.7384319305,908.4149375319481
75,2.40413634472003E7,983006.791519165,876408.1503677368,594.3702438261774
76,2.4733816175632E7,1015734.8687472343,857929.1204965115,878.919984665182
77,2.437135443920684E7,995263.0512132645,809755.2063536644,1032.0599126060806
78,2.3997723291354418E7,981483.987434864,891402.1374158859,502.22515100240696
79,2.3984386788734198E7,982175.9288764,802798.8211834431,997.4185230294864
80,2.440791357374978E7,1001707.4279177189,886005.589786768,645.3224773128829
81,2.3956818684678078E7,982475.7251095772,778304.8435940742,1134.553364226553
82,2.39879852656219E7,984346.3503963947,932634.5301895142,288.8743869172202
83,2.418797475806713E7,989438.4562907219,883005.7385833263,594.4506161212922
84,2.6693269912620068E7,1091419.5884757042,903303.8164219856,1045.6135818057592
85,2.3900382535429E7,978485.1038143635,870195.2174549103,602.2291573829123
86,2.3932549818184376E7,981395.9177196026,840404.1010026932,787.758259218269
87,2.3918777324061155E7,981610.2283883095,761264.5593078136,1225.6507128622795
88,2.3859143299422503E7,979207.8419959545,861293.8006186485,656.8657510664729
89,2.3890455513240337E7,981248.0444355011,891220.5974051952,500.7308836420377
90,2.387743439192891E7,979214.3919289112,782206.523475647,1097.6849871993063
91,2.5073539523978233E7,1028768.6969335079,860435.6460497379,936.4236524250772
92,2.384790827120948E7,977247.4155447483,763157.5204188824,1189.5740620652834
93,2.378987099505973E7,976424.5385379791,817010.8674211502,886.1811171717114
94,2.3874444180473804E7,981188.0255377293,768781.0925760269,1182.844756962193
95,2.376104585992813E7,975564.2743325233,760114.2475123405,1198.7744865126078
96,2.3793572316896677E7,971769.066745758,847757.4452824593,691.702960381243
97,2.3990347961797476E7,977205.517639637,831569.2464864254,810.6683047678736
98,2.3821332120635986E7,977014.1871044636,826625.1272289753,837.4709658477042
99,2.491449900177622E7,1017924.0180032253,888121.7253262997,723.045609996054
100,2.3736073122265816E7,970348.3085076809,814485.1282451153,866.8907822873858
