Resource utilization
Resource,Utilization %
Role 1,2
SYSTEM,0
Role 4,0
Role 6,0
Role 3,43
Role 2,68
Role 5,4

Individual task statistics
Name,Avg duration,Min duration,Max duration,Total duration,Avg waiting time,Min waiting time,Max waiting time,Total waiting time,Avg idle time,Min idle time,Max idle time,Total idle time,Avg cost,Min cost,Max cost,Total cost,Avg cost over thresh,Min cost over thresh,Max cost over thresh,Total cost over thresh,Avg duration over thresh,Min duration over thresh,Max duration over thresh,Total duration over thresh,Count,
Amend Purchase Requisition,1462.0172423485221,15.445868253707886,14625.774235486984,159359.87941598892,0.0,0.0,0.0,0.0,30773.94495412844,0.0,327840.0,3354360.0,8.122318013047343,0.08581037918726603,81.25430130826102,885.3326634221604,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,109
Amend Request for Quotation,643.9539364257662,85.9247350692749,1258.855679988861,65039.34757900238,0.0,0.0,0.0,0.0,13377.029702970298,0.0,158460.0,1351080.0,3.577521869032033,0.47735963927374947,6.993642666604784,361.32970877223534,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101
Analyze Purchase Requisition,381.5710267484473,240.28290820121765,539.1725690364838,79748.34459042549,0.0,0.0,0.0,0.0,6706.794258373206,0.0,158460.0,1401720.0,2.1198390374913747,1.3349050455623204,2.995403161313799,443.04635883569733,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,209
Analyze Quotation Comparison Map,1167.1657354354859,366.99331188201904,2008.2859690189362,116716.57354354858,0.0,0.0,0.0,0.0,28605.6,0.0,158460.0,2860560.0,6.484254085752698,2.0388517326778834,11.157144272327423,648.4254085752698,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Analyze Request for Quotation,46543.67520992554,597.3539924621582,154136.29649162292,9355278.717195034,45183.88098557553,0.0,152599.8356075287,9081960.078100681,1088653.134328358,0.0,3552180.0,2.1881928E8,7.556546439321876,0.0,15.00655861960517,1518.865834303697,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,201
Approve Purchase Order for payment,34407.97268133879,60.0,159319.02881264687,3440797.2681338787,34347.97268133879,0.0,159259.02881264687,3434797.2681338787,809142.0,0.0,3804300.0,8.09142E7,0.3333333333333329,0.3333333333333333,0.3333333333333333,33.33333333333329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Authorize Supplier's Invoice payment,493.1919945168495,0.0,5704.200254917145,49319.19945168495,493.1919945168495,0.0,5704.200254917145,49319.19945168495,12606.0,0.0,252120.0,1260600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Choose best option,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Create Purchase Order,76533.55149867773,401.88955307006836,159904.61303782463,7653355.149867773,75955.22471536875,0.0,159182.1407339573,7595522.471536875,1804002.0,0.0,3854760.0,1.804002E8,3.2129265739387933,2.0351723657713996,4.325689301225874,321.2926573938793,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Create Purchase Requisition,1824.5858449387551,305.70583271980286,3409.960302591324,182458.5844938755,0.0,0.0,0.0,0.0,58851.93399312258,0.0,158060.75400972366,5885193.399312258,10.13658802743753,1.698365737332238,18.94422390328513,1013.658802743753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Create Quotation comparison Map,84597.74781055689,5211.8308572769165,178511.60260653496,8459774.781055689,72358.88064248086,0.0,159543.21624970436,7235888.064248085,1975636.8,43260.0,4265460.0,1.9756368E8,67.99370648931131,12.976925443278418,120.29715403848225,6799.370648931131,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Create Request for Quotation,338.80046547174453,9.215447902679443,1555.6420702934265,33880.046547174454,0.0,0.0,0.0,0.0,5981.4,0.0,154860.0,598140.0,3.7644496163527172,0.10239386558532715,17.284911892149182,376.44496163527174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Deliver Goods Services,249677.4034056473,28609.499020814896,543331.8577833176,2.4967740340564728E7,149990.01364445686,0.0,394067.13648200035,1.4999001364445686E7,5842746.0,677280.0,1.271718E7,5.842746E8,553.8188320066135,76.28881893555324,975.1682866096496,55381.88320066136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
EVENT 1 START,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
EVENT 2 END,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
End,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
GATEWAY 25 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,201
GATEWAY 26 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,201
GATEWAY 27 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
GATEWAY 28 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
GATEWAY 29 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,209
GATEWAY 30 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,209
Pay Invoice,1232.6403917360306,246.71647214889526,5928.465409517288,123264.03917360306,632.3815738582612,0.0,5254.901304960251,63238.15738582611,28782.6,0.0,252120.0,2878260.0,3.3347712104320535,1.3706470674938627,4.995437620745765,333.47712104320533,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Release Purchase Order,60.0,60.0,60.0,6000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333329,0.3333333333333333,0.3333333333333333,33.33333333333329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Release Supplier's Invoice,416.8180040550232,120.9259741306305,4112.395263910294,41681.80040550232,150.46619726657866,0.0,3977.953576564789,15046.619726657867,3458.4,0.0,154860.0,345840.0,1.479732259935803,0.6678962892956204,2.324927976396349,147.9732259935803,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Send Invoice,172102.9576571846,0.0,395887.25777602196,1.721029576571846E7,172102.9576571846,0.0,395887.25777602196,1.721029576571846E7,4019196.0,0.0,9280320.0,4.019196E8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Send Request for Quotation to Supplier,60132.07905906439,1100.626514673233,161067.1620440483,6013207.905906439,58680.62060326099,0.0,159654.20781636238,5868062.060326099,1410166.2,0.0,3854760.0,1.4101662E8,8.06365808779664,1.41655556095971,13.338621071974437,806.3658087796639,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Settle Conditions With Supplier,116045.7412688899,23723.51573562622,201859.24817490578,1.160457412688899E7,80350.51533754588,0.0,159999.8638882637,8035051.533754587,2706931.8,529560.0,4690620.0,2.7069318E8,198.30681072968906,83.34560898807314,289.7154029859437,19830.681072968906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Settle Dispute With Supplier,12323.857540959898,575.0783100128174,38549.76902627945,566897.4468841553,566.71313107532,0.0,5050.867307186127,26068.80402946472,295561.3043478261,0.0,904200.0,1.359582E7,65.3174689438032,3.194879500071208,211.93433823453054,3004.6035714149475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46
Start,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100

Scenario statistics
KPI,Min,Average,Max
Process Cycle Time (s),6649860.784790754,2.1992623227167282E7,2.9547294819372177E7
Process Cycle Time excluding out of timetable hours (s),269640.7847907543,901293.8931741596,1205688.1332941055
Process Waiting Time (s),147672.45614552498,736142.5138685799,980118.5855782032
Accumulated Process Duration (s),6649860.784790754,2.1992623227167282E7,2.9547294819372177E7
Cost,363.71148339642417,919.3941771214143,1367.6815149254267


Process Cycle Time (s) distribution
From,To,Count
6649860,8939603,4
8939604,11229347,6
11229348,13519091,3
13519092,15808835,5
15808836,18098579,7
18098580,20388323,3
20388324,22678067,8
22678068,24967811,7
24967812,27257555,51
27257556,29547299,6

Process Waiting Time (s) distribution
From,To,Count
147672,230916,7
230917,314161,3
314162,397406,5
397407,480651,3
480652,563896,6
563897,647141,2
647142,730386,6
730387,813631,10
813632,896876,29
896877,980121,29

Accumulated Process Duration (s) distribution
From,To,Count
6649860,8939603,4
8939604,11229347,6
11229348,13519091,3
13519092,15808835,5
15808836,18098579,7
18098580,20388323,3
20388324,22678067,8
22678068,24967811,7
24967812,27257555,51
27257556,29547299,6

Process Cost distribution
From,To,Count
363,463,3
464,564,10
565,665,4
666,766,13
767,867,14
868,968,13
969,1069,8
1070,1170,16
1171,1271,12
1272,1372,7

In-timetable Cycle time (s) distribution
From,To,Count
269640,363244,4
363245,456849,6
456850,550454,3
550455,644059,5
644060,737664,7
737665,831269,3
831270,924874,8
924875,1018479,7
1018480,1112084,51
1112085,1205689,6



Details
Instance #,Cycle time (s),Cycle time in time table only (s),Waiting time (s),Cost
1,1.0005010563869238E7,413889.5638692379,212679.39303827286,1120.0612023486028
2,1.0990862558804035E7,455457.82874178886,223046.28817892075,1291.3979779428905
3,6952332.3455142975,289381.1476895809,147672.45614552498,789.0954985459647
4,1.0357771445366621E7,426815.8513174057,217457.9332048893,1163.7084489742913
5,6922394.947004318,283792.3481142521,163017.90139365196,675.5857419835198
6,9718743.515556335,399439.85795259476,254600.94218420982,807.6939640786914
7,1.2897647359220028E7,530159.8941128254,302897.80517053604,1263.995893312825
8,8091643.020238161,335140.6280345917,181204.25045490265,855.9781426522467
9,6649860.784790754,269640.7847907543,154660.39662861824,642.4648357748986
10,1.087025170234847E7,440004.98716044426,344777.5485775471,529.3575481176376
11,1.9934396381608248E7,814202.5249159336,677897.7517421246,757.9465172847111
12,1.145384089982748E7,467845.95486569405,329798.1129646301,768.2795642309719
13,1.5332628858106375E7,628301.8968629837,425920.81541991234,1126.7517788158523
14,1.68709191745739E7,692701.7715511322,540556.4090776443,846.1794911848175
15,1.745482708516383E7,714220.2712583542,584040.8711490631,726.3673059278066
16,1.3820076898903608E7,569900.5876994133,373513.6846013069,1091.5291016340254
17,1.501563598512578E7,619407.2112016678,394162.928450346,1253.0676177912287
18,1.741281089226985E7,714157.3275175095,510256.7330727577,1133.956644715203
19,1.0913196156668901E7,446615.26636362076,300684.3841538429,819.3695793337292
20,1.271514946673274E7,522478.2745873928,389766.67829465866,744.4419601387448
21,1.4949075216869116E7,610695.2168691158,427772.1273691654,1018.1351854046187
22,1.5465726440609694E7,631594.5565674305,464569.765591383,928.9782838397558
23,2.6236214263993263E7,1073004.887701273,881182.7496395111,1069.5236499614186
24,2.3298595889181376E7,952273.8275055885,735669.5279185772,1206.389257580704
25,2.3286227076707125E7,950407.0311849117,752150.532959938,1105.1075850473508
26,2.2355919290342808E7,916617.5645377636,687976.9877746105,1271.2481591807473
27,1.684987014404583E7,688028.7479434013,515362.52254247665,959.508311533928
28,1.7882519104797125E7,733060.3643517494,504744.70566272736,1268.7549555023509
29,2.0711032143663883E7,844888.2991859913,664104.2145941257,1007.9197139461836
30,2.6922081799248695E7,1100382.4277169704,930578.6524720192,948.7024925443862
31,2.228349676687169E7,910680.262198925,755848.6661198139,864.4164554423756
32,2.645644633036232E7,1080740.7921102047,919234.7949714661,897.5269340660839
33,2.5940813092387438E7,1065343.384433031,975887.6359250546,498.93904009660076
34,1.7186406281924963E7,701081.354429245,537503.6345801353,913.1389783329436
35,1.8989212700240612E7,777897.6057503223,657780.60131073,667.9512808018262
36,2.2269841334713697E7,916657.2213361263,762164.8181641102,861.452081501484
37,2.614215108406973E7,1070773.5121443272,887554.6900880337,1020.0640268299315
38,2.2573813136904E7,924481.861767292,781585.4093425274,795.3358368992807
39,2.5508480872558117E7,1045149.794924736,875462.9861607552,943.0038348476094
40,2.5841289945934534E7,1060538.26755476,825165.822789669,1308.3722932073806
41,2.1594316042629004E7,887713.3219463825,779038.4778242111,604.6072433286243
42,1.9500353121675253E7,800040.3270866871,612676.537365675,1041.319862516721
43,2.216955406472087E7,910997.0078728199,690029.8640210629,1230.1450345873832
44,1.7046192962018013E7,697652.8693292141,528518.0751156807,939.7345273017884
45,2.6031243114127636E7,1068552.3607943058,968947.3164675236,554.105670340856
46,2.2890718147146463E7,939419.6105351448,855568.9885342121,468.66697592470376
47,2.1408039027651787E7,875743.2475063801,720503.6274871826,864.3342827664483
48,2.5886843476835728E7,1059834.0524134636,824718.3409991264,1307.1411068624916
49,2.597319273163438E7,1062881.379003048,926201.1292657852,759.6069029702081
50,2.6648354397816658E7,1096262.3552761078,883252.0671567917,1191.4058387266264
51,2.568774745985627E7,1057481.2855796814,980118.5855782032,434.5099986672401
52,2.593215262020898E7,1063352.6202089787,846035.8133509159,1208.8062132014168
53,2.9547294819372177E7,1205688.1332941055,959868.6868290901,1367.6815149254267
54,2.590350260781598E7,1056033.173618555,938005.0893893242,659.4155548731485
55,2.5890749968506336E7,1057260.5391104221,887774.5782923698,942.8314723173778
56,2.5775524339838266E7,1053274.5869817734,926189.5322804451,707.1312339901925
57,2.3131426429711103E7,948562.2194187641,826654.0297679901,677.6487525675033
58,2.5535805576337814E7,1046829.6131255627,906056.7412247658,782.733750138018
59,2.5917631651395798E7,1064321.5756671429,886664.6379117966,988.0803819497427
60,2.287999217325592E7,940761.9702603817,808761.0101158619,734.1157792078125
61,2.5890348180589437E7,1065077.5458490849,907698.9472928047,875.0688161267175
62,2.5793060322258234E7,1057472.327193737,861494.8999581337,1092.2803724659811
63,2.5518561505625725E7,1049139.4738264084,825822.7107815742,1242.537905871868
64,2.5504639873640537E7,1049142.461885929,875705.5213973522,966.7133344027733
65,2.5491767062656403E7,1046761.8321902752,839623.2036821842,1151.2584189878569
66,2.2713622902953625E7,930598.5540077686,841942.319819212,494.4068446609709
67,2.6408316560207605E7,1083430.2911190987,887511.4037809372,1090.4809745205773
68,2.560821295222187E7,1046807.4835710526,922684.1996753216,690.3221793691317
69,2.569435357931876E7,1049719.7961308956,893787.4373943806,867.1733897566795
70,2.756892411097002E7,1126173.992707491,902484.5823535919,1243.4206408937769
71,2.3329505694152355E7,957239.6137509346,873438.8556909561,467.10372587574847
72,2.5393735008261442E7,1039696.2517769337,949866.9034502506,501.8553019656075
73,2.5639051550904274E7,1046827.2507615089,851828.1530439854,1083.429050768746
74,2.501816733022237E7,1019980.1337544918,926367.4986753464,520.2894532402358
75,2.550819863468051E7,1041239.7654755116,918354.2812054157,683.7794635706479
76,2.5941479072896242E7,1063370.401381731,901632.484320879,901.8201296779845
77,2.6791317389226913E7,1095051.9351313114,947916.5666251183,818.3221160928409
78,2.5566908965880632E7,1044697.207640171,952266.0418105125,513.8201195783084
79,2.529481710988164E7,1038710.9155216217,870602.0935890675,941.2252711176873
80,2.5438977915081263E7,1041925.7453398705,915449.7187802792,703.7560838871533
81,2.5268822590815544E7,1040606.2405910492,964292.8691968918,426.68688117795523
82,2.5511188106450558E7,1044850.5463664532,866492.3896439075,993.1209077649646
83,2.5240523743277073E7,1036790.7519745827,824833.263260603,1178.8292205201255
84,2.5566934590688467E7,1049401.1322431564,849451.7948050499,1112.1256875091126
85,2.823623665196705E7,1160448.8676149845,951405.4596107006,1161.675687209765
86,2.5457664328294992E7,1043783.8286898136,842616.33598876,1118.4308013518648
87,2.54423109977777E7,1042397.0658352375,845055.2225854397,1097.7530788222946
88,2.5169277824608803E7,1035430.9246861935,844422.1898915768,1062.8254149927031
89,2.541384579868889E7,1041864.0101008415,891276.5004274845,836.6484728958873
90,2.5476711011766672E7,1043811.0117666721,921937.1888318062,678.0674926333959
91,2.5387017444254875E7,1039441.49315238,938625.1603338718,560.259208630191
92,2.5114480833423138E7,1033037.9234557152,968084.613796711,363.71148339642417
93,2.7418225597215176E7,1124343.6226847172,913769.8781912327,1171.549184852176
94,2.524253753703785E7,1034168.0642879009,923229.8277182579,617.7770905269518
95,2.5071399484968185E7,1031884.7369835377,868689.431101799,907.9909557236566
96,2.8082318953736067E7,1149618.1997263432,940888.5748562813,1160.1730318109194
97,2.5386562158684015E7,1040052.4818005562,810111.8435118198,1282.3413180020118
98,2.5370236799785376E7,1037710.7609710693,795557.915119648,1345.8461314347055
99,2.552118815030098E7,1044180.3955044746,799112.4570174217,1362.7661832306121
100,2.889102670168352E7,1181991.0721151829,961423.3887832165,1226.0566183050473
