Resource utilization
Resource,Utilization %
Role 1,2
SYSTEM,0
Role 4,0
Role 6,0
Role 3,51
Role 2,78
Role 5,5

Individual task statistics
Name,Avg duration,Min duration,Max duration,Total duration,Avg waiting time,Min waiting time,Max waiting time,Total waiting time,Avg idle time,Min idle time,Max idle time,Total idle time,Avg cost,Min cost,Max cost,Total cost,Avg cost over thresh,Min cost over thresh,Max cost over thresh,Total cost over thresh,Avg duration over thresh,Min duration over thresh,Max duration over thresh,Total duration over thresh,Count,
Amend Purchase Requisition,1746.7558965600056,19.90771770477295,7923.105810403824,200876.92810440063,0.0,0.0,0.0,0.0,34556.34782608696,0.0,252120.0,3973980.0,9.704199425333366,0.11059843169318305,44.01725450224347,1115.982933913337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,115
Amend Request for Quotation,613.883992273232,0.0,1186.375027179718,71210.54310369492,0.0,0.0,0.0,0.0,16458.103448275862,0.0,158460.0,1909140.0,3.410466623740178,0.0,6.590972373220656,395.6141283538607,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,116
Analyze Purchase Requisition,381.41544688136077,240.73489260673523,539.7089927196503,82004.32107949257,0.0,0.0,0.0,0.0,6988.46511627907,0.0,154860.0,1502520.0,2.1189747048964476,1.337416070037418,2.998383292886946,455.57956155273627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,215
Analyze Quotation Comparison Map,1186.8651248669623,365.0012686252594,2038.4504618644714,118686.51248669624,0.0,0.0,0.0,0.0,26442.6,0.0,158460.0,2644260.0,6.593695138149792,2.0277848256958855,11.324724788135953,659.3695138149792,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Analyze Request for Quotation,45694.52046242467,328.409193277359,163104.5897371769,9870016.419883728,44341.818763895164,0.0,160894.7136311531,9577832.853001356,1063757.7777777778,0.0,3811560.0,2.2977168E8,7.5150094362749975,1.0845644447538587,14.086996363268959,1623.2420382353994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,216
Approve Purchase Order for payment,34661.60848321915,60.0,156501.91866469383,3466160.8483219147,34601.60848321915,0.0,156441.91866469383,3460160.8483219147,809796.6,0.0,3642240.0,8.097966E7,0.3333333333333329,0.3333333333333333,0.3333333333333333,33.33333333333329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Authorize Supplier's Invoice payment,1181.6783215808869,0.0,11492.186238765717,118167.83215808868,1181.6783215808869,0.0,11492.186238765717,118167.83215808868,22233.0,0.0,252180.0,2223300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Choose best option,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Create Purchase Order,69088.51933333397,386.27703619003296,155177.92550086975,6908851.933333397,68498.87798165083,0.0,154418.28177571297,6849887.798165083,1630676.4,0.0,3523380.0,1.6306764E8,3.275785287128554,2.0464999874432883,4.323065145810445,327.5785287128554,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Create Purchase Requisition,1880.189898648262,301.7373752593994,3403.96177983284,188018.9898648262,0.0,0.0,0.0,0.0,59074.37958792448,0.0,157529.79645872116,5907437.958792448,10.44549943693479,1.6763187514411078,18.910898776849113,1044.549943693479,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Create Quotation comparison Map,78258.93680287838,9215.287067651749,173009.60897684097,7825893.680287838,66106.0976561904,0.0,157090.92572546005,6610609.76561904,1832829.0,172980.0,4060140.0,1.832829E8,67.51577303715548,14.065057844585843,118.71555832227071,6751.577303715549,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Create Request for Quotation,305.6146406364441,22.64406657218933,1603.2620289325714,30561.46406364441,0.0,0.0,0.0,0.0,15201.6,0.0,158460.0,1520160.0,3.3957182292938217,0.25160073969099256,17.814022543695238,339.57182292938217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Deliver Goods Services,223740.14068632125,13428.30981850624,524398.7485926151,2.2374014068632126E7,132955.18569136143,0.0,397218.57482004166,1.3295518569136143E7,5230448.4,374640.0,1.234254E7,5.2304484E8,504.3608610831103,68.18934922748142,975.1497423993217,50436.08610831103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
EVENT 1 START,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
EVENT 2 END,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
End,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
GATEWAY 25 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,216
GATEWAY 26 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,216
GATEWAY 27 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
GATEWAY 28 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
GATEWAY 29 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,215
GATEWAY 30 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,215
Pay Invoice,2257.8247483778,242.3714714050293,12002.073820352554,225782.47483778,1675.320223710537,0.0,11467.896571159363,167532.0223710537,62323.2,0.0,252180.0,6232320.0,3.236136248151459,1.346508174472385,4.9757630017068655,323.6136248151459,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Release Purchase Order,60.0,60.0,60.0,6000.0,0.0,0.0,0.0,0.0,1584.6,0.0,158460.0,158460.0,0.3333333333333329,0.3333333333333333,0.3333333333333333,33.33333333333329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Release Supplier's Invoice,438.94777861833575,122.90615272521973,1243.520328760147,43894.77786183357,156.5971172308922,0.0,847.7510716915131,15659.711723089218,3675.0,0.0,158460.0,367500.0,1.5686147854857981,0.682811959584554,2.3319672253396777,156.8614785485798,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Send Invoice,157703.87645251752,0.0,396951.36734223366,1.5770387645251751E7,157703.87645251752,0.0,396951.36734223366,1.5770387645251751E7,3690831.0,0.0,9280320.0,3.690831E8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Send Request for Quotation to Supplier,55485.29309883118,977.4425656795502,157276.47744441032,5548529.309883118,54063.871188447476,0.0,155654.01675891876,5406387.118844748,1295788.8,0.0,3728700.0,1.2957888E8,7.896788391020562,3.3662072473102147,12.718117543061574,789.6788391020561,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Settle Conditions With Supplier,112036.61278741836,25212.238040685654,198882.46405673027,1.1203661278741837E7,78538.37807576418,0.0,163787.59823274612,7853837.807576418,2620213.8,580020.0,4640160.0,2.6202138E8,186.1013039536343,81.92958139843411,287.128885310226,18610.13039536343,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Settle Dispute With Supplier,13361.454446023365,608.2659289836884,52377.67149615288,708157.0856392384,1105.2121749149178,0.0,9242.314529657364,58576.24527049065,297273.96226415096,0.0,1163700.0,1.575552E7,68.0902348394914,2.4291080130471125,253.0772363887893,3608.782446493044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53
Start,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100

Scenario statistics
KPI,Min,Average,Max
Process Cycle Time (s),5808685.80714345,2.0677854673578408E7,2.802265213783765E7
Process Cycle Time excluding out of timetable hours (s),241213.1165716648,847607.8939904833,1149296.3555719852
Process Waiting Time (s),140747.20753717422,691845.5821743917,963694.4364161491
Accumulated Process Duration (s),5808685.80714345,2.067785554072328E7,2.802265213783765E7
Cost,332.1069752428266,867.048853342215,1457.7911815603572


Process Cycle Time (s) distribution
From,To,Count
5808685,8030081,4
8030082,10251478,5
10251479,12472875,8
12472876,14694272,4
14694273,16915669,5
16915670,19137066,8
19137067,21358463,4
21358464,23579860,5
23579861,25801257,52
25801258,28022654,5

Process Waiting Time (s) distribution
From,To,Count
140747,223041,8
223042,305336,5
305337,387631,7
387632,469926,2
469927,552221,2
552222,634516,8
634517,716811,6
716812,799106,8
799107,881401,28
881402,963696,26

Accumulated Process Duration (s) distribution
From,To,Count
5808685,8030081,4
8030082,10251478,5
10251479,12472875,8
12472876,14694272,4
14694273,16915669,5
16915670,19137066,8
19137067,21358463,4
21358464,23579860,5
23579861,25801257,52
25801258,28022654,5

Process Cost distribution
From,To,Count
332,444,6
445,557,11
558,670,18
671,783,12
784,896,10
897,1009,8
1010,1122,8
1123,1235,11
1236,1348,13
1349,1461,3

In-timetable Cycle time (s) distribution
From,To,Count
241213,332021,4
332022,422830,5
422831,513639,8
513640,604448,4
604449,695257,5
695258,786066,8
786067,876875,5
876876,967684,4
967685,1058493,52
1058494,1149302,5



Details
Instance #,Cycle time (s),Cycle time in time table only (s),Waiting time (s),Cost
1,9451923.788864374,390362.78886437416,216351.10824680328,968.1369904041292
2,5808685.80714345,241213.1165716648,140747.20753717422,561.501146680779
3,1.0188527593664408E7,420103.28859114647,188562.33016705513,1287.4050727155472
4,8703344.552147627,354022.2414727211,224462.43472790718,721.1164775504006
5,7529199.798169613,310691.63278722763,182752.3897535801,710.9994381745657
6,1.0491938570378542E7,430489.11534547806,208598.72301650047,1233.3803506453828
7,1.350005404974842E7,552502.7406029701,323302.60504698753,1275.5622798283894
8,7541320.233709574,314249.4929673672,163661.26299762726,839.6435883601507
9,1.045003203063941E7,427572.03063941,213367.17067170143,1191.3775535000693
10,9272646.959496021,376998.65994262695,257072.7921745777,667.4612355245486
11,1.3446000568612576E7,547507.8132200241,288374.8535768986,1440.0400757114091
12,1.5246755249975204E7,622186.170632124,372278.2076883316,1390.7051528851189
13,2.5615356593473673E7,1050785.7627871037,918026.1768820286,737.6790553980404
14,1.168853415769291E7,478389.90203142166,239287.86050748825,1328.8183015916081
15,2.2819664718189955E7,931023.4495978355,711347.638086319,1225.1329570624562
16,1.287169783184743E7,529480.8627328873,321249.5208468437,1161.3940418985155
17,6539210.783951998,267048.82654190063,197031.44622778893,389.3094471587074
18,1.802412720080042E7,741937.3367600441,633686.0888752937,602.2120878113641
19,1.1566307987722635E7,476572.7060239315,314744.35423851013,900.8228619098664
20,2.567308655306244E7,1051579.8120598793,963694.4364161491,489.2182316780091
21,8514714.857911348,351174.85791134834,237977.93224525452,630.4554323421586
22,1.0527672549188614E7,431174.0598812103,331432.3891737461,555.1745694809489
23,2.1186290209108353E7,868773.2087790966,736501.8866066933,736.507649963432
24,1.3969278007017612E7,575605.8140079975,462567.4465274811,628.96388357083
25,2.137040564697051E7,872008.0609502792,673059.9025013447,1106.9425626251432
26,1.0652518385204077E7,435555.0734322071,321659.201595068,634.1723508119585
27,1.2370418523869276E7,503140.8379883766,343988.39368247986,884.4531834562621
28,1.5884260225291729E7,648097.871068716,492239.29372262955,866.4199295547274
29,1.8029917868592262E7,732783.0852751732,580005.0901777744,849.9516681035361
30,2.5275005410788536E7,1031656.416364193,803897.213807106,1265.835633258025
31,1.5844611271245956E7,646958.7292172909,501821.9594731331,807.6092277023529
32,2.71632512514956E7,1114074.0195143223,954750.9639892578,885.9119569076433
33,2.5072472340479374E7,1029530.2935535908,811676.1964251995,1216.1141508181888
34,1.2357807488418102E7,509192.88802838326,430950.2864501476,436.5163930972417
35,1.855217170686984E7,758875.7018737793,653604.8846795559,590.1603309697574
36,1.8539675848034143E7,760388.6151678562,615270.9086024761,806.8499408801398
37,1.7417052660597086E7,718136.9805867672,658545.7643077374,332.1069752428266
38,2.257357193855405E7,924299.778305769,688491.2006604671,1312.4232608093157
39,1.6781306706503153E7,690405.531883955,618897.2144503593,397.6998338527149
40,1.5902012193933487E7,653837.0395994186,559152.4865958691,527.031739229626
41,2.556262209762311E7,1048192.9913175106,845962.2269923687,1132.4112575226359
42,2.5108668723870277E7,1029846.5815536976,839324.2683343887,1059.7682013299727
43,1.8486899258919E7,758996.4307734966,570144.2298586369,1052.488680038187
44,2.573112251923442E7,1056988.7640690804,851877.2637388706,1143.225289399094
45,1.9623139317412853E7,806515.0285928249,668846.4004943371,765.7624574899675
46,2.5309045272656918E7,1037595.8883171082,841866.9824795723,1088.1129650036492
47,1.8484331033668995E7,758447.0043344498,622234.3852162361,757.982436354955
48,2.512413741927004E7,1032044.2354393005,819254.6055209637,1184.1392682909966
49,2.60581106182096E7,1072208.9121863842,954226.3317241669,657.4285999125904
50,2.5042477310040712E7,1028880.5474083424,910122.7475421429,663.9955462257069
51,1.816536027321267E7,747658.1334221363,619114.4402401447,716.4858246313202
52,2.506869577894187E7,1032035.7789418697,822660.136661768,1164.004985509978
53,2.5395801148326635E7,1038817.9406077862,895348.9192011356,797.2186368558143
54,2.498581640337825E7,1021113.3868105412,841504.3886888027,999.5793541948002
55,2.5286142300642967E7,1032816.4046676159,799755.3578746319,1298.9522670282256
56,2.214798127719426E7,905970.4419019222,767821.5089066029,768.793579683039
57,2.802265213783765E7,1149296.3555719852,937442.4104793072,1178.5914613101215
58,2.5319569871491432E7,1036187.5066878796,808632.4960708618,1265.6777764876683
59,2.4623099700346947E7,1005776.1317288876,767280.874710083,1325.6481766687498
60,2.5299287302683353E7,1040179.9901752472,885339.4052312374,860.4494509193634
61,2.5545764534083843E7,1048445.6276199818,786304.4792768955,1457.7911815603572
62,2.492957525262046E7,1026247.138831377,886831.5831141472,776.1220743881331
63,2.5072594351632357E7,1028476.4761178493,805736.464704752,1238.9393596715395
64,2.5058234600132942E7,1028141.9633126259,908337.9912998676,666.9865787612069
65,2.0654125384503365E7,849456.6778800488,765293.4110352993,468.0196690652105
66,2.1188694838628292E7,868442.8222792149,788882.7937774658,444.57725141313335
67,2.5017782826924562E7,1026062.3925278187,923373.8852357864,571.0996187527974
68,2.4845566148491383E7,1019173.8760287762,900549.6620526314,663.3781207587984
69,2.472790654262519E7,1009248.8939979076,905560.2781369686,576.897165064017
70,2.4975087674948454E7,1021858.4506988525,825125.0028221607,1094.7141659299532
71,2.480388558034897E7,1019473.9334242344,909676.2145321369,610.9444873425697
72,2.4788917394399405E7,1014968.2404952049,818375.4666528702,1092.8645259261127
73,2.2905516673995256E7,936078.3324017525,845606.7237308025,506.11941177580087
74,2.49177761986351E7,1017032.8800122738,878609.0662391186,771.2180385775036
75,2.4903829309402466E7,1017051.1601240635,923471.0631256104,522.35769794782
76,2.446978766015005E7,1004011.5982282162,823607.0716254711,1003.5612016624876
77,2.4456636525047064E7,1004887.6757950783,897532.045820713,601.2496233860653
78,2.486146512474084E7,1016707.4233131409,925044.4950597286,511.28914949629035
79,2.469139994691491E7,1015486.9554965496,841168.9605925083,970.6328562339147
80,2.483313698966527E7,1016249.9059028625,844221.2618997097,957.4833579712445
81,2.481988803461027E7,1017033.543045044,899493.0077130795,656.026366962327
82,2.4202883196646452E7,993996.2195901871,911984.428861618,459.56282548639496
83,2.463450303811145E7,1010923.5009772778,862978.6227164268,823.3921496868135
84,2.47774321971848E7,1013020.393185854,899786.9332697392,629.9664398259588
85,2.5715713407141924E7,1053843.7390079498,830494.6797320843,1242.1618977374499
86,2.691208036037159E7,1104216.1476681232,906137.007992506,1100.6321938170327
87,2.4523380668077707E7,1006375.6834747791,835843.4056997299,948.2507626652718
88,2.4462255248109818E7,1002478.1673374176,896058.7297437191,593.8034612854321
89,2.45517681962564E7,1012316.5774815083,925435.2261137962,482.96103576951555
90,2.4537147553144455E7,1008447.553144455,871802.3358097076,760.1295971115431
91,2.528624504535055E7,1036368.6629064083,812505.8747534752,1244.5068433509932
92,2.450760007702732E7,1006598.0602269173,911049.770535469,532.1221296442881
93,2.4439700563203573E7,1003209.7250964642,832891.3793458939,947.55167706675
94,2.463678149909997E7,1009015.7169189453,877627.3683619499,730.5308841533133
95,2.4366067624679565E7,1000834.3309686184,933663.8568475246,373.49618542989094
96,2.4609130671147108E7,1002220.8746883869,787613.653346777,1192.7200313448905
97,2.443739692683053E7,999423.9445316792,775813.0647375584,1243.3262888431545
98,2.6496045061052322E7,1079871.4393103123,853978.7969722748,1255.1029840098486
99,2.441043175345707E7,1000431.3181562424,919746.4457204342,450.0410905427402
100,2.455354279412198E7,1002706.3087739944,812497.1051051617,1058.4217197802334
