Resource utilization
Resource,Utilization %
Role 1,2
SYSTEM,0
Role 4,0
Role 6,0
Role 3,51
Role 2,78
Role 5,4

Individual task statistics
Name,Avg duration,Min duration,Max duration,Total duration,Avg waiting time,Min waiting time,Max waiting time,Total waiting time,Avg idle time,Min idle time,Max idle time,Total idle time,Avg cost,Min cost,Max cost,Total cost,Avg cost over thresh,Min cost over thresh,Max cost over thresh,Total cost over thresh,Avg duration over thresh,Min duration over thresh,Max duration over thresh,Total duration over thresh,Count,
Amend Purchase Requisition,1615.1619892422582,3.562364339828491,8139.208869695663,114676.50123620033,0.0,0.0,0.0,0.0,24922.816901408452,0.0,205380.0,1769520.0,8.973122162456988,0.019790912999047172,45.217827053864795,637.0916735344462,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71
Amend Request for Quotation,679.1590578697695,117.93878889083862,1615.6822996139526,68595.06484484673,0.0,0.0,0.0,0.0,10236.831683168317,0.0,158460.0,1033920.0,3.773105877054275,0.6552154938379924,8.97601277563307,381.08369358248177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101
Analyze Purchase Requisition,396.71953085012603,242.99569511413574,539.4134464263916,67839.03977537155,0.0,0.0,0.0,0.0,7584.912280701755,0.0,158460.0,1297020.0,2.203997393611812,1.3499760839674209,2.996741369035509,376.8835543076198,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,171
Analyze Quotation Comparison Map,1122.9647289943696,362.8989381790161,2018.6457738876343,112296.47289943695,0.0,0.0,0.0,0.0,20538.0,0.0,158460.0,2053800.0,6.238692938857607,2.016105212105645,11.21469874382019,623.8692938857607,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Analyze Request for Quotation,38223.753225827095,484.80960297584534,153676.9591293335,7682974.398391247,36865.501133148944,0.0,152550.4259288311,7409965.727762938,892983.8805970149,0.0,3638580.0,1.7948976E8,7.545844959323084,0.29936190446217853,15.494280280007256,1516.7148368239398,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,201
Approve Purchase Order for payment,30561.23898056507,60.0,163571.95763778687,3056123.898056507,30501.23898056507,0.0,163511.95763778687,3050123.898056507,711372.0,0.0,3854760.0,7.11372E7,0.3333333333333329,0.3333333333333333,0.3333333333333333,33.33333333333329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Authorize Supplier's Invoice payment,1568.884650065899,0.0,9718.433809280396,156888.4650065899,1568.884650065899,0.0,9718.433809280396,156888.4650065899,38907.0,0.0,302580.0,3890700.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Choose best option,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Create Purchase Order,81928.5541199851,533.3808836936951,157949.39688682556,8192855.41199851,81346.91666313887,0.0,157182.47724819183,8134691.666313887,1914855.6,0.0,3681840.0,1.9148556E8,3.231319204701318,2.022424817085266,4.322313451766968,323.13192047013183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Create Purchase Requisition,1756.4199615049363,342.0932779312134,3359.541562795639,175641.99615049362,0.0,0.0,0.0,0.0,58641.40527279377,0.0,157716.58077406883,5864140.527279377,9.757888675027422,1.9005182107289633,18.664119793309105,975.7888675027422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Create Quotation comparison Map,85496.36024031877,2618.092684030533,176030.95065951347,8549636.024031878,73494.13958401204,0.0,159719.72741675377,7349413.958401203,2008091.4,3660.0,4103400.0,2.0080914E8,66.67900364614857,14.499761723147499,119.95630246665743,6667.900364614858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Create Request for Quotation,324.12980153560636,9.015038251876831,1319.1344544887543,32412.98015356064,0.0,0.0,0.0,0.0,7314.6,0.0,97260.0,731460.0,3.6014422392845136,0.10016709168752035,14.657049494319493,360.14422392845137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Deliver Goods Services,272789.1987118268,19582.525800466537,597870.1345205307,2.727891987118268E7,181090.77973320722,0.0,445628.8569073677,1.8109077973320723E7,6388865.4,536760.0,1.392414E7,6.3888654E8,509.435660992331,70.86854332023196,972.7283185693952,50943.5660992331,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
EVENT 1 START,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
EVENT 2 END,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
End,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
GATEWAY 25 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,201
GATEWAY 26 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,201
GATEWAY 27 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
GATEWAY 28 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
GATEWAY 29 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,171
GATEWAY 30 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,171
Pay Invoice,2374.965834867954,248.45092105865479,10314.26613497734,237496.58348679543,1774.5295794487,0.0,9514.306604146957,177452.95794487,59907.6,0.0,302580.0,5990760.0,3.3357569745514137,1.3635196910964118,4.961645334296756,333.5756974551414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Release Purchase Order,60.0,60.0,60.0,6000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333329,0.3333333333333333,0.3333333333333333,33.33333333333329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Release Supplier's Invoice,532.7764528369903,121.60597348213196,4319.817688703537,53277.645283699036,265.5423205828667,0.0,4050.1078205108643,26554.232058286667,16364.4,0.0,97260.0,1636440.0,1.4846340680784647,0.6755887415673998,2.3209842854075964,148.46340680784647,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Send Invoice,196419.1454986477,0.0,448718.51067352295,1.964191454986477E7,196419.1454986477,0.0,448718.51067352295,1.964191454986477E7,4597099.8,0.0,1.059882E7,4.5970998E8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Send Request for Quotation to Supplier,55630.05572345972,890.0342597961426,154820.66031980515,5563005.572345972,54195.45273040771,0.0,153815.0898513794,5419545.2730407715,1296582.0,0.0,3685440.0,1.296582E8,7.970016628066702,2.2796083715226914,13.018845560815599,797.0016628066702,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Settle Conditions With Supplier,126592.54796937942,31083.59298968315,203731.13745379448,1.2659254796937943E7,92537.54043616295,0.0,160177.13396525383,9253754.043616295,2975787.0,738480.0,4841880.0,2.975787E8,189.19448629564715,81.16944915586048,289.70229156282215,18919.448629564715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Settle Dispute With Supplier,12178.160160624064,421.00785088539124,47284.199937582016,633264.3283524513,1333.185067681166,0.0,8913.724791526794,69325.62351942062,274220.76923076925,0.0,1156380.0,1.425948E7,60.249861627460554,0.8066305054558648,262.68999965323343,3132.9928046279488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52
Start,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100

Scenario statistics
KPI,Min,Average,Max
Process Cycle Time (s),4213644.538232565,2.301565394127279E7,2.9309055071795464E7
Process Cycle Time excluding out of timetable hours (s),172576.00127744675,942830.7359999896,1203291.723385334
Process Waiting Time (s),97231.61653637886,787987.0836890626,1050367.6791112423
Accumulated Process Duration (s),4213644.538232565,2.301565394127279E7,2.9309055071795464E7
Cost,348.53579632706106,862.043233958125,1416.8977223753927


Process Cycle Time (s) distribution
From,To,Count
4213644,6723185,5
6723186,9232727,3
9232728,11742269,2
11742270,14251811,7
14251812,16761353,0
16761354,19270895,2
19270896,21780437,10
21780438,24289979,2
24289980,26799521,31
26799522,29309063,38

Process Waiting Time (s) distribution
From,To,Count
97231,192544,7
192545,287858,2
287859,383172,4
383173,478486,4
478487,573800,0
573801,669114,4
669115,764428,8
764429,859742,10
859743,955056,30
955057,1050370,31

Accumulated Process Duration (s) distribution
From,To,Count
4213644,6723185,5
6723186,9232727,3
9232728,11742269,2
11742270,14251811,7
14251812,16761353,0
16761354,19270895,2
19270896,21780437,10
21780438,24289979,2
24289980,26799521,31
26799522,29309063,38

Process Cost distribution
From,To,Count
348,454,8
455,561,8
562,668,9
669,775,13
776,882,14
883,989,15
990,1096,11
1097,1203,8
1204,1310,12
1311,1417,2

In-timetable Cycle time (s) distribution
From,To,Count
172576,275647,5
275648,378719,3
378720,481791,2
481792,584863,7
584864,687935,0
687936,791007,2
791008,894079,10
894080,997151,2
997152,1100223,31
1100224,1203295,38



Details
Instance #,Cycle time (s),Cycle time in time table only (s),Waiting time (s),Cost
1,6329656.370649099,261915.37064909935,139729.9045548439,679.0647774193021
2,7882536.6745176315,322957.96777033806,163723.31225085258,886.4368252979385
3,1.184278146709752E7,489179.77404117584,258013.4507188797,1286.9695322288405
4,2.5478976122025967E7,1047518.9784104824,850217.4375741482,1099.5328560471535
5,4213644.538232565,172576.00127744675,97231.61653637886,421.82040193080906
6,6358690.146344662,263644.31791591644,140264.15092396736,686.8345884667502
7,5294622.168398857,218772.48388266563,126979.10772490501,511.0082166499562
8,5985523.791862488,246445.35853981972,127356.70800304413,663.2232072406347
9,7867817.207103968,323897.20710396767,181353.81699347496,793.5760112206142
10,1.1040525155302763E7,448077.7598102093,288433.72891783714,889.0985873182615
11,1.405154693203187E7,572989.5984458923,414924.6648950577,881.2075086209509
12,2.7442342968145132E7,1123602.9311432838,958741.0583069324,917.1539307514828
13,1.324707600403428E7,538590.3462455273,328631.2468934059,1169.463536470466
14,7194376.004441738,296371.6042909622,216890.4096786976,442.9920534571011
15,2.8266503955320597E7,1157515.0457787514,953553.006998539,1134.8380376802552
16,2.7644493224954367E7,1129551.1019294262,1008375.1049687862,680.0100561473106
17,2.7707445604699135E7,1134427.470398903,957537.8482298851,983.1033190541798
18,1.9831701273264885E7,812998.612082243,596338.4288277626,1204.7583725147776
19,1.2727853656374216E7,521284.21377420425,356259.3001194,921.7951582392056
20,1.1504615387328148E7,472122.8942518234,304293.65434765816,934.4760952711106
21,2.0216756043530703E7,827516.0435307026,687061.2307534218,780.4043939696418
22,1.999092201055312E7,819358.8221976757,674996.4595999718,804.0913714488347
23,1.2672698176724434E7,518642.2426879406,394777.8067114353,691.074402112431
24,1.7253028831966877E7,706981.2235338688,610134.3083922863,538.63828517331
25,1.9739760205450773E7,808395.0415155888,672393.9213402271,758.4501135296292
26,2.6982615491159916E7,1104995.371224165,850087.6588072777,1416.8977223753927
27,1.2454488883883953E7,511370.84112000465,430203.3061070442,451.98042449156446
28,2.7376918171645403E7,1120382.031825304,1050367.6791112423,390.29161279201503
29,2.5336370296602964E7,1035638.7825446129,857294.5810658932,991.0260762267644
30,2.0873417342783213E7,852223.122718811,732162.5823864937,669.1258752942085
31,2.6309538484318018E7,1078454.778169632,938478.840719223,779.5875643120875
32,2.7497996002254963E7,1124570.5541837215,966233.219933033,881.5342003517682
33,2.7406789383154154E7,1119416.5258448124,968696.1096599102,839.3449918270111
34,2.0483404240980864E7,842336.077381134,674037.4791893959,936.9442842364311
35,1.2940366883619785E7,529445.4368827343,437633.8012268543,517.1207033130856
36,2.7439675792260647E7,1122393.343323946,894111.2633650303,1273.8899044765362
37,1.8522812711327314E7,757792.3186812401,632034.0295174122,698.864147451189
38,2.196906420429969E7,900010.2428078651,718323.8247568607,1011.1032695425881
39,2.1017774225791454E7,866896.8309760094,635733.8749470711,1284.535591040717
40,2.7308270286697865E7,1115567.8153140545,893418.1569404602,1235.1031916273964
41,2.512093241987753E7,1028130.9290690422,833535.587972641,1081.2943193674087
42,2.8734633984147787E7,1175732.386981964,972504.8288748264,1130.445159045855
43,2.4849787128901005E7,1019085.6052176952,831740.122032404,1047.4321879519355
44,2.483268326470518E7,1016014.7479712963,795991.4637880325,1222.4016623417533
45,1.966762728022504E7,807655.5723574162,705556.5996189117,568.962002641625
46,2.722718549394965E7,1118434.4727311134,1021250.1525902748,541.3641466392412
47,2.7288129419590473E7,1117834.34922719,951265.8402941227,928.2210212760501
48,2.7271564279512882E7,1115267.9332716465,986543.3378484249,717.5296005209289
49,2.7181970098440886E7,1111763.1427385807,942989.5613210201,938.6528801494175
50,2.1626779520091772E7,888071.8808133602,825525.605224371,348.53579632706106
51,2.7155360440284967E7,1113144.0884187222,972199.9347584248,783.7941416952345
52,2.7041804355148315E7,1110224.3551483154,914748.8468694687,1086.7096759676933
53,2.495217590862298E7,1016907.2053399086,849531.7000396252,931.1361723807124
54,2.7114772386217594E7,1107555.4176340103,857717.7203803062,1390.4432567530205
55,2.7099513768289328E7,1106232.9605736732,969412.4505755901,760.7972371644444
56,2.708468730403781E7,1105405.989465952,958925.3455307484,821.1098799427351
57,2.594633275627017E7,1065331.7426707745,888053.2353100777,986.3044902510115
58,2.7139267463110685E7,1112183.5693559647,933722.9689552784,993.7705818229252
59,2.5305063649955034E7,1035702.5331823826,833072.5831236839,1127.3091813961662
60,2.011741909586072E7,826393.2667324543,745988.6239013672,448.2768666532304
61,2.6757306924757957E7,1100033.411211729,896715.6707158089,1130.6070635769102
62,2.700271386995721E7,1107309.984089613,979507.8176038265,712.4298117319744
63,2.698908038434148E7,1107760.4287838936,877164.4317221642,1281.2602488848897
64,2.6974766429654837E7,1107476.9273166656,884938.1308448315,1237.89693347613
65,2.703615086071682E7,1107254.2125418186,872426.9836072922,1305.9081627964972
66,2.7624877426399708E7,1129954.6441054344,980119.6660468578,832.7399001704323
67,2.700751039348197E7,1106642.4514677525,923466.4120993614,1019.3827095799977
68,2.7000080535206318E7,1106003.5505771637,939318.9217500687,926.7702612267601
69,2.6644581254152775E7,1092335.9387803078,918494.0742251873,968.8921708809006
70,2.6965484883239985E7,1103041.2192707062,994855.5852282047,603.6506354331971
71,2.6615249909061432E7,1090975.635560751,929990.6112101078,897.8854864186712
72,2.660344598184538E7,1089619.9107089043,866180.587777853,1241.491155666775
73,2.6747276385998487E7,1092577.8278386593,892031.5066146851,1116.675380278958
74,2.691659705491543E7,1102902.1394031048,1015926.397767067,483.27549460728955
75,2.6819768413310766E7,1095787.7643327713,1009770.704518795,479.01162290308207
76,2.9309055071795464E7,1203291.723385334,974196.0516257286,1274.6461525824332
77,2.405944866392827E7,986196.8357596397,908162.7925186157,434.63680588801697
78,2.8590489749020338E7,1168531.4733076096,980963.1147243977,1044.0200812538462
79,2.666210228370285E7,1091471.711410284,972885.993131876,660.3863927125933
80,2.6748924711434603E7,1094981.51340127,941937.5975208282,854.5398540669019
81,2.6819526329650164E7,1103907.4572286606,882738.8936700821,1229.9378904157213
82,2.6803164165635586E7,1101626.9197304249,945237.2135782242,869.1804876751371
83,2.670688278675151E7,1091462.132373333,1017025.020475626,414.07842392788984
84,2.6777570876108646E7,1100380.9671566486,961746.1514847279,771.7650316052967
85,2.6754307979889154E7,1094794.1678786278,911822.9385695457,1016.7706861456237
86,2.674048644826126E7,1094905.0989100933,898899.4425568581,1089.899298842748
87,2.672650112789941E7,1094886.7287077904,940171.3834400177,860.6299150533148
88,2.6713534659981966E7,1095943.7550649643,979374.6823642254,649.6931035094791
89,2.6624067893707514E7,1092517.309327364,954139.5356080532,769.6471707118883
90,2.661082610719824E7,1089946.1071982384,989416.1441082954,559.2430251691079
91,2.694107908450985E7,1106020.2371652126,926404.6030435562,998.7399609168372
92,2.6657187884792328E7,1091943.14427042,989014.4653391838,572.2644625557795
93,2.656873031331992E7,1089484.4029860497,964092.8928809166,699.3275913662382
94,2.6293759013157368E7,1080629.054779768,977494.9499073029,575.72891330719
95,2.661645501483941E7,1093132.7511429787,972050.0950112343,672.8097029142912
96,2.7212823131697416E7,1112666.5509233475,971191.5199360847,787.0925805356767
97,2.685885349881029E7,1100543.4930040836,934398.1417057514,925.5793164478409
98,2.6499449861972332E7,1083007.9985554218,994897.8870778084,491.8305059697892
99,2.6558087656421423E7,1083596.7351994514,974275.8595950603,608.0313527093995
100,2.654410276737666E7,1083630.6520352364,877958.8962955475,1144.1061939888532
