Resource utilization
Resource,Utilization %
Resource 3,4
Role 1,0
SYSTEM,0
Role 4,0
Role 6,0
Role 3,0
Role 2,0
Role 5,0

Individual task statistics
Name,Avg duration,Min duration,Max duration,Total duration,Avg waiting time,Min waiting time,Max waiting time,Total waiting time,Avg idle time,Min idle time,Max idle time,Total idle time,Avg cost,Min cost,Max cost,Total cost,Avg cost over thresh,Min cost over thresh,Max cost over thresh,Total cost over thresh,Avg duration over thresh,Min duration over thresh,Max duration over thresh,Total duration over thresh,Count,
Amend Purchase Requisition,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,103
Amend Request for Quotation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76
Analyze Purchase Requisition,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,203
Analyze Quotation Comparison Map,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Analyze Request for Quotation,1410.4178959375079,62.99797320365906,2414.4939153194427,248233.54968500137,0.0,0.0,0.0,0.0,0.005681818181818182,0.0,1.0,1.0,5.876741233072951,0.26249155501524607,10.060391313831012,1034.3064570208394,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,176
Approve Purchase Order for payment,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Authorize Supplier's Invoice payment,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Choose best option,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Create Purchase Order,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Create Purchase Requisition,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Create Quotation comparison Map,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Create Request for Quotation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Deliver Goods Services,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
EVENT 1 START,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
EVENT 2 END,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
End,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
GATEWAY 25 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,176
GATEWAY 26 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,176
GATEWAY 27 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
GATEWAY 28 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
GATEWAY 29 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,203
GATEWAY 30 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,203
Pay Invoice,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Release Purchase Order,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Release Supplier's Invoice,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Send Invoice,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Send Request for Quotation to Supplier,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Settle Conditions With Supplier,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Settle Dispute With Supplier,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51
Start,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100

Scenario statistics
KPI,Min,Average,Max
Process Cycle Time (s),369.1899404525757,2482.3454968500137,7844.823303222656
Process Cycle Time excluding out of timetable hours (s),369.1899404525757,2482.335496850014,7844.823303222656
Process Waiting Time (s),0.0,0.0,0.0
Accumulated Process Duration (s),369.1899404525757,2482.3454968500137,7844.823303222656
Cost,1.5382914185523986,10.34306457020839,32.686763763427734


Process Cycle Time (s) distribution
From,To,Count
369,1116,14
1117,1864,30
1865,2612,23
2613,3360,5
3361,4108,11
4109,4856,5
4857,5604,8
5605,6352,1
6353,7100,2
7101,7848,1

Process Waiting Time (s) distribution
From,To,Count
0,-1,100
0,-1,0
0,-1,0
0,-1,0
0,-1,0
0,-1,0
0,-1,0
0,-1,0
0,-1,0
0,-1,0

Accumulated Process Duration (s) distribution
From,To,Count
369,1116,14
1117,1864,30
1865,2612,23
2613,3360,5
3361,4108,11
4109,4856,5
4857,5604,8
5605,6352,1
6353,7100,2
7101,7848,1

Process Cost distribution
From,To,Count
1,4,29
5,8,34
9,12,7
13,16,15
17,20,5
21,24,7
25,28,2
29,32,1
33,36,0
37,40,0

In-timetable Cycle time (s) distribution
From,To,Count
369,1116,14
1117,1864,30
1865,2612,23
2613,3360,5
3361,4108,11
4109,4856,5
4857,5604,8
5605,6352,1
6353,7100,2
7101,7848,1



Details
Instance #,Cycle time (s),Cycle time in time table only (s),Waiting time (s),Cost
1,1287.8929388523102,1287.8929388523102,0.0,5.366220578551292
2,3997.2389369010925,3997.2389369010925,0.0,16.655162237087886
3,2009.5517838001251,2009.5517838001251,0.0,8.37313243250052
4,2300.530553817749,2300.530553817749,0.0,9.58554397424062
5,1163.2479858398438,1163.2479858398438,0.0,4.846866607666016
6,561.8202793598175,561.8202793598175,0.0,2.3409178306659064
7,5361.25598526001,5361.25598526001,0.0,22.33856660525004
8,1779.9140148162842,1779.9140148162842,0.0,7.41630839506785
9,5310.294410943985,5310.294410943985,0.0,22.126226712266604
10,2036.9879953861237,2036.9879953861237,0.0,8.487449980775516
11,2033.4988346099854,2033.4988346099854,0.0,8.472911810874939
12,1429.2490692138672,1429.2490692138672,0.0,5.95520445505778
13,1135.6175887584686,1135.6175887584686,0.0,4.731739953160286
14,4211.841555118561,4211.841555118561,0.0,17.549339812994006
15,826.4220886230469,826.4220886230469,0.0,3.4434253692626955
16,1293.284981250763,1293.284981250763,0.0,5.388687421878179
17,799.987580537796,799.987580537796,0.0,3.33328158557415
18,4207.997208356857,4207.997208356857,0.0,17.533321701486905
19,1599.1688182353973,1599.1688182353973,0.0,6.663203409314155
20,5581.1891276836395,5581.1891276836395,0.0,23.254954698681832
21,2059.434741973877,2059.434741973877,0.0,8.58097809155782
22,1316.4488174915314,1316.4488174915314,0.0,5.485203406214714
23,1598.3167283535004,1598.3167283535004,0.0,6.659653034806251
24,548.7997744083405,548.7997744083405,0.0,2.2866657267014188
25,1649.4425132274628,1649.4425132274628,0.0,6.872677138447761
26,1659.1225485801697,1659.1225485801697,0.0,6.91301061908404
27,3611.259664297104,3610.259664297104,0.0,15.042748601237932
28,2865.920601129532,2865.920601129532,0.0,11.941335838039716
29,1196.7732293605804,1196.7732293605804,0.0,4.986555122335752
30,1455.5568540096283,1455.5568540096283,0.0,6.064820225040118
31,3722.9227855205536,3722.9227855205536,0.0,15.512178273002306
32,1503.803109884262,1503.803109884262,0.0,6.265846291184426
33,600.8640217781067,600.8640217781067,0.0,2.503600090742111
34,2031.6988642215729,2031.6988642215729,0.0,8.465411934256554
35,5810.401284694672,5810.401284694672,0.0,24.210005352894463
36,2431.9980759620667,2431.9980759620667,0.0,10.13332531650861
37,3425.903275489807,3425.903275489807,0.0,14.27459698120753
38,5204.039255142212,5204.039255142212,0.0,21.683496896425883
39,3696.0279319286346,3696.0279319286346,0.0,15.400116383035979
40,2499.0779242515564,2499.0779242515564,0.0,10.412824684381485
41,4325.5548620224,4325.5548620224,0.0,18.023145258426666
42,4030.689987182617,4030.689987182617,0.0,16.794541613260904
43,2011.7672865390778,2011.7672865390778,0.0,8.382363693912824
44,4607.5838215351105,4607.5838215351105,0.0,19.198265923062962
45,1840.6445739269257,1840.6445739269257,0.0,7.669352391362191
46,1586.9106032848358,1586.9106032848358,0.0,6.612127513686816
47,2256.2601873874664,2256.2601873874664,0.0,9.401084114114443
48,2033.620843887329,2033.620843887329,0.0,8.47342018286387
49,1145.1288211345673,1145.1288211345673,0.0,4.771370088060697
50,3331.496951341629,3331.496951341629,0.0,13.881237297256789
51,791.1242237091064,791.1242237091064,0.0,3.296350932121277
52,1623.3776540756226,1623.3776540756226,0.0,6.764073558648428
53,524.6470925807953,524.6470925807953,0.0,2.1860295524199804
54,2071.246134519577,2071.246134519577,0.0,8.630192227164905
55,1183.8423686027527,1183.8423686027527,0.0,4.932676535844803
56,6370.158189058304,6370.158189058304,0.0,26.542325787742932
57,1253.8665208816528,1253.8665208816528,0.0,5.224443837006887
58,1711.6540117263794,1711.6540117263794,0.0,7.131891715526581
59,2974.393232822418,2974.393232822418,0.0,12.393305136760077
60,1152.4440596103668,1152.4440596103668,0.0,4.801850248376528
61,1205.8489677906036,1205.8489677906036,0.0,5.024370699127515
62,1943.392736196518,1943.392736196518,0.0,8.097469734152158
63,4863.874393939972,4863.874393939972,0.0,20.266143308083215
64,646.9897458553314,646.9897458553314,0.0,2.695790607730548
65,3871.45996594429,3871.45996594429,0.0,16.13108319143454
66,4952.659597158432,4952.659597158432,0.0,20.636081654826796
67,2225.236318588257,2225.236318588257,0.0,9.271817994117736
68,904.5719790458679,904.5719790458679,0.0,3.7690499126911163
69,3225.791892528534,3225.791892528534,0.0,13.440799552202225
70,655.1180443763733,655.1180443763733,0.0,2.729658518234889
71,1287.4470977783203,1287.4470977783203,0.0,5.364362907409668
72,1990.917442560196,1990.917442560196,0.0,8.295489344000817
73,1915.475424528122,1915.475424528122,0.0,7.981147602200508
74,369.1899404525757,369.1899404525757,0.0,1.5382914185523986
75,5496.295537233353,5496.295537233353,0.0,22.90123140513897
76,2252.009160757065,2252.009160757065,0.0,9.383371503154438
77,806.4712269306183,806.4712269306183,0.0,3.360296778877576
78,4117.879324913025,4117.879324913025,0.0,17.157830520470938
79,3400.7251720428467,3400.7251720428467,0.0,14.169688216845195
80,6760.450648784637,6760.450648784637,0.0,28.168544369935987
81,3284.1633858680725,3284.1633858680725,0.0,13.684014107783636
82,2260.1131319999695,2260.1131319999695,0.0,9.417138049999872
83,955.0597219467163,955.0597219467163,0.0,3.979415508111318
84,1350.9103224277496,1350.9103224277496,0.0,5.628793010115624
85,2258.983990907669,2258.983990907669,0.0,9.41243329544862
86,2301.8633568286896,2301.8633568286896,0.0,9.591097320119541
87,5488.566845178604,5488.566845178604,0.0,22.869028521577516
88,1971.756564617157,1971.756564617157,0.0,8.215652352571487
89,7844.823303222656,7844.823303222656,0.0,32.686763763427734
90,3612.746040582657,3612.746040582657,0.0,15.053108502427737
91,1665.6148748397827,1665.6148748397827,0.0,6.940061978499094
92,2159.2702095508575,2159.2702095508575,0.0,8.996959206461906
93,3703.946714401245,3703.946714401245,0.0,15.433111310005188
94,1319.1046614646912,1319.1046614646912,0.0,5.496269422769546
95,1974.7954597473145,1974.7954597473145,0.0,8.228314415613811
96,1223.0067794322968,1223.0067794322968,0.0,5.095861580967903
97,3372.7817051410675,3372.7817051410675,0.0,14.053257104754447
98,1096.0162863731384,1096.0162863731384,0.0,4.566734526554743
99,1250.0864231586456,1250.0864231586456,0.0,5.20869342982769
100,1607.9201250076294,1607.9201250076294,0.0,6.699667187531789
