Resource utilization
Resource,Utilization %
Role 1,2
SYSTEM,0
Role 4,0
Role 6,0
Role 3,52
Role 2,79
Role 5,4

Individual task statistics
Name,Avg duration,Min duration,Max duration,Total duration,Avg waiting time,Min waiting time,Max waiting time,Total waiting time,Avg idle time,Min idle time,Max idle time,Total idle time,Avg cost,Min cost,Max cost,Total cost,Avg cost over thresh,Min cost over thresh,Max cost over thresh,Total cost over thresh,Avg duration over thresh,Min duration over thresh,Max duration over thresh,Total duration over thresh,Count,
Amend Purchase Requisition,1564.0894837856292,0.4008479118347168,7830.731109857559,132947.6061217785,0.0,0.0,0.0,0.0,31027.058823529413,0.0,252120.0,2637300.0,8.689386021031273,0.0022269328435262042,43.50406172143089,738.5978117876583,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85
Amend Request for Quotation,605.8838336152851,95.41832494735718,1144.47616481781,64223.686363220215,0.0,0.0,0.0,0.0,13492.641509433963,0.0,158460.0,1430220.0,3.3660212978626958,0.5301018052630955,6.358200915654501,356.79825757344577,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,106
Analyze Purchase Requisition,399.6117228044046,240.14292907714844,538.8161222934723,73928.16871881485,0.0,0.0,0.0,0.0,6603.891891891892,0.0,154860.0,1221720.0,2.220065126691136,1.3341273837619358,2.9934229016304017,410.71204843786023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,185
Analyze Quotation Comparison Map,1206.5093097925187,382.08584904670715,2013.7547459602356,120650.93097925186,0.0,0.0,0.0,0.0,21221.4,0.0,158460.0,2122140.0,6.702829498847326,2.1226991613705954,11.187526366445754,670.2829498847326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Analyze Request for Quotation,35896.60419589455,450.651465177536,152045.3256573677,7394700.464354277,34513.401586755965,0.0,150654.21086502075,7109760.726871729,833902.1359223301,0.0,3638580.0,1.7178384E8,7.684458939658783,0.0538169887330797,16.44241055647532,1582.9985415697092,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,206
Approve Purchase Order for payment,35125.64436387062,60.0,160760.537276268,3512564.436387062,35065.64436387062,0.0,160700.537276268,3506564.436387062,813258.0,0.0,3685500.0,8.13258E7,0.3333333333333329,0.3333333333333333,0.3333333333333333,33.33333333333329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Authorize Supplier's Invoice payment,983.2330038261414,0.0,8259.632917881012,98323.30038261414,983.2330038261414,0.0,8259.632917881012,98323.30038261414,25759.8,0.0,234180.0,2575980.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Choose best option,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Create Purchase Order,80353.49373738766,366.5288505554199,161002.45175099373,8035349.373738766,79792.51717433453,0.0,160544.52311468124,7979251.717433453,1868607.0,0.0,3714300.0,1.868607E8,3.116536461406284,2.036271391974555,4.283502676751879,311.6536461406284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Create Purchase Requisition,1825.5010545754433,336.8070523738861,3419.0413768291473,182550.10545754433,0.0,0.0,0.0,0.0,59002.98924297333,488.7419214248657,157194.50856614113,5900298.924297333,10.141672525419128,1.871150290966034,18.994674315717486,1014.1672525419128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Create Quotation comparison Map,84542.05411701917,2596.6119334697723,171612.79445004463,8454205.411701918,72600.01297630071,0.0,157997.82576656342,7260001.297630072,1983056.4,93720.0,3988080.0,1.9830564E8,66.34467300399146,12.905180279413859,121.02859157721201,6634.467300399146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Create Request for Quotation,334.4294673323631,4.263159275054932,1610.673956155777,33442.94673323631,0.0,0.0,0.0,0.0,13617.6,0.0,154860.0,1361760.0,3.715882970359589,0.04736843638949924,17.896377290619743,371.5882970359589,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Deliver Goods Services,231813.26835396767,17413.223356485367,576398.9690759182,2.3181326835396767E7,140712.11525699377,0.0,418927.67082190514,1.4071211525699377E7,5446014.0,327900.0,1.359258E7,5.446014E8,506.11751720541076,66.44759025971095,954.1497875902388,50611.75172054108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
EVENT 1 START,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
EVENT 2 END,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
End,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
GATEWAY 25 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,206
GATEWAY 26 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,206
GATEWAY 27 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
GATEWAY 28 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
GATEWAY 29 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,185
GATEWAY 30 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,185
Pay Invoice,1754.996380085945,249.19313287734985,8569.431259393692,175499.6380085945,1196.3308580064775,0.0,8259.632917881012,119633.08580064774,38913.0,0.0,234180.0,3891300.0,3.1036973448859335,1.3844062937630548,4.936415425936381,310.36973448859334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Release Purchase Order,60.0,60.0,60.0,6000.0,0.0,0.0,0.0,0.0,1009.2,0.0,97260.0,100920.0,0.3333333333333329,0.3333333333333333,0.3333333333333333,33.33333333333329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Release Supplier's Invoice,494.2243920254707,124.02255296707153,6785.028844356537,49422.43920254707,222.11941949129104,0.0,6432.141613483429,22211.941949129105,5151.6,0.0,162120.0,515160.0,1.5116942918565548,0.6890141831503974,2.3282178772820368,151.16942918565547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Send Invoice,183654.1530540967,0.0,417528.52893280983,1.836541530540967E7,183654.1530540967,0.0,417528.52893280983,1.836541530540967E7,4310616.0,0.0,9705480.0,4.310616E8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Send Request for Quotation to Supplier,55525.68355935573,1158.5633749961853,158213.48781204224,5552568.355935574,54076.95316565991,0.0,156242.65402126312,5407695.31656599,1300251.6,0.0,3804300.0,1.3002516E8,8.048502187199063,2.563348615169525,13.521795468860203,804.8502187199063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Settle Conditions With Supplier,123149.01630739211,16238.993427276611,200358.66128206253,1.2314901630739212E7,89754.17602252007,0.0,158271.46620845795,8975417.602252007,2884684.8,374700.0,4683420.0,2.8846848E8,185.52689047151142,80.00741232501136,292.20361488925084,18552.689047151143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Settle Dispute With Supplier,10980.888810700062,89.38714861869812,39013.60463500023,560025.3293457031,898.6371192838632,0.0,7481.355241537094,45830.49308347702,247608.23529411765,0.0,857460.0,1.262802E7,56.01250939675666,0.49659527010387844,216.74224797222348,2856.6379792345897,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51
Start,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100

Scenario statistics
KPI,Min,Average,Max
Process Cycle Time (s),6059447.976448536,2.1551254848892737E7,2.922251522984743E7
Process Cycle Time excluding out of timetable hours (s),248467.75768828392,883080.4596497655,1195218.3882894516
Process Waiting Time (s),146056.30063581467,729613.1674946523,969364.7704226971
Accumulated Process Duration (s),6059447.976448536,2.1551254848892737E7,2.922251522984743E7
Cost,317.0246597713894,854.4540090135866,1363.346985199716


Process Cycle Time (s) distribution
From,To,Count
6059447,8375753,2
8375754,10692060,7
10692061,13008367,6
13008368,15324674,3
15324675,17640981,5
17640982,19957288,8
19957289,22273595,6
22273596,24589902,5
24589903,26906209,55
26906210,29222516,3

Process Waiting Time (s) distribution
From,To,Count
146056,228386,6
228387,310717,5
310718,393048,3
393049,475379,4
475380,557710,3
557711,640041,5
640042,722372,9
722373,804703,6
804704,887034,30
887035,969365,29

Accumulated Process Duration (s) distribution
From,To,Count
6059447,8375753,2
8375754,10692060,7
10692061,13008367,6
13008368,15324674,3
15324675,17640981,5
17640982,19957288,8
19957289,22273595,6
22273596,24589902,5
24589903,26906209,55
26906210,29222516,3

Process Cost distribution
From,To,Count
317,421,5
422,526,5
527,631,19
632,736,9
737,841,9
842,946,12
947,1051,15
1052,1156,10
1157,1261,10
1262,1366,6

In-timetable Cycle time (s) distribution
From,To,Count
248467,343142,2
343143,437818,7
437819,532494,6
532495,627170,3
627171,721846,5
721847,816522,8
816523,911198,7
911199,1005874,4
1005875,1100550,55
1100551,1195226,3



Details
Instance #,Cycle time (s),Cycle time in time table only (s),Waiting time (s),Cost
1,1.1600818810216188E7,475017.81021618843,358754.8787972927,648.5345871289572
2,8780593.653213501,363488.1218087673,178224.1883904934,1030.912296493848
3,8818987.68057704,365459.5344712734,167142.76227784157,1103.278601641125
4,1.0960963991542578E7,450001.80537962914,265059.4389138222,1029.0729511777558
5,9948911.10150075,410294.661711216,194455.63605856895,1202.2608434955278
6,8331347.624081612,341537.11409163475,183714.34374642372,877.9960827787718
7,8709080.608649492,358582.1464276314,204973.7447426319,853.4132291250759
8,6059447.976448536,248467.75768828392,146056.30063581467,569.5633981029193
9,1.6756240566331148E7,685000.5663311481,474039.1610882282,1174.1524029890695
10,2.6206565086319923E7,1070439.0347766876,902078.3378841877,935.6523480362363
11,2.6145950588529825E7,1067059.8960175514,898713.7399852276,935.7935612042746
12,2.6133419613669634E7,1068476.9380156994,859013.5450308323,1166.9710575289196
13,1.225399888717556E7,500286.9193122387,322886.5658607483,987.7838753011492
14,8824741.568934917,359808.36419415474,247309.46644878387,627.9362528204919
15,2.6135675099485397E7,1069444.547397375,865105.5807113647,1137.0861840897135
16,1.0181557113424778E7,415218.968906641,269186.6813211441,813.7472972697684
17,2.1583270784061193E7,882556.7889978886,775422.7254869938,599.5916419095463
18,2.6149458895362854E7,1074696.021364212,885557.7298979759,1053.088234047095
19,1.4381938653057337E7,593810.3010134697,473493.060747385,669.3294430931411
20,1.1865033474476576E7,486704.3316614628,301630.22273492813,1031.0813555320103
21,1.4353766056239605E7,591746.056239605,393572.90364575386,1102.637450530794
22,2.4223378603572607E7,991711.7936971188,804771.4205591679,1038.8500157131086
23,1.6661489633875608E7,681497.8943865299,502095.0869297981,1000.601303001245
24,1.0285121135558367E7,421924.940397501,302225.2583363056,665.6376650836734
25,2.570537488306737E7,1049552.5759913921,901632.5085787773,823.5355173985165
26,2.0934241154830694E7,856877.6236953735,675477.1763954163,1008.2158247815239
27,2.5419424411000013E7,1043726.8006711006,830799.4455039501,1184.4964334845542
28,1.2044610149523497E7,493825.81669950485,381311.95089507103,627.6839467459256
29,2.049811941762495E7,837527.7756726742,678530.9221248627,884.6581758658091
30,2.6138049267272472E7,1065986.42959404,832364.0524597168,1306.8502838359939
31,1.689610898389244E7,693238.0162131786,559717.9638130665,744.5904937730895
32,2.5853630034539938E7,1058217.7885334492,936569.2414474487,676.9474545068211
33,2.922251522984743E7,1195218.3882894516,969359.6857364178,1255.0785385688146
34,2.22953938515718E7,914484.3258056641,699537.162883997,1196.2693219648465
35,1.915559510892701E7,782451.4312522411,714092.5771348476,380.6790076772371
36,1.164086250625348E7,476090.69678092,414428.0901207924,343.3714032371839
37,2.5881316770845175E7,1062223.1272678375,945131.596722126,652.1398571120369
38,1.4719016449320793E7,606419.530015707,489013.5427663326,653.0388395614094
39,2.28303125452528E7,939224.0525767803,849808.9269061089,501.17816589143536
40,2.91249767546525E7,1192087.7858810425,947101.8692541122,1363.346985199716
41,1.8298416344157696E7,747916.7869720459,597829.2482094765,836.1511289543578
42,1.7082303408191204E7,702131.4984986782,600453.6344692707,567.1234103308784
43,1.5851591925077438E7,649084.0638716221,550442.3691034317,548.6559590472117
44,1.9077103888076305E7,783080.1772127151,712208.588423729,396.22095861170027
45,2.1880085286387682E7,901725.4033958912,672604.209733963,1273.4299070146346
46,1.9260834938408136E7,789551.4660372734,600867.2535567284,1050.9165272050434
47,2.6346807101844072E7,1080550.5971829891,900461.0445461273,1001.7969940370986
48,1.993840715011978E7,814254.3681914806,659537.3085236549,865.224480589231
49,1.880091036697769E7,775088.3544647694,666000.4241051674,608.3951643784842
50,2.5601381658578396E7,1050911.9819319248,878324.5298523903,961.0798867848187
51,1.8081930393243074E7,739927.0349178314,639804.7611072063,556.8818921234872
52,1.8573244048752308E7,761944.0487523079,656541.2048244476,587.0885467542544
53,2.2290519731549263E7,909368.4983754158,747574.755620718,899.1252180775007
54,2.5988521164397478E7,1065494.4079532623,830013.0215666294,1309.8177747395305
55,2.5575218734976053E7,1044518.4264717102,844985.4761462212,1110.3865509814686
56,2.551654576649356E7,1043128.1658329964,849048.0063846111,1082.0934652474189
57,2.070981636663723E7,847260.9379940033,730341.017594099,652.9550322254499
58,2.5324888204256058E7,1037918.5506236553,839343.7250306606,1105.4502461645336
59,2.552203697800684E7,1047400.8827562332,802897.2593171597,1358.9563374797503
60,2.5296258092309237E7,1037381.4360218048,834345.781306982,1131.9771464904145
61,2.544666665763998E7,1043400.7162904739,939137.5359361172,580.106996603807
62,2.5086965675452232E7,1029084.7863225937,838624.3352508545,1062.29059289164
63,2.5257493057427883E7,1040620.4927592278,877074.6027107239,909.4694564249781
64,2.213667392324996E7,909625.1813285351,801849.521286726,601.0768071028922
65,2.539029509183407E7,1039388.3588218689,902756.0396080017,759.9517707281642
66,2.5633889747357607E7,1048443.7929286957,821982.1497983932,1260.9500987185372
67,2.5407523460726023E7,1041372.5853075981,926027.5330519676,642.4539719793534
68,2.439645782198167E7,995597.5962591171,918060.9960031509,432.2854546785354
69,2.517281693938923E7,1032980.6603047848,954592.6541061401,437.51595456997546
70,2.7235382351536512E7,1117417.7523345947,885069.9379746914,1291.3269468426704
71,2.5306909557593822E7,1036731.0247852802,876866.4432001114,888.8235942999523
72,2.5293050142343998E7,1033285.6432523727,819200.1640796661,1189.9121577064193
73,2.5322770869745016E7,1033790.6263084412,868544.618237257,919.4291330973307
74,2.5707220832494497E7,1053956.1238703728,913846.1522190571,778.9883306860926
75,2.5294885257570982E7,1033877.7229444981,895450.3511164188,771.1074553860558
76,2.5281984670761347E7,1035007.6121861935,912168.5596401691,682.8806317117479
77,2.5057835409169674E7,1026648.7545681,921099.4202113152,587.1077874634002
78,2.4704246752877235E7,1014840.9499309063,907325.6173961163,598.9430087831286
79,2.545138222460556E7,1041048.8614346981,859512.6808154583,1014.5247336268425
80,2.5180598283717394E7,1032770.9194719791,820522.4535701275,1180.8629350768194
81,2.516431119267726E7,1030447.9459385872,961081.1582639217,386.15767717361445
82,2.519737781215E7,1034200.3034417629,921652.947570324,625.2867723928558
83,2.523839061820531E7,1035251.7538509369,828586.9399418831,1150.5344022631643
84,2.6591612927111387E7,1087513.5509514809,911973.651061058,975.7371101405886
85,2.5109923785840034E7,1028513.5188601017,869528.1419918537,883.3217728575072
86,2.509437424749136E7,1026926.9110405445,941345.8897371292,475.6036779430177
87,2.5081271452637672E7,1027778.7400681973,938994.4314205647,495.8073277976778
88,2.4904301054994583E7,1023278.3637902737,917707.5306754112,587.5298683365188
89,2.489330603690362E7,1026319.6271893978,969364.7704226971,317.0246597713894
90,2.4871288160720825E7,1018444.0145163536,909634.3683393002,605.2445734461149
91,2.502742815094614E7,1026479.8825793266,847839.5107226372,993.4357367012237
92,2.4843724596081972E7,1018832.9585409164,879060.2185294628,777.5836870365673
93,2.5044027526406765E7,1027766.5265333652,928491.4209506512,558.7006354769071
94,2.5029645886028767E7,1027390.7162241936,803786.9638419151,1243.4708156413499
95,2.5574126883904457E7,1049099.2672531605,937558.2537147999,623.0808413041963
96,2.4955412888390303E7,1017398.3798241615,876035.8623325825,786.7530469722218
97,2.538388962704277E7,1038328.8852658272,851933.4480681419,1036.0791369530891
98,2.4928676969951153E7,1018717.329556942,908830.018607378,611.9654746810595
99,2.475296165957451E7,1015455.3422179222,848723.7792580128,928.4699782556958
100,2.494625841157341E7,1020990.2190198898,835492.5654056072,1032.8269328991573
