Resource utilization
Resource,Utilization %
Role 1,2
SYSTEM,0
Role 4,0
Role 6,0
Role 3,28
Role 2,47
Role 5,3

Individual task statistics
Name,Avg duration,Min duration,Max duration,Total duration,Avg waiting time,Min waiting time,Max waiting time,Total waiting time,Avg idle time,Min idle time,Max idle time,Total idle time,Avg cost,Min cost,Max cost,Total cost,Avg cost over thresh,Min cost over thresh,Max cost over thresh,Total cost over thresh,Avg duration over thresh,Min duration over thresh,Max duration over thresh,Total duration over thresh,Count,
Amend Purchase Requisition,1444.045806069433,13.354576110839844,6180.6626806259155,116967.71029162407,4.457116230034534,0.0,237.28797698020935,361.02641463279724,28783.703703703704,0.0,205320.0,2331480.0,19.994287358880534,0.1854802237616645,85.8425372309155,1619.5372760693233,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81
Amend Request for Quotation,633.4713069612735,0.0,1219.2648112773895,67781.42984485626,5.420141284710893,0.0,361.8715739250183,579.9551174640656,17843.551401869157,0.0,158460.0,1909260.0,8.72293285661892,0.0,16.934233489963745,933.3538156582244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,107
Analyze Purchase Requisition,398.03762358855147,240.1728549003601,535.7748746871948,72044.80986952782,0.0,0.0,0.0,0.0,6510.49723756906,0.0,154860.0,1178400.0,2.2113201310475072,1.3342936383353339,2.9765270815955267,400.2489437195988,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,181
Analyze Quotation Comparison Map,1240.9511320996285,394.71378350257874,2032.4213926792145,124095.11320996284,0.0,0.0,0.0,0.0,27276.0,0.0,158460.0,2727600.0,17.235432390272614,5.48213588198026,28.228074898322422,1723.5432390272615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Analyze Request for Quotation,32585.799471772236,639.6579575538635,175056.71310567856,6745260.490656853,31194.179553618178,0.0,173553.57107162476,6457195.167598963,760466.3768115942,0.0,4060140.0,1.5741654E8,7.736397983467331,0.0,15.125291593869527,1601.4343825777376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,207
Approve Purchase Order for payment,34767.464754269124,60.0,175536.90736460686,3476746.4754269123,34707.464754269124,0.0,175476.90736460686,3470746.4754269123,813037.2,0.0,4063800.0,8.130372E7,0.3333333333333329,0.3333333333333333,0.3333333333333333,33.33333333333329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Authorize Supplier's Invoice payment,1037.793635008335,0.0,8296.716395139694,103779.36350083351,1037.793635008335,0.0,8296.716395139694,103779.36350083351,20247.0,0.0,205320.0,2024700.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Choose best option,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Create Purchase Order,88655.48938611269,381.3359966278076,181302.01991391182,8865548.938611269,88077.24053319455,0.0,180903.59192872047,8807724.053319454,2079315.6,0.0,4265460.0,2.0793156E8,3.2124936273230458,2.0362790452109443,4.329009444183773,321.2493627323046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Create Purchase Requisition,2021.9766383814813,335.83798336982727,3658.3887434005737,202197.66383814812,21.764926228523255,0.0,762.5038385391235,2176.4926228523254,60378.763102948666,33.44600224494934,158116.7679257393,6037876.310294867,27.780718224346625,4.664416435692045,47.44969233208232,2778.0718224346624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Create Quotation comparison Map,85566.9476411867,5160.107962369919,193511.5249388218,8556694.764118671,74706.07868958235,0.0,180009.7973535061,7470607.868958235,2007729.0,43260.0,4546440.0,2.007729E8,60.33816084224645,12.727332629097832,120.22254000239901,6033.816084224645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Create Request for Quotation,308.6861273741722,15.995809078216553,1081.714975118637,30868.61273741722,0.0,0.0,0.0,0.0,6088.2,0.0,158460.0,608820.0,3.429845859713023,0.1777312119801839,12.019055279095967,342.9845859713023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Deliver Goods Services,296861.1011937046,15502.86597275734,672443.0220134258,2.968611011937046E7,198567.9090800762,0.0,541099.6482219696,1.985679090800762E7,6935643.0,255840.0,1.56642E7,6.935643E8,546.0732895201577,86.12703318198523,978.8587568574482,54607.32895201576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
EVENT 1 START,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
EVENT 2 END,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
End,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
GATEWAY 25 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,207
GATEWAY 26 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,207
GATEWAY 27 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
GATEWAY 28 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
GATEWAY 29 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,181
GATEWAY 30 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,181
Pay Invoice,2264.789979250431,283.0835032463074,9170.28725028038,226478.9979250431,1652.283549220562,0.0,8314.222104787827,165228.3549220562,43668.6,0.0,248580.0,4366860.0,3.4028135001659403,1.4627961887253655,4.994230013423496,340.28135001659405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Release Purchase Order,60.0,60.0,60.0,6000.0,0.0,0.0,0.0,0.0,1585.2,0.0,154860.0,158520.0,0.833333333333333,0.8333333333333334,0.8333333333333334,83.3333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Release Supplier's Invoice,440.425999417305,122.37688851356506,1127.832216501236,44042.5999417305,175.2727368092537,0.0,745.2642843723297,17527.27368092537,3710.4,0.0,154860.0,371040.0,1.4730736811558407,0.6798716028531392,2.306997685962253,147.30736811558407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Send Invoice,219167.75288434981,0.0,542594.1365802288,2.1916775288434982E7,219167.75288434981,0.0,542594.1365802288,2.1916775288434982E7,5171063.4,0.0,1.275678E7,5.1710634E8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Send Request for Quotation to Supplier,52229.71525207758,1020.4493491649628,179462.92756295204,5222971.525207758,50736.81176190138,0.0,178143.65636634827,5073681.176190138,1212065.4,0.0,4135860.0,1.2120654E8,8.293908278756675,3.4175223138597275,12.806335145897336,829.3908278756675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Settle Conditions With Supplier,132977.64150069712,20515.11239552498,229097.75506687164,1.3297764150069714E7,99960.6308442545,0.0,179986.21601581573,9996063.08442545,3119996.4,425160.0,5378640.0,3.1199964E8,183.4278369802369,80.35339352819655,282.7749752468533,18342.78369802369,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Settle Dispute With Supplier,11731.949421495861,688.5824563503265,54048.655308008194,527937.7239673138,1062.953612889184,0.0,7511.14070558548,47832.912580013275,248189.33333333334,0.0,1314900.0,1.116852E7,59.27219893670377,0.06594512197706434,300.27030726671217,2667.2489521516695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45
Start,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100

Scenario statistics
KPI,Min,Average,Max
Process Cycle Time (s),4530536.413383961,2.423474538103134E7,3.202863488404584E7
Process Cycle Time excluding out of timetable hours (s),189718.0617568493,992899.2179283953,1311194.3968362808
Process Waiting Time (s),96848.31210231781,833870.6940120053,1086380.6344285011
Accumulated Process Duration (s),4530536.413383961,2.4234746820873186E7,3.202863488404584E7
Cost,442.56865962942436,928.0524732728071,1561.8349386274813


Process Cycle Time (s) distribution
From,To,Count
4530536,7280345,2
7280346,10030155,5
10030156,12779965,5
12779966,15529775,5
15529776,18279585,1
18279586,21029395,5
21029396,23779205,4
23779206,26529015,4
26529016,29278825,65
29278826,32028635,4

Process Waiting Time (s) distribution
From,To,Count
96848,195801,2
195802,294755,8
294756,393709,2
393710,492663,6
492664,591617,1
591618,690571,3
690572,789525,4
789526,888479,7
888480,987433,34
987434,1086387,33

Accumulated Process Duration (s) distribution
From,To,Count
4530536,7280345,2
7280346,10030155,5
10030156,12779965,5
12779966,15529775,5
15529776,18279585,1
18279586,21029395,5
21029396,23779205,4
23779206,26529015,4
26529016,29278825,65
29278826,32028635,4

Process Cost distribution
From,To,Count
442,553,9
554,665,11
666,777,12
778,889,12
890,1001,12
1002,1113,15
1114,1225,17
1226,1337,11
1338,1449,0
1450,1561,1

In-timetable Cycle time (s) distribution
From,To,Count
189718,301865,2
301866,414013,5
414014,526161,5
526162,638309,5
638310,750457,1
750458,862605,5
862606,974753,4
974754,1086901,4
1086902,1199049,65
1199050,1311197,4



Details
Instance #,Cycle time (s),Cycle time in time table only (s),Waiting time (s),Cost
1,1.0399658115866423E7,430237.11586642265,211705.81500697136,1246.900281367037
2,9384157.258978367,387093.2587571144,198883.95116829872,1081.343540082375
3,4844266.9418513775,198699.3160059452,96848.31210231781,590.3745830350454
4,9743837.516322136,396527.70597076416,204159.82160782814,1110.860327749782
5,1.4570763158890963E7,597327.6133470535,489648.01930975914,663.9764664285714
6,9111771.995524168,372586.42727684975,215188.51161122322,913.3100379400784
7,4530536.413383961,189718.0617568493,109457.57979941368,484.89166509972677
8,9687918.962346554,396792.7448284626,204391.19624114037,1103.5291545304985
9,1.0286049102395296E7,422049.1023952961,237701.7026143074,1068.43380162451
10,2.418248806971121E7,988221.3433325291,844706.3886988163,899.6964687605702
11,1.4486270112669945E7,589909.2346935272,456433.004185915,768.3208144711124
12,1.4472228702601194E7,589937.2726957798,434269.5502779484,892.9070743468073
13,1.3249418039452553E7,541170.4961428642,328892.7397994995,1218.2072434763113
14,2.9128827992526054E7,1191859.4210145473,1084207.0605106354,661.2288919561439
15,1.503309114934802E7,612710.6059150696,468629.680216074,858.7950827903218
16,2.8753558414154053E7,1176050.3344507217,1074118.2043719292,619.1901719384723
17,1.2585777459373474E7,513470.61426210403,452055.7668530941,442.56865962942436
18,1.0928621203174114E7,448267.78650283813,237292.0334637165,1195.048408587111
19,2.8712817801106215E7,1177252.7067127228,1060493.1064164639,716.9032603952621
20,9736566.57212615,400956.22278380394,282784.3480768204,681.5347738034196
21,2.8686375877638817E7,1176855.8776388168,957197.81316185,1283.2099037892285
22,1.9095854938839436E7,781810.5148532391,584112.3138928413,1126.6951935430366
23,1.553512302593708E7,639468.4838030338,445016.3290231228,1118.0471306615405
24,1.0891612148017168E7,448426.8680691719,370037.6911776066,493.3954498330752
25,1.8740339767682314E7,767350.6104886532,661317.7896003723,677.8374183886581
26,2.9566462534314632E7,1210373.8266282082,994790.6642451286,1244.0533874577948
27,2.859901636044669E7,1168449.020888567,1026581.0924770832,837.3676293313504
28,3.0502613025229454E7,1248800.3905603886,1086380.6344285011,965.6595401234098
29,2.770894912457037E7,1131412.3929679394,917630.0979940891,1227.4216623312896
30,3.202863488404584E7,1311194.3968362808,1085096.966285944,1311.2683867288958
31,1.9472857166849136E7,794916.254101038,663945.8134801388,752.0489617407322
32,2.837244586309123E7,1163036.718720913,936853.950476408,1290.8280548261268
33,2.851659050139618E7,1166259.4818952084,1021577.5773048401,846.3498862293033
34,2.8502752419418097E7,1166396.8355333805,1007028.834584713,927.244791033533
35,2.3490388324790716E7,963033.6983101368,881733.1341025829,481.1362443817986
36,2.402831251318121E7,985411.9966948032,866173.1726386547,702.1229082928764
37,2.138629084273362E7,879210.5273003578,801016.3704509735,480.0089821358522
38,2.3449650107332706E7,964270.9288063049,766747.2652683258,1129.0355704870485
39,2.6963351382936E7,1105540.4363713264,981751.5073194504,729.0979794091649
40,2.8261104699343204E7,1159972.9863636494,1067257.0878651142,590.1270829955738
41,2.8247901979206324E7,1160795.2429549694,939496.415980339,1251.5801433894367
42,2.8493098317582846E7,1167881.0828428268,938105.0060522556,1307.0067160858046
43,2.8162822329766512E7,1154130.9277045727,932804.8060510159,1251.4021623730657
44,2.1288381430927992E7,875652.4596810341,763081.2630207539,677.7039277772109
45,2.8137732961118937E7,1157006.886521101,963985.0577638149,1106.2677758766545
46,2.4891294159302235E7,1026369.48579669,814590.7128221989,1243.9435029579533
47,2.8320618890518665E7,1159010.6166591644,994149.6915118694,946.2830045315956
48,2.391492210546708E7,982344.9124257565,777953.9675028324,1167.0141550057463
49,2.807969571148157E7,1151369.285934925,999788.4313409328,861.9641834855081
50,1.8777288663466215E7,768636.3071095943,684269.6699988842,493.2601677404508
51,2.8264044721787214E7,1158384.2320256233,1014454.2294876575,847.1630044672225
52,2.825121055479312E7,1159557.1087908745,980784.8201677799,1036.6121388117472
53,2.8236029045248747E7,1151316.1845285892,928608.9553771019,1295.0243044416109
54,2.806335510888648E7,1147546.2708656788,983051.8398566246,947.1669599036376
55,2.673909632230997E7,1091064.2779741287,878260.1820209026,1210.0540658573307
56,2.776791962946248E7,1135978.746670723,923585.1013309956,1215.6217495467927
57,2.006101865667343E7,821194.173001051,738129.3469874859,487.671250489023
58,2.8167604244102478E7,1152937.830256939,950591.4561774731,1199.1005010055171
59,2.8153369576033592E7,1152722.1040475368,1046576.5294077396,627.2736317495506
60,2.874399139473319E7,1177344.0276978016,1073158.5212073326,623.9584175374774
61,2.7913370462234735E7,1146113.1451673508,953762.4497339725,1097.7327153596611
62,2.8111212209822655E7,1152557.8661723137,949575.080378294,1171.0347403221658
63,2.7940088922230005E7,1150209.051509142,1041466.7653417587,691.4006990770499
64,2.8475007511512756E7,1169611.1726145744,1004005.8327748775,944.8180712733005
65,2.6599543945185184E7,1087915.298027277,887648.5345606804,1160.4159048636752
66,2.7896052219086885E7,1144626.292634964,934611.3227260113,1188.7194393396376
67,2.7614313187476635E7,1132674.528302431,1000234.6488192081,817.1379197782941
68,2.802600282599044E7,1144157.747416973,1003048.6560328007,816.9086951918073
69,2.8801201109667778E7,1180343.3239078522,1062140.53115201,710.0861205392415
70,2.79983996236279E7,1144560.7245371342,1009317.2620882988,792.8051334407594
71,2.78281387917459E7,1143151.4636700153,953054.7546169758,1116.0158497611678
72,2.7712843293741703E7,1132050.538777113,933603.854562521,1147.698003462288
73,2.8746694292132378E7,1178319.479148388,982055.6810250282,1135.6532937486963
74,2.7942900104700804E7,1141538.5663659573,1039235.1180753708,626.7849527524578
75,2.7715620722157717E7,1133575.240447998,953173.598941803,1017.4226291093562
76,2.7701930230244637E7,1133884.405518055,930199.0331802368,1170.2630017393162
77,2.7900719693728685E7,1141414.026536703,950118.4383120537,1103.3444663008054
78,2.746023804981184E7,1125553.1822667122,1045716.58081007,484.5046848098437
79,2.8057707116919994E7,1153402.7874147892,985760.4824807644,965.5096483906111
80,2.8250684464072943E7,1158660.9955010414,1041074.7294797897,690.4924941096042
81,2.7844092804730415E7,1140782.9469337463,939561.0176599026,1167.6148569623629
82,2.761825014507723E7,1134232.3290464878,957406.5472979546,1075.2781135472987
83,2.7815708061610222E7,1136827.0719873905,950274.5019629002,1073.065828929345
84,2.780156041026807E7,1136640.6354672909,1038869.815805912,624.3125988973512
85,2.7576933370036602E7,1131366.4800534248,970167.9891312122,932.6769139945508
86,2.761634508331752E7,1134371.4497339725,974248.4122021198,927.3472732537323
87,2.7759743293806553E7,1136892.8812146187,994656.6762592793,820.7245249450207
88,2.7534153217291355E7,1130675.5530748367,1026177.9307718277,588.7823967761465
89,2.807685427150607E7,1150629.1970887184,984181.6393296719,961.6989622460472
90,2.771931339503026E7,1135653.39503026,1015517.8226082325,727.627624577284
91,2.7704705101460934E7,1134378.0602302551,996926.9742584229,815.0148252851435
92,2.76905969927423E7,1134192.8898992538,1046135.9045374393,524.2432720979054
93,2.9492078060361147E7,1209594.9572873116,936335.6850402355,1561.8349386274813
94,2.750414638237238E7,1130536.0206747055,898606.4986166954,1323.2890711115465
95,2.9034276375632286E7,1190411.1343066692,1023754.4787404537,983.6771902117466
96,2.7634191285544395E7,1126594.5176186562,915864.6534836292,1200.922203115622
97,2.7720166971235752E7,1129312.459982872,1031057.772247076,565.8292794982593
98,2.744805022962904E7,1123323.422948122,951123.3600256443,1026.1338698069255
99,2.7433707871293068E7,1122960.6276414394,945841.9503302574,1022.0825808836356
100,2.7368249711632013E7,1121954.1316504478,991017.5136232376,807.2939043773546
