Resource utilization
Resource,Utilization %
SYSTEM,0
Role 4,0
Role 6,0
Role 3,32
Role 2,51
Role 5,4

Individual task statistics
Name,Avg duration,Min duration,Max duration,Total duration,Avg waiting time,Min waiting time,Max waiting time,Total waiting time,Avg idle time,Min idle time,Max idle time,Total idle time,Avg cost,Min cost,Max cost,Total cost,Avg cost over thresh,Min cost over thresh,Max cost over thresh,Total cost over thresh,Avg duration over thresh,Min duration over thresh,Max duration over thresh,Total duration over thresh,Count,
Amend Purchase Requisition,2028.8913701350295,55.77259182929993,8113.890018224716,257669.20400714874,206.51437217982735,0.0,1782.941470861435,26227.325266838074,42667.086614173226,0.0,172980.0,5418720.0,10.124316655306679,0.07043741676542493,45.07716676791509,1285.788215223948,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,127
Amend Request for Quotation,1969.8812361982737,125.61515736579895,58956.95421719551,173349.54878544807,1378.903610253876,0.0,58708.60089659691,121343.51770234108,46465.90909090909,0.0,1235760.0,4089000.0,3.2832090330244337,0.6978619853655498,6.52967488500807,288.92239490615015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88
Analyze Purchase Requisition,390.0123053164209,240.81339240074158,536.8980684280396,88532.79330682755,0.0,0.0,0.0,0.0,5381.762114537445,0.0,158460.0,1221660.0,2.16673502953567,1.3378521800041199,2.982767046822442,491.8488517045971,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,227
Analyze Quotation Comparison Map,36481.76606081247,364.36924386024475,364040.5760290623,3648176.6060812473,35299.60393581629,0.0,363576.20493006706,3529960.393581629,843338.4,0.0,8530980.0,8.433384E7,6.5675673610899175,2.0242735770013596,11.236798405647278,656.7567361089917,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Analyze Request for Quotation,42583.44094295578,248.82655692100525,142614.2735774517,8005686.897275686,41169.35288743263,0.0,140948.25699615479,7739838.342837334,999147.4468085107,0.0,3404400.0,1.8783972E8,7.856044752906402,0.3681332574950324,16.19227261410819,1476.9364135464036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,188
Approve Purchase Order for payment,29520.822940700054,60.0,147738.9145462513,2952082.2940700054,29460.822940700054,0.0,147678.9145462513,2946082.2940700054,698469.0,0.0,3480120.0,6.98469E7,0.3333333333333329,0.3333333333333333,0.3333333333333333,33.33333333333329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Authorize Supplier's Invoice payment,361.8973057436943,0.0,4070.483257293701,36189.73057436943,361.8973057436943,0.0,4070.483257293701,36189.73057436943,16675.8,0.0,154860.0,1667580.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Choose best option,25140.09225126505,0.0,358521.48250317574,2514009.225126505,25140.09225126505,0.0,358521.48250317574,2514009.225126505,582725.4,0.0,8325660.0,5.827254E7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Create Purchase Order,71196.380588243,406.89248061180115,153457.1310789585,7119638.058824301,70624.64188275099,0.0,152983.6486799717,7062464.188275099,1675458.6,0.0,3577380.0,1.6754586E8,3.1763261416223303,2.0043128609657286,4.324769581688775,317.63261416223304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Create Purchase Requisition,2193.0058099317553,342.93106269836426,4771.000928878784,219300.5809931755,315.11659455537796,0.0,1563.8333053588867,31511.659455537796,66262.60848454713,0.0,157523.67476582527,6626260.848454714,10.432717863202093,1.9051725705464682,18.257770284016928,1043.2717863202092,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Create Quotation comparison Map,86733.63128189802,3108.898468732834,165165.00175905228,8673363.128189802,74910.76400973796,0.0,152503.86725711823,7491076.400973797,2035903.8,50460.0,3854820.0,2.0359038E8,65.68259595644473,14.320915977160135,119.69224159452651,6568.259595644473,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Create Request for Quotation,322.83150144577024,11.703903913497925,1656.2049479484558,32283.150144577026,0.0,0.0,0.0,0.0,4506.6,0.0,154860.0,450660.0,3.5870166827307797,0.1300433768166436,18.402277199427285,358.701668273078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Deliver Goods Services,203518.39717476128,15520.363110303879,520812.96093153954,2.035183971747613E7,106410.99124084234,0.0,361132.6873061657,1.0641099124084234E7,4756852.8,327900.0,1.218042E7,4.7568528E8,539.4855885217722,86.22423950168822,971.7944777581426,53948.55885217722,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
EVENT 1 START,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
EVENT 2 END,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
End,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
GATEWAY 25 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,188
GATEWAY 26 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,188
GATEWAY 27 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
GATEWAY 28 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
GATEWAY 29 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,227
GATEWAY 30 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,227
Pay Invoice,1034.2461864638328,245.7758824825287,4483.291168451309,103424.61864638329,473.18854743242264,0.0,4053.9980165958405,47318.854743242264,31698.0,0.0,252120.0,3169800.0,3.116986883507836,1.3547566519843208,4.9455266329977245,311.6986883507836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Release Purchase Order,103524.17809465886,60.0,367353.07748556137,1.0352417809465885E7,103464.17809465886,0.0,367293.07748556137,1.0346417809465885E7,2405544.0,0.0,8649840.0,2.405544E8,0.3333333333333329,0.3333333333333333,0.3333333333333333,33.33333333333329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Release Supplier's Invoice,311.5411394500732,120.74366688728333,715.5338516235352,31154.113945007324,49.67578019618988,0.0,406.73077058792114,4967.578019618988,4467.0,0.0,158460.0,446700.0,1.4548075514104633,0.6691545526186625,2.3008071409331428,145.48075514104633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Send Invoice,57717.858772802356,0.0,359498.32588529587,5771785.877280235,57717.858772802356,0.0,359498.32588529587,5771785.877280235,1345721.4,0.0,8325660.0,1.3457214E8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Send Request for Quotation to Supplier,58408.17971084833,1045.2607598304749,154884.03560113907,5840817.971084833,56985.18025268793,0.0,154175.8526775837,5698518.025268793,1364634.0,0.0,3555840.0,1.364634E8,7.905552545335554,2.3099406176143225,12.459457908736335,790.5552545335554,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Settle Conditions With Supplier,112813.85458989143,14984.471899747849,192835.31997942924,1.1281385458989143E7,78390.90071441651,0.0,153149.3395447731,7839090.07144165,2647159.8,374640.0,4636500.0,2.6471598E8,191.23863264152743,80.35303628577127,290.3909368620979,19123.863264152744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Settle Dispute With Supplier,10116.603075204072,449.0039322376251,47473.71470475197,546296.5660610199,307.6592646174961,0.0,3840.68314576149,16613.600289344788,257312.22222222222,0.0,1160040.0,1.389486E7,54.494132281036535,2.041460961765713,263.7428594708443,2942.683143175973,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54
Start,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100

Scenario statistics
KPI,Min,Average,Max
Process Cycle Time (s),6401296.738709927,2.1484050841987826E7,2.9845203010228157E7
Process Cycle Time excluding out of timetable hours (s),267881.4835188389,879994.0335032773,1221612.6181955338
Process Waiting Time (s),103809.7878973484,718645.1401845646,989837.0075211525
Accumulated Process Duration (s),6401296.738709927,2.1484050841987826E7,2.9845203010228157E7
Cost,376.25660056538044,898.17624900088,1576.5383320040169


Process Cycle Time (s) distribution
From,To,Count
6401296,8745686,8
8745687,11090077,4
11090078,13434468,7
13434469,15778859,0
15778860,18123250,4
18123251,20467641,5
20467642,22812032,2
22812033,25156423,48
25156424,27500814,17
27500815,29845205,5

Process Waiting Time (s) distribution
From,To,Count
103809,192411,5
192412,281014,5
281015,369617,5
369618,458220,4
458221,546823,2
546824,635426,4
635427,724029,5
724030,812632,20
812633,901235,33
901236,989838,17

Accumulated Process Duration (s) distribution
From,To,Count
6401296,8745686,8
8745687,11090077,4
11090078,13434468,7
13434469,15778859,0
15778860,18123250,4
18123251,20467641,5
20467642,22812032,2
22812033,25156423,48
25156424,27500814,17
27500815,29845205,5

Process Cost distribution
From,To,Count
376,496,8
497,617,10
618,738,11
739,859,15
860,980,17
981,1101,17
1102,1222,11
1223,1343,5
1344,1464,4
1465,1585,2

In-timetable Cycle time (s) distribution
From,To,Count
267881,363254,10
363255,458628,2
458629,554002,7
554003,649376,0
649377,744750,4
744751,840124,5
840125,935498,1
935499,1030872,49
1030873,1126246,17
1126247,1221620,5



Details
Instance #,Cycle time (s),Cycle time in time table only (s),Waiting time (s),Cost
1,6429416.806979179,267955.8069791794,119184.97442173958,827.372313782904
2,8227938.185458422,340407.7134616375,206636.0640554428,745.0619942373701
3,6401296.738709927,267881.4835188389,103809.7878973484,913.0801188495425
4,1.8817811841822863E7,770281.8256590366,617457.8540256023,850.5086176355679
5,1.2579332488149881E7,515293.01114559174,283667.4439780712,1287.4941978295644
6,8723980.141224146,359452.4060471058,191431.56627130508,935.3656706571579
7,8762606.67475319,361687.9992194176,269699.24602770805,515.1879555821419
8,8145783.736379862,338877.21028113365,200380.64203763008,769.9154625627731
9,8634738.973033428,352338.9730334282,184788.59307265282,934.8164751119083
10,7512275.135174751,306237.7424888611,181216.9191007614,694.8807956258456
11,8866016.058388472,359125.072650671,271462.1825993061,487.5234640439351
12,1.1060687847888947E7,453082.0168788433,334007.3915989399,662.6047262390455
13,2.676882915253997E7,1094669.8180053234,857748.0464193821,1319.8615349120564
14,1.1589457391929388E7,473015.3443143368,325503.31665182114,820.1838786151676
15,1.080093571163392E7,440606.26833605766,290349.28807091713,835.3201527383593
16,2.469910036833E7,1012240.8592209816,866303.4671871662,811.4075676573648
17,2.460695486891222E7,1006242.8288755417,763726.5177564621,1348.0248996032608
18,1.1579575249910831E7,475930.59729886055,352533.2770895958,687.0857333911791
19,2.465373338827896E7,1009007.2665672302,766862.1058092117,1347.8609418564372
20,2.343998091249013E7,965650.0756030083,732722.891258955,1295.5931318389041
21,8726406.295300484,357546.2953004837,275977.97607564926,454.7442139877213
22,2.2805882174893618E7,936086.1122090816,662732.9702765942,1520.036702688535
23,1.3107849109600067E7,536069.1922414303,387053.86439943314,830.7246059510444
24,2.0357778836943865E7,836064.0686180592,647458.8344774246,1049.5037264850405
25,1.3249924289309978E7,540420.3132872581,371002.19973039627,943.2961258676318
26,1.696662492328286E7,697288.0184459686,515988.15573477745,1008.5956683675448
27,2.0922757982906103E7,859481.2806808949,685943.7621321678,965.3977198190162
28,1.3037597449782372E7,532305.1298851967,441755.5509967804,505.1714440306028
29,1.6577320576619864E7,674420.0146946907,530311.2777767181,800.8825608054798
30,2.3299348489547014E7,954459.30899477,833586.7406318188,672.7082256343632
31,2.4412042178050995E7,996937.0660142899,904899.1878721714,515.0281751500236
32,1.3151957846994638E7,537011.0483720303,451763.9784152508,474.86778127484854
33,2.0232089604476213E7,829301.015152216,640807.3917982578,1051.5308253619407
34,2.6261199458992958E7,1075763.0195374489,884311.9466617107,1065.2179221100275
35,2.4356817698297262E7,997517.5615749359,818634.8671276569,996.4629779179891
36,2.019012451666093E7,829165.7609908581,634587.0918283463,1081.6571089333956
37,2.9845203010228157E7,1221612.6181955338,985387.2787725925,1317.45606509712
38,2.4558619031201124E7,1007098.7470963001,834286.180577755,960.1529548539057
39,2.430015634353304E7,996845.7353918552,877342.982131958,664.6803702142504
40,2.513458919373727E7,1027560.7593278885,835926.6534230709,1064.8104769256377
41,1.7965854049155235E7,739424.1688680649,596265.7863497734,797.3914746748078
42,2.415560211585903E7,988080.5728986263,797499.8296010494,1062.1222480071913
43,2.4141965756750822E7,988507.6247317791,831122.6119570732,876.3933524992732
44,2.452023210983038E7,1006031.6067740917,789786.8660364151,1202.977810148398
45,1.6093578490566492E7,663259.6801555157,585805.3592150211,432.47462429867846
46,2.2889663412786007E7,938277.831638813,755422.3959581852,1017.3047545658219
47,2.418830221416402E7,990140.5880715847,846016.4806358814,803.6373938812151
48,2.002211084926057E7,822350.1240680218,738801.4538259506,466.17431393729316
49,2.4233502342029333E7,991267.6789064407,874016.0418725014,653.9467529098192
50,2.404359240235257E7,984681.7206645012,765502.7657868862,1218.2983704911337
51,2.6019979105723143E7,1065719.0524539948,967355.1134326458,548.4830898894205
52,2.7039052949724197E7,1107472.9497241974,933401.4027802944,971.0418019837805
53,2.9547518638480663E7,1206085.4672107697,989837.0075211525,1202.370576569769
54,2.3988761422277212E7,978772.8544569016,766348.9532880783,1183.1249183615048
55,2.4073865189897776E7,980591.6849005222,868320.0500051975,623.8441607806419
56,2.414371176361823E7,988726.1389989853,772103.0271282196,1206.350824259387
57,2.4132117046082497E7,991115.2685489655,891417.0109817982,563.0803473061985
58,2.411471480706072E7,987691.8837299347,869876.3418905735,654.7635959823928
59,2.4020582363205433E7,983337.2371516228,819878.2785849571,908.466434360875
60,2.4686087783988714E7,1010804.759526968,942052.9745676517,382.4709515227211
61,2.3991521265482903E7,982370.9159002304,793758.8858654499,1048.7622239364516
62,2.586612096872163E7,1058852.25764966,813501.9681482315,1368.2684792028533
63,2.3964570565012217E7,983349.8752777576,836957.1261053085,814.976898666223
64,2.5838522535097837E7,1059154.6774847507,961103.316577673,544.8829825652971
65,2.3834639595971584E7,975071.94028759,814725.6591985226,892.4983860320515
66,2.460261648683548E7,1007707.007042408,851579.1644890308,869.3110790265932
67,2.5016189465417862E7,1024626.1997556686,902341.2880544662,680.0333466211956
68,2.5998601506921053E7,1062751.5048253536,913841.0133361816,827.8311936736108
69,2.4560637508372784E7,1004248.8200178146,882922.50527668,676.0223929299249
70,2.567849413905692E7,1048050.1329319477,867686.8808882236,1004.0437737928496
71,2.409815371663165E7,987588.6587893963,748841.115767479,1327.2479995237452
72,2.383671148248434E7,970732.6555287838,773904.0209138393,1096.5194324877527
73,2.382334774143386E7,971321.6227483749,785363.6461350918,1035.0581856621636
74,2.570731256695819E7,1053447.6579999924,883466.6174881458,944.9622968607479
75,2.8717135366722345E7,1177235.7042236328,979736.930557251,1102.725974485609
76,2.3857153341026783E7,975099.506311655,833247.617071867,789.1626773582565
77,2.444848974832201E7,1000344.7231554985,904870.1606707573,532.0982290373909
78,2.5642460613920927E7,1048290.3517282009,945181.1674222946,574.7037270598943
79,2.3823427456183434E7,979560.6139304638,770807.9600121975,1160.412901254495
80,2.43293880400095E7,995297.6315171719,897850.2351675034,543.2390371203422
81,2.3787783109462976E7,975692.5054898262,806709.6805143356,942.8866908854909
82,2.369932986620164E7,973384.1267786026,792422.0065598488,1006.807894759708
83,2.9202897697982073E7,1195123.3372256756,978441.2807033062,1205.795098668999
84,2.4520586686771393E7,1004842.7834563255,721212.6146757603,1576.5383320040169
85,2.636654066253662E7,1081413.020320177,930047.5518152714,843.3856231504018
86,2.4491848963022947E7,1004033.3258883953,822825.5836033821,1006.7747010495929
87,2.552524622817278E7,1049957.3039462566,886649.8187077045,908.1255935615964
88,2.5774571597481012E7,1061144.0188529491,902325.3340814114,884.9194763872359
89,2.3498902226130962E7,964790.3545107841,800944.9330539703,912.6891562408872
90,2.5690732278100967E7,1052452.2781009674,841598.9769723415,1173.691581861178
91,2.3572907764126062E7,965901.4177722931,852941.9901692867,628.6647481481236
92,2.5719042217670918E7,1058050.8981029987,867026.2871489525,1064.2299546255003
93,2.3443779949266672E7,962025.8590404987,859471.0783987045,570.9800408098433
94,2.4210412372950315E7,993279.9298372269,792658.4150621891,1116.5459713538487
95,2.3514303997076273E7,963234.7212429047,895726.0192222595,376.25660056538044
96,2.5390868738625526E7,1034625.0638597012,847812.8901228905,1038.004706992043
97,2.719213548690176E7,1109841.5105557442,947793.2759382725,901.715408817927
98,2.9765871733229637E7,1215332.7071435452,960873.4393241405,1414.0473000804582
99,2.345937614146304E7,957219.7525510788,879544.5529255867,433.20004329548937
100,2.412691687586522E7,986679.6994688511,775720.7927207947,1172.8116788559487
