Resource utilization
Resource,Utilization %
Role 1,1
SYSTEM,0
Role 4,0
Role 6,0
Role 3,31
Role 2,48
Role 5,3

Individual task statistics
Name,Avg duration,Min duration,Max duration,Total duration,Avg waiting time,Min waiting time,Max waiting time,Total waiting time,Avg idle time,Min idle time,Max idle time,Total idle time,Avg cost,Min cost,Max cost,Total cost,Avg cost over thresh,Min cost over thresh,Max cost over thresh,Total cost over thresh,Avg duration over thresh,Min duration over thresh,Max duration over thresh,Total duration over thresh,Count,
Amend Purchase Requisition,1963.5383564906545,12.542496919631958,8601.656409978867,198317.3740055561,0.0,0.0,0.0,0.0,37281.38613861386,0.0,252120.0,3765420.0,10.90854642494808,0.06968053844239977,47.78698005543815,1101.763188919756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101
Amend Request for Quotation,619.0771724079784,157.22694516181946,1174.104743719101,47049.86510300636,0.0,0.0,0.0,0.0,20238.947368421053,0.0,158460.0,1538160.0,3.439317624488771,0.8734830286767747,6.522804131772783,261.3881394611466,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76
Analyze Purchase Requisition,401.31043524291385,240.1426272392273,539.0711169242859,80663.39748382568,0.0,0.0,0.0,0.0,5933.731343283582,0.0,158460.0,1192680.0,2.2295024180161866,1.334125706884596,2.994839538468255,448.12998602125356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,201
Analyze Quotation Comparison Map,1104.2466705822944,365.99185156822205,2032.533064365387,110424.66705822945,0.0,0.0,0.0,0.0,23993.4,0.0,158460.0,2399340.0,6.134703725457192,2.0332880642679,11.291850357585483,613.4703725457192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Analyze Request for Quotation,38619.11984493516,654.1640148162842,165566.9489824772,6796965.092708588,37296.693704534664,0.0,164756.1135313511,6564218.0919981,899980.2272727273,0.0,3898020.0,1.5839652E8,7.3468118911138705,0.8417354398303561,15.705370468563503,1293.0388928360412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,176
Approve Purchase Order for payment,41554.77355602264,60.0,185649.46524906158,4155477.3556022644,41494.77355602264,0.0,185589.46524906158,4149477.3556022644,981670.8,0.0,4337580.0,9.816708E7,0.3333333333333329,0.3333333333333333,0.3333333333333333,33.33333333333329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Authorize Supplier's Invoice payment,678.457926979065,0.0,5239.560356140137,67845.7926979065,678.457926979065,0.0,5239.560356140137,67845.7926979065,13077.6,0.0,154860.0,1307760.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Choose best option,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Create Purchase Order,80235.03091383219,446.12988090515137,182150.05472016335,8023503.091383219,79678.00366755009,0.0,181481.07525205612,7967800.366755009,1884481.8,0.0,4153860.0,1.8844818E8,3.0945958126783357,2.010255756643083,4.330421405368381,309.4595812678336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Create Purchase Requisition,1902.1341094183922,383.8350739479065,3389.067172050476,190213.41094183922,0.0,0.0,0.0,0.0,59479.31367706061,0.0,158460.0,5947931.36770606,10.567411718991067,2.1324170774883693,18.828150955835977,1056.7411718991068,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Create Quotation comparison Map,87426.19599215507,8041.669150352478,188569.42892575264,8742619.599215508,76314.79857354403,0.0,178953.00162696838,7631479.857354403,2050924.2,205380.0,4434780.0,2.0509242E8,61.729985658950255,12.994087798065609,119.8395305024253,6172.998565895025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Create Request for Quotation,386.6814004802704,23.96882152557373,1160.0757665634155,38668.14004802704,0.0,0.0,0.0,0.0,10627.8,0.0,158460.0,1062780.0,4.296460005336338,0.26632023917304143,12.889730739593507,429.6460005336338,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Deliver Goods Services,220910.54962727785,25851.68648290634,558140.1215622425,2.2091054962727785E7,128410.0840854907,0.0,425284.5500869751,1.284100840854907E7,5161429.2,580020.0,1.301628E7,5.1614292E8,513.8914752321506,84.92541213168039,976.6595518456566,51389.14752321506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
EVENT 1 START,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
EVENT 2 END,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
End,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
GATEWAY 25 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,176
GATEWAY 26 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,176
GATEWAY 27 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
GATEWAY 28 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
GATEWAY 29 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,201
GATEWAY 30 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,201
Pay Invoice,1571.1435226273536,240.65766024589539,5509.234266757965,157114.35226273537,1010.9859715914727,0.0,5239.560356140137,101098.59715914726,37138.8,0.0,205320.0,3713880.0,3.1119863946437847,1.3369870013660854,4.989867202440897,311.19863946437846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Release Purchase Order,60.0,60.0,60.0,6000.0,0.0,0.0,0.0,0.0,720.6,0.0,72060.0,72060.0,0.3333333333333329,0.3333333333333333,0.3333333333333333,33.33333333333329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Release Supplier's Invoice,391.71125599384305,123.20438385009766,936.6378898620605,39171.12559938431,107.754222240448,0.0,608.9382081031799,10775.4222240448,16257.6,0.0,97260.0,1625760.0,1.5775390764077502,0.6844687991672092,2.326562053627438,157.75390764077503,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Send Invoice,164119.47195198058,0.0,431695.53413820267,1.641194719519806E7,164119.47195198058,0.0,431695.53413820267,1.641194719519806E7,3828021.0,0.0,1.003332E7,3.828021E8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Send Request for Quotation to Supplier,56700.65579961061,917.4894995689392,180385.2497627735,5670065.5799610615,55266.64145349026,0.0,178772.65687298775,5526664.145349026,1323999.6,0.0,4229460.0,1.3239996E8,7.96674636733532,3.212161547607846,12.864296958181594,796.674636733532,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Settle Conditions With Supplier,126629.43710170269,17955.222482681274,224848.50293040276,1.2662943710170269E7,92539.82377568245,0.0,183007.60401010513,9253982.377568245,2970960.6,378300.0,5317440.0,2.9709606E8,189.38674070011248,79.35757968558205,291.7986186027527,18938.67407001125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Settle Dispute With Supplier,10452.041471586672,903.408278465271,40751.640607357025,449437.78327822685,387.34624695777893,0.0,4310.003881931305,16655.888619184494,236860.46511627908,0.0,954660.0,1.0185E7,55.91497347016052,3.2559115952915616,226.3980033742057,2404.3438592169023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43
Start,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100

Scenario statistics
KPI,Min,Average,Max
Process Cycle Time (s),5722571.226127863,2.0972954938631516E7,2.8747596949811697E7
Process Cycle Time excluding out of timetable hours (s),234850.22612786293,859394.8249544549,1178652.0919530392
Process Waiting Time (s),134236.9013159275,705429.5349907445,975271.4943315983
Accumulated Process Duration (s),5722571.226127863,2.0972954938631516E7,2.8747596949811697E7
Cost,390.3036094016499,857.510952023281,1561.326632009612


Process Cycle Time (s) distribution
From,To,Count
5722571,8025073,7
8025074,10327576,4
10327577,12630079,5
12630080,14932582,6
14932583,17235085,7
17235086,19537588,3
19537589,21840091,7
21840092,24142594,5
24142595,26445097,49
26445098,28747600,7

Process Waiting Time (s) distribution
From,To,Count
134236,218339,8
218340,302443,5
302444,386547,3
386548,470651,6
470652,554755,7
554756,638859,2
638860,722963,5
722964,807067,6
807068,891171,32
891172,975275,26

Accumulated Process Duration (s) distribution
From,To,Count
5722571,8025073,7
8025074,10327576,4
10327577,12630079,5
12630080,14932582,6
14932583,17235085,7
17235086,19537588,3
19537589,21840091,7
21840092,24142594,5
24142595,26445097,49
26445098,28747600,7

Process Cost distribution
From,To,Count
390,507,7
508,625,18
626,743,16
744,861,9
862,979,14
980,1097,18
1098,1215,8
1216,1333,8
1334,1451,0
1452,1569,2

In-timetable Cycle time (s) distribution
From,To,Count
234850,329230,7
329231,423611,4
423612,517992,5
517993,612373,6
612374,706754,7
706755,801135,3
801136,895516,7
895517,989897,5
989898,1084278,50
1084279,1178659,6



Details
Instance #,Cycle time (s),Cycle time in time table only (s),Waiting time (s),Cost
1,5722571.226127863,234850.22612786293,134779.2165427208,558.0828385247124
2,7018627.20861125,291133.5540328026,134236.9013159275,876.057933262984
3,8551739.74172306,353949.56249403954,166257.47624850273,1046.8898843328159
4,1.4149324527254105E7,579745.9784023762,419383.9480690956,891.671683230665
5,1.0765410519113302E7,441302.38222670555,247217.54308629036,1078.8100095285308
6,6619630.2911400795,272437.7611179352,156344.94559383392,645.8923831992679
7,7501559.700853109,310849.1014111042,180652.36474180222,723.5056412763067
8,7440341.755228281,306910.1026237011,172763.5342028141,748.0326131476296
9,7471750.386724472,306130.38672447205,191236.28266572952,641.8503422445722
10,1.2507854546235085E7,506630.1336836815,311788.9595837593,1087.3498170283106
11,2.640594729748583E7,1078184.1593654156,901865.010437727,985.5073513322408
12,7826251.839916468,320087.94789147377,187820.54721570015,738.1003876368204
13,1.3517638617477655E7,553127.7854208946,316609.89870524406,1318.0904380506938
14,2.636324339837265E7,1077381.2929763794,971606.9443302155,589.4197506507239
15,1.590954759869361E7,652789.6054241657,481846.913520813,950.6614121119181
16,8637406.884877205,354790.4845190048,227792.27353286743,708.0088195575609
17,1.8038816168720245E7,742024.3104765415,522028.0511627197,1222.6651550094286
18,9551195.78777361,392273.7690758705,238986.05280137062,855.1272484832341
19,1.2384563625451565E7,508851.28995013237,416932.18543314934,512.8577330417103
20,8582958.085354567,356270.75544023514,246112.92310881615,613.1058992611038
21,2.6108729843165874E7,1074149.8431658745,965195.4209048748,605.5142130308682
22,1.3996883646667719E7,574451.0434958935,432206.9250564575,791.1248909036319
23,1.303368773009324E7,533162.964092493,331229.3392794132,1123.3182844890487
24,1.1809975928198338E7,483416.72649526596,301738.74869036674,1009.9895281049941
25,2.59979052820971E7,1063852.4109475613,931700.5847942829,735.5484577854475
26,2.6195818820952654E7,1070416.305030346,876397.9150316715,1079.8776901973617
27,1.205935481517148E7,493671.8275401592,401352.1277706623,514.8499009397294
28,1.381412266301155E7,565658.5793409348,416606.8927927017,829.4402037223182
29,2.6153335304638386E7,1066349.2931404114,954433.1668376923,622.9467210001417
30,2.648486542452526E7,1080445.5291330814,957553.1988844872,685.35851730903
31,1.9817831307872057E7,807620.9227311611,680781.3058259487,705.2236261990337
32,1.5408423661185503E7,630815.6743674278,473548.4727396965,876.3429549137752
33,1.3843159164674044E7,567391.8873546124,444945.9285955429,681.1901243805886
34,1.5801177097799778E7,644488.5866777897,517376.9697999954,706.963329407904
35,1.7787453530914783E7,731718.0568609238,624338.3089933395,597.041157049603
36,2.6661863395744085E7,1092860.023652792,900741.8241145611,1067.64650580883
37,1.5338551343406677E7,630960.214294672,471307.9384765625,889.037320635054
38,2.742273349595785E7,1128773.5741975307,953933.4841144085,973.6926737043593
39,1.5303073199417114E7,627165.8337738514,475530.05632925034,844.09932126734
40,2.3077614211760998E7,943986.7442145348,817288.5738785267,705.1047133220568
41,2.5985214048250437E7,1062809.9801578522,862612.1324756145,1115.803998725944
42,1.855602597397518E7,762799.031730175,679905.8284003735,464.2635281125704
43,2.1567040942559004E7,887700.7017977238,685151.069642067,1128.1781977997882
44,1.5503348706396103E7,638153.7279453278,535324.4245364666,572.3472255547842
45,2.5929577562173367E7,1063182.3004877567,848529.2666211128,1192.9280435217747
46,1.537387983281207E7,630380.8296091557,555993.38088727,414.3052670717239
47,2.6004628829592705E7,1065320.8395793438,902743.2143371105,905.9190136273703
48,2.018516038214922E7,825913.2099173069,661347.4657745361,918.1752662367292
49,2.6049382121727467E7,1066018.1209709644,861599.6177151203,1138.3806961364214
50,2.23323089899714E7,915112.6035354137,741544.508769989,965.1247938977349
51,2.139905215994239E7,878391.2328817844,695728.7437446117,1020.722479110294
52,2.5933125012575388E7,1063776.484862566,870725.6724951267,1075.2843931794166
53,2.5818419226192474E7,1053265.9056696892,945117.1962172985,602.2123229636087
54,2.010139080955887E7,819005.1326777935,748888.2547445297,390.3036094016499
55,2.578890094656205E7,1051761.3421154022,864517.7512936592,1043.657479654418
56,2.535463163401532E7,1038557.6125314236,874764.3755836487,910.3467645539179
57,2.6209779592034817E7,1075495.6500368118,845114.5507354736,1283.133865704801
58,2.5747455507020712E7,1052201.7733085155,865294.4973630905,1040.244762611389
59,2.107798983033681E7,863891.4406750202,784474.5406985283,442.43031993442105
60,2.572060008839488E7,1053332.1584506035,886085.2952034473,932.8549871497685
61,2.615213753651333E7,1073728.829960823,925464.6069693565,824.1337935739095
62,2.4660063455910683E7,1011539.8692941666,870062.8086538315,791.9504874746005
63,2.27558953800292E7,933525.1060431004,818955.8443460464,642.0874830908245
64,2.826166354685855E7,1161063.7993950844,962205.7190549374,1107.258093611399
65,2.1416573215106487E7,876004.4242255688,783368.8042190075,518.1539118038284
66,2.5634743934343576E7,1048044.3788597584,975271.4943315983,406.30356963210625
67,2.562069872031927E7,1048050.808154583,948213.4364643097,561.0969303157594
68,2.638979072620058E7,1078219.461883545,883999.9471957684,1081.440759988626
69,2.388210938147211E7,976670.3202581406,857332.1525697708,665.1197321097056
70,2.5421865339852095E7,1042458.072291851,812099.347833395,1284.2265177872441
71,2.5407275747151136E7,1041852.3548955917,925684.7341737747,647.3132193168004
72,2.5552202636110544E7,1042338.411670208,939712.6711108685,571.13940625853
73,2.8747596949811697E7,1178652.0919530392,908464.3341600895,1501.941749507851
74,2.5524026206159353E7,1042159.4121222496,888028.6172485352,856.4541038036348
75,2.387160341029215E7,974472.4509305954,885463.4403698444,496.9203614221678
76,2.7703582510865927E7,1135008.1041357517,944397.8065516949,1060.6014859027332
77,2.5482696869662523E7,1042957.4176225662,835461.8934223652,1153.2382745477887
78,2.5047787547617674E7,1029103.5818631649,932094.1036272049,539.1775655534533
79,2.5454209615178347E7,1042462.5035274029,882751.9466803074,889.5712192561891
80,2.553998900498247E7,1045037.2571299076,877903.5709731579,929.5299126466116
81,2.587365066261196E7,1064859.199206829,875577.753269434,1052.6492075575723
82,2.5411443926535606E7,1041731.9364025593,847227.4594020844,1081.247608455022
83,2.5240879301267624E7,1036488.2500941753,865920.4490389824,947.7320548706585
84,2.5225847212577105E7,1035480.0193636417,816582.0896487236,1219.591618753804
85,2.5212856660693884E7,1036527.7992727757,937907.1307184696,548.8914691620404
86,2.514444215172696E7,1032633.915615797,931631.0481953621,564.3329998188549
87,2.5443882531736374E7,1043435.3962082863,865180.1307268143,995.0404166963366
88,2.5169633062022448E7,1035359.2030620575,815633.9785487652,1221.160610993703
89,2.5102040163739204E7,1032249.7200005054,918628.3183047771,633.4945320592988
90,2.5300438835390806E7,1036858.8353908062,884045.1747982502,850.1852583368619
91,2.5128039664622784E7,1032163.8837552071,839271.7643184662,1075.3518918236093
92,2.511517249896574E7,1033217.9240047932,947634.8409907818,479.90708471536635
93,2.5433571246762753E7,1041400.2800951004,806255.3158013821,1309.2803279889954
94,2.508634514219594E7,1032290.5081088543,932289.6898040771,556.2911731759708
95,2.5072450225291252E7,1032422.0873765945,914492.1838281155,656.8457025726638
96,2.7422758920709133E7,1120138.9207091331,839494.9071559906,1561.326632009612
97,2.520084828976679E7,1026914.196751833,805541.4136829376,1230.3703731695807
98,2.5187222805161238E7,1027328.9508628845,922046.6675615311,587.6751581178772
99,2.5274011937153578E7,1030870.8742551804,841271.1973905563,1057.5723137537636
100,2.50025956191535E7,1025615.2298586369,809453.763484478,1201.8757006618712
