Resource utilization
Resource,Utilization %
Role 1,2
SYSTEM,0
Role 4,0
Role 6,0
Role 3,59
Role 2,92
Role 5,4

Individual task statistics
Name,Avg duration,Min duration,Max duration,Total duration,Avg waiting time,Min waiting time,Max waiting time,Total waiting time,Avg idle time,Min idle time,Max idle time,Total idle time,Avg cost,Min cost,Max cost,Total cost,Avg cost over thresh,Min cost over thresh,Max cost over thresh,Total cost over thresh,Avg duration over thresh,Min duration over thresh,Max duration over thresh,Total duration over thresh,Count,
Amend Purchase Requisition,1537.031885936696,10.37711501121521,6073.002603054047,142943.96539211273,153.6164217687422,0.0,1568.3113234043121,14286.327224493027,0.0,0.0,0.0,0.0,7.685641467599746,0.05765063895119561,33.73890335030026,714.7646564867764,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93
Amend Request for Quotation,632.8683337506495,75.18324184417725,1522.7917141914368,48097.99336504936,6.625400869469893,0.0,503.5304660797119,503.5304660797119,0.0,0.0,0.0,0.0,3.479127404895442,0.4176846769120958,8.459953967730204,264.4136827720536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76
Analyze Purchase Requisition,404.64001083497556,246.2192578315735,539.4034621715546,78095.52209115028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2480000601943075,1.3678847657309638,2.996685900953081,433.8640116175014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,193
Analyze Quotation Comparison Map,1041.5040723204613,370.9146902561188,2027.239414215088,104150.40723204613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.786133735113675,2.0606371680895488,11.262441190083821,578.6133735113675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Analyze Request for Quotation,12217.0522176962,125.37270283699036,82236.37376594543,2150201.1903145313,10811.13469971852,0.0,80342.14068245888,1902759.7071504593,1146.3564672822301,-3539.0,40276.343287706375,201758.73824167252,7.810652877653791,0.6965150157610576,16.704105279180737,1374.674906467067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,176
Approve Purchase Order for payment,2898.861649951935,60.0,28199.180569410324,289886.1649951935,2838.861649951935,0.0,28139.180569410324,283886.1649951935,189.3320525074005,0.0,9687.361976861954,18933.20525074005,0.3333333333333329,0.3333333333333333,0.3333333333333333,33.33333333333329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Authorize Supplier's Invoice payment,44.37746331214905,0.0,1450.9238369464874,4437.746331214905,44.37746331214905,0.0,1450.9238369464874,4437.746331214905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Choose best option,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Create Purchase Order,16587.174453101157,373.1259410381317,77385.09986591339,1658717.4453101158,16011.570258717536,0.0,77010.39308857918,1601157.0258717537,10949.997984938622,-3539.0,68460.0,1094999.7984938622,3.1978010799090053,1.4086712704764472,4.315795818964641,319.78010799090055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Create Purchase Requisition,2218.4884295368192,330.7542014122009,5015.96533870697,221848.84295368195,412.58210591554644,0.0,2199.5925798416138,41258.21059155464,0.0,0.0,0.0,0.0,10.032812909007069,1.8259556147787306,18.40638296869066,1003.2812909007068,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Create Quotation comparison Map,27059.522708318233,4009.2810938358307,79353.5016901493,2705952.2708318233,15018.561739151477,0.0,57703.788853406906,1501856.1739151478,7118.817036547661,0.0,68460.0,711881.7036547661,66.894227606482,0.9974465794033475,120.95760751565298,6689.4227606482,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Create Request for Quotation,327.7803533577919,8.970372915267944,958.6887378692627,32778.03533577919,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6420039261976886,0.09967081016964383,10.652097087436251,364.2003926197689,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Deliver Goods Services,138780.41077165602,853.0377659797668,312321.8547208309,1.3878041077165604E7,60939.247350132464,0.0,212578.1836616993,6093924.735013247,29782.54098900795,-64734.79556584358,87095.65434026718,2978254.098900795,432.450907897353,4.7390986998875935,899.5389557679495,43245.090789735295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
EVENT 1 START,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
EVENT 2 END,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
End,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,155419.27633247615,0.0,473913.438416481,1.5541927633247614E7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
GATEWAY 25 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,176
GATEWAY 26 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,176
GATEWAY 27 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
GATEWAY 28 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
GATEWAY 29 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,193
GATEWAY 30 XOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,193
Pay Invoice,676.8750680923462,96.68508124351501,2255.803464412689,67687.50680923462,91.94858523130416,0.0,1731.9130156040192,9194.858523130417,7.493903594017029,0.0,749.3903594017029,749.3903594017029,3.249591571450233,0.53713934024175,4.966405847337511,324.9591571450233,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Release Purchase Order,60.0,60.0,60.0,6000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333329,0.3333333333333333,0.3333333333333333,33.33333333333329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Release Supplier's Invoice,299.0549908089638,121.72886538505554,555.348876953125,29905.499080896378,30.537887816429137,0.0,326.6830155849457,3053.788781642914,0.0,0.0,0.0,0.0,1.4917616832918592,0.6762714743614197,2.3243751472897,149.1761683291859,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Send Invoice,67514.02004688978,0.0,217213.80866980553,6751402.004688978,67514.02004688978,0.0,217213.80866980553,6751402.004688978,9896.162264814377,-7078.0,71716.30602645874,989616.2264814377,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Send Request for Quotation to Supplier,12998.973843138217,827.0973665714264,62946.45131468773,1299897.3843138218,11703.679153945446,0.0,61818.68856739998,1170367.9153945446,3536.599695675373,0.0,45979.77087640762,353659.9695675373,7.19608160662651,0.7531418999036154,12.706824119885763,719.608160662651,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Settle Conditions With Supplier,48656.68438423395,11364.801900148392,123962.29825973511,4865668.438423395,23094.52303199291,0.0,78455.96966385841,2309452.303199291,17643.8883481431,0.0,62739.871186733246,1764388.83481431,142.01200751245023,1.5515085564719306,291.5147567179468,14201.200751245024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
Settle Dispute With Supplier,10199.854397109215,333.7163088321686,45738.7437915802,479393.1566641331,49.70959528456343,0.0,291.0495674610138,2336.350978374481,2919.6152789744924,0.0,22106.929462194443,137221.91811180115,56.38969334347028,1.0686225242084928,254.10413217544556,2650.315587143103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47
Start,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,227677.21753073455,0.0,498513.99524378777,2.2767721753073454E7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100

Scenario statistics
KPI,Min,Average,Max
Process Cycle Time (s),470181.0130953789,813762.1792149615,1103313.9952437878
Process Cycle Time excluding out of timetable hours (s),94638.12173700333,528674.9182300138,604799.0
Process Waiting Time (s),0.0,216898.76843125105,369132.99603152275
Accumulated Process Duration (s),470181.0130953789,813762.1792149615,1103313.9952437878
Cost,231.49598003228505,731.0003246394134,1291.9592692004305


Process Cycle Time (s) distribution
From,To,Count
470181,533494,7
533495,596808,11
596809,660122,9
660123,723436,9
723437,786750,9
786751,850064,9
850065,913378,9
913379,976692,10
976693,1040006,13
1040007,1103320,14

Process Waiting Time (s) distribution
From,To,Count
0,36913,13
36914,73827,1
73828,110741,3
110742,147655,6
147656,184569,5
184570,221483,12
221484,258397,20
258398,295311,14
295312,332225,14
332226,369139,12

Accumulated Process Duration (s) distribution
From,To,Count
470181,533494,7
533495,596808,11
596809,660122,9
660123,723436,9
723437,786750,9
786751,850064,9
850065,913378,9
913379,976692,10
976693,1040006,13
1040007,1103320,14

Process Cost distribution
From,To,Count
231,337,7
338,444,8
445,551,18
552,658,10
659,765,15
766,872,10
873,979,9
980,1086,8
1087,1193,11
1194,1300,4

In-timetable Cycle time (s) distribution
From,To,Count
94638,145654,1
145655,196671,0
196672,247688,0
247689,298705,0
298706,349722,0
349723,400739,0
400740,451756,6
451757,502773,19
502774,553790,41
553791,604807,33



Details
Instance #,Cycle time (s),Cycle time in time table only (s),Waiting time (s),Cost
1,537361.0,537359.0,0.0,625.7883414136038
2,523394.0114839077,518399.0,0.0,294.49920576281016
3,509399.2809998989,509397.2809998989,0.0,1291.9592692004305
4,1100223.4100556374,574207.3997673988,369132.99603152275,522.9646384596824
5,1086308.0785598755,502509.17157411575,320123.995002985,520.5881627705362
6,1072344.6479566097,604795.0,336854.79998612404,833.4915391935243
7,1058367.4714939594,559963.5390651226,329897.9831776619,693.1999793820912
8,1044447.9067406654,521993.8322584629,203164.67560386658,1145.5916721622148
9,1030444.5276606083,536335.0,265711.0595767498,1024.6182096309133
10,1016328.3826055527,535329.390630722,255297.37721014023,935.4955697298051
11,1002266.3596086502,517776.44362711906,145409.31964945793,263.0222294833925
12,988197.0353233814,541150.8391594887,341135.76283288,630.2759347319603
13,974133.9383347034,543724.8709657192,230810.86160421371,623.3462381667563
14,960162.1349468231,416386.80687332153,156634.64892983437,901.7045644733641
15,946112.1361298561,581248.9072241783,297159.2108011246,846.4439697861671
16,932132.7471759319,558053.6352443695,332427.5302093029,1028.3814353121652
17,918128.922547102,604795.0,337476.1504955292,950.0960329055785
18,904160.977063179,477797.6981501579,148874.8135342598,1167.240689982308
19,890154.3339476585,406392.0025782585,204623.40314269066,582.3111555125979
20,876115.2532227039,559027.7042729855,267646.2723739147,772.6671375566059
21,862110.4070322514,597849.7514331341,194166.9161980152,670.1927032974031
22,848142.943955183,470574.8941333294,225843.69972777367,1222.2496296909117
23,834242.6161603928,598638.7546145916,317693.9078092575,826.3168358272977
24,820217.7365956306,441901.1455273628,139271.6257200241,1168.04298804601
25,806259.8702297211,519427.2668581009,353007.1059024334,422.4225733081499
26,792261.0918471813,477984.6038374901,270164.9458324909,488.7028589937422
27,778311.7470879555,537456.8024454117,255434.96780276299,471.9611312230428
28,764312.7257909775,444362.89693021774,187523.44064593315,918.7120960858133
29,750319.8858964443,517089.0566780567,215435.4152956009,578.1456721464793
30,736332.3595349789,474277.32455277443,305789.1335401535,437.9867309888204
31,722306.2651848793,529345.5838093758,256249.77121543884,862.2861228982609
32,708291.4069983959,455698.9539730549,204119.33906197548,914.6246150202222
33,694279.4939520359,545325.0321483612,287264.47898197174,500.26127743853453
34,680321.9398481846,547562.7695872784,285534.10476088524,730.057836561733
35,666386.3301203251,513381.4332039356,279263.7767004967,401.8200608226987
36,652405.4858028889,520206.94594573975,319228.3665611744,401.4923166659143
37,638305.2223510742,475595.12161922455,239307.93960881233,793.637497007847
38,624321.8481590748,426041.5123848915,141020.21498084068,1097.3562488198277
39,610344.9473750591,509516.97997546196,288352.81112003326,549.6960397614374
40,596377.4376935959,455052.1994917393,247560.49742221832,466.21217983828643
41,582358.179407835,517730.5117094517,330471.6438794136,581.5059628857506
42,581504.5940551758,531489.0427279472,347044.643707037,718.5979613807467
43,554490.3564639091,512239.14141893387,323482.6825745106,504.5190700650214
44,540463.4791982174,517668.7199470997,329002.65459918976,845.331044330862
45,526455.7430448532,518353.21481633186,334835.68656539917,424.1039625234074
46,529959.6368536949,529953.6368536949,331871.30907320976,783.445678861936
47,1103313.9952437878,547769.2069084644,134907.01683568954,245.30549836953483
48,1089377.3411262035,554098.5573542118,166586.92260932922,296.12393629286026
49,1075397.8238477707,560308.0461232662,360145.0611395836,530.3271426532004
50,1061296.1279447079,446995.2855219841,249543.42688202858,499.76064027680286
51,1047282.6103885174,547914.7817234993,222754.39315104485,1110.0117369559075
52,1033236.288128376,558298.8462963104,282323.67715215683,582.9724626117282
53,1019203.6908681393,590223.3892645836,265208.9967556,1062.435191418065
54,1005187.8926615715,491243.6574149132,195313.40931153297,923.0780784514216
55,991143.3340554237,578768.6852622032,85251.58128714561,698.1850698563788
56,977129.410115242,513598.93427944183,305783.419993639,486.04868519836
57,963143.8616654873,595635.5735168457,173685.91018652916,231.49598003228505
58,949138.4390749931,549447.8792982101,242727.0600373745,319.7740913523567
59,935097.0962173939,509151.9544725418,185441.95244026184,692.5571367091604
60,921134.4462926388,555046.1090090275,299441.3385550976,494.3397973153326
61,907156.9919409752,564008.2747075558,276296.1780233383,1184.9555540800093
62,893205.531806469,547761.6597685814,109824.01199269295,379.2289003862275
63,879224.09283638,572608.5512366295,116981.95314478874,535.8020445068677
64,865158.1617965698,510304.8350892067,54299.3826777935,800.4909337851738
65,851219.3403258324,529619.2513003349,210978.38160562515,593.3850650376744
66,837172.5094969273,571637.068803072,336590.3585512638,500.3496653199196
67,823239.1861715317,601200.2951176167,266169.6420557499,606.2123664895695
68,809286.295664072,574990.1173005104,83187.23157262802,679.4220035274824
69,795227.8902184963,550334.9455916882,265884.97333550453,1109.621110549238
70,781203.7567446232,570738.2215003967,238494.870336771,1165.4871720592182
71,767209.87464118,537466.4052903652,231086.35996365547,495.0667086402575
72,753242.7181501389,523602.8227508068,217538.75320386887,1147.109051542812
73,739257.6560263634,573640.6035635471,368093.9185447693,450.0110684778955
74,725364.4621224403,547261.9885702133,118924.66203808784,329.99642688433335
75,711413.8009932041,551011.5154235363,256040.5536046028,987.8666121376885
76,697373.7172093391,472264.79547834396,188011.6021130085,874.3846275077927
77,683477.3029563427,584215.2657146454,230646.07187128067,672.779532415337
78,669540.7396492958,503699.1075015068,226186.89412164688,758.5452205406295
79,655556.9612224102,527438.5712811947,227008.71956658363,1015.9251515256036
80,641500.5445811749,543743.7576234341,222309.1055445671,1019.4351499703196
81,627482.9987049103,494546.377784729,191254.25831246376,1129.1942765461074
82,613483.4753453732,552660.1610150337,343995.490926981,812.1433976703221
83,599515.9071521759,497289.5241789818,178500.7390050888,921.2044502099355
84,595273.7388513088,496554.2473015785,250083.17139935493,1189.559858287705
85,571438.5479388237,485994.95732569695,230324.34552383423,733.3459794825978
86,557489.8418130875,490288.7178168297,275599.5209271908,716.4328250580365
87,543517.8224318027,490739.20752859116,293489.86266207695,765.4207024441827
88,539618.4852910042,498995.41920757294,311270.47903585434,890.7500341773033
89,515502.55855321884,492633.7924115658,255320.88550186157,526.2314520849122
90,501530.48195052147,482550.5176208019,299685.3317718506,555.8566205170421
91,1092325.0575852394,604798.0,766.3471763134003,1206.9702867269518
92,1078280.9353165627,604799.0,4279.154208898544,674.4589386953248
93,1064313.5720415115,604799.0,10800.132669448853,741.2685900847118
94,1050301.795031786,604798.0,6282.299335479736,1022.1658838656216
95,1036344.2864537239,604799.0,2218.951959133148,662.3109280241862
96,1022295.3239915371,604798.0,1388.3235898017883,1204.959989648395
97,1008297.0177459717,604799.0,30612.222403764725,440.18751733965337
98,994303.8718137741,604797.0,24446.94971346855,1042.4225557261045
99,470181.0130953789,94638.12173700333,1708.7454090118408,424.54378345674934
100,966340.9917078018,604799.0,12859.901938676834,528.7475109113587
